N	2gram	Propp_Isto	VelikijI
1	и не	19	20
2	и в	40	16
3	так как	20	9
4	то что	17	9
5	в истории	2	8
6	еще не	14	8
7	и потому	3	7
8	что они	13	7
9	а не	18	7
10	на земле	1	7
11	не есть	2	6
12	хотя и	1	5
13	того что	6	5
14	все это	6	5
15	ты не	5	5
16	по пути	2	5
17	как бы	6	5
18	на себя	2	5
19	но и	21	5
20	в котором	5	4
21	в этом	13	4
22	что мы	9	4
23	о смысле	2	4
24	потому что	12	4
25	в его	10	4
26	в ней	10	4
27	так и	13	4
28	это еще	1	4
29	говорить о	1	4
30	они будут	1	4
31	мы хотим	2	4
32	и есть	5	4
33	земного и	1	4
34	и все	1	4
35	что не	2	4
36	в образе	3	4
37	как и	5	4
38	что он	32	4
39	и я	1	4
40	в нем	8	4
41	во всех	3	3
42	что в	19	3
43	нет ничего	2	3
44	и мы	2	3
45	за ним	1	3
46	то это	9	3
47	в конце	1	3
48	должно быть	2	3
49	хотя бы	5	3
50	в том	12	3
51	тому что	1	3
52	от которого	1	3
53	не в	11	3
54	и что	14	3
55	что и	9	3
56	ни в	2	3
57	они в	1	3
58	превращается в	4	3
59	в этих	17	3
60	в них	2	3
61	оно не	1	3
62	не было	3	3
63	к чему	4	3
64	что ты	1	3
65	что во	1	3
66	и будет	1	3
67	в жизни	2	3
68	по этому	2	3
69	и они	5	3
70	их от	1	3
71	их в	7	3
72	в своей	2	3
73	должна быть	5	3
74	от этого	2	3
75	но это	8	3
76	и для	5	3
77	все эти	6	3
78	тот же	3	3
79	но в	13	3
80	к тому	6	3
81	за то	3	3
82	никогда не	25	3
83	всего в	2	2
84	во всяком	1	2
85	от него	1	2
86	его и	6	2
87	материалом для	1	2
88	уже на	2	2
89	ее и	1	2
90	над ними	2	2
91	что от	2	2
92	один из	10	2
93	не могли	1	2
94	это дело	4	2
95	они и	1	2
96	идти к	1	2
97	превратились в	1	2
98	на том	1	2
99	его не	3	2
100	не так	2	2
101	того чтобы	3	2
102	это не	8	2
103	земли и	1	2
104	это все	1	2
105	вместо того	2	2
106	между тем	2	2
107	не только	28	2
108	и над	1	2
109	для него	2	2
