N	2gram	Medvedev_B	formyVre
1	и в	1	148
2	прежде всего	1	46
3	и не	2	37
4	не только	1	32
5	так и	1	29
6	и на	1	19
7	таким образом	1	18
8	еще не	1	18
9	в пределах	1	17
10	все же	1	16
11	и во	1	16
12	а не	1	14
13	все это	2	14
14	не было	1	12
15	отнюдь не	1	12
16	что в	1	12
17	между ними	1	11
18	в ней	2	11
19	кроме того	1	10
20	с другой	1	9
21	всего в	1	9
22	до конца	1	8
23	во всяком	1	8
24	и потому	1	8
25	было бы	1	7
26	за пределы	1	6
27	и ее	1	6
28	одной из	1	6
29	в эпоху	1	6
30	в своей	1	5
31	было и	1	5
32	что все	1	5
33	далеко не	1	5
34	об этом	1	5
35	другой стороны	1	4
36	в данном	1	4
37	и более	1	4
38	всяком случае	1	4
39	у нас	3	4
40	тем более	1	4
41	и о	1	4
42	вопрос о	1	3
43	для которой	1	3
44	нет но	1	3
45	необходимо отметить	1	3
46	в значительной	1	3
47	совершенно не	1	3
48	к ней	1	3
49	со всем	1	2
50	более что	1	2
51	остановиться на	1	2
52	и нет	1	2
53	говорить о	1	2
54	должна быть	1	2
55	по этим	1	2
56	его не	1	2
57	не о	1	2
58	литературных произведений	2	1
59	не вполне	1	1
60	работа по	1	1
61	больше чем	2	1
62	включать в	1	1
63	книги в	1	1
64	значительной степени	1	1
65	их что	1	1
66	не то	2	1
67	свою книгу	1	1
68	является только	1	1
69	говорить об	1	1
70	также не	1	1
71	в речи	1	1
72	оно сплошь	1	1
73	никак не	1	1
74	переходя к	1	1
75	основное значение	1	1
76	выходит за	1	1
77	из своей	1	1
78	исторической поэтике	1	1
79	и полно	1	1
80	в композиции	1	1
81	забывать что	1	1
82	видеть в	2	1
83	на самом	1	1
84	на которой	1	1
85	выпадают из	1	1
86	следовало бы	1	1
87	в области	1	1
88	не следует	1	1
89	художественного произведения	1	1
90	исторических условиях	1	1
91	меньше чем	1	1
