N	2gram	Savitsky_E	Literetu
1	а не	2	50
2	и не	14	47
3	не только	18	46
4	и в	37	44
5	может быть	6	43
6	при этом	1	41
7	но и	14	41
8	тогда как	1	40
9	в том	11	39
10	в этом	12	38
11	том что	6	32
12	в частности	5	30
13	то что	6	29
14	в мире	2	28
15	в качестве	14	27
16	то же	15	26
17	состоит в	1	26
18	как и	7	23
19	в то	16	23
20	не в	5	22
21	того что	7	22
22	так и	10	22
23	не может	9	22
24	же время	14	21
25	в себе	9	20
26	прежде всего	9	19
27	как бы	6	18
28	с другой	7	17
29	точки зрения	23	17
30	то есть	6	17
31	в его	2	17
32	в жизни	1	16
33	в этой	2	16
34	не менее	1	15
35	только в	9	15
36	со стороны	5	15
37	тем самым	5	15
38	и даже	6	14
39	по отношению	1	14
40	в рамках	1	14
41	уже не	1	13
42	в своем	14	13
43	с одной	8	13
44	как это	4	13
45	но не	5	13
46	и его	1	13
47	в своей	8	12
48	о том	3	12
49	в данном	3	12
50	одной стороны	8	12
51	всего лишь	3	12
52	а также	7	12
53	никогда не	3	11
54	и сам	1	11
55	столь же	5	11
56	еще в	1	11
57	вместе с	2	11
58	как в	3	11
59	в основе	1	11
60	в отличие	1	11
61	с его	1	11
62	данном случае	2	11
63	отличие от	1	11
64	или иначе	1	11
65	а в	2	11
66	даже в	4	10
67	в принципе	1	10
68	из них	3	10
69	в ее	8	10
70	что в	21	10
71	и на	6	10
72	для себя	1	10
73	жизни в	3	10
74	потому что	3	10
75	этом отношении	3	10
76	жизни и	2	10
77	отнюдь не	9	10
78	в области	11	10
79	с этой	6	9
80	мыслится как	1	9
81	к тому	8	9
82	представляет собой	3	9
83	связи с	1	9
84	один из	1	9
85	одно из	1	9
86	в начале	1	9
87	лишь в	1	9
88	же в	2	9
89	говоря уже	2	8
90	быть может	1	8
91	в своих	2	8
92	тем что	3	8
93	все же	1	8
94	исходит из	1	8
95	одна из	1	8
96	того же	3	8
97	ли не	1	8
98	с точки	17	8
99	на себя	3	8
100	что не	1	8
101	особого рода	1	8
102	а именно	2	8
103	слова и	1	8
104	соответствии с	1	8
105	той же	1	8
106	но в	14	8
107	уже в	1	8
108	для него	1	8
109	и как	2	8
110	не говоря	2	8
111	вплоть до	1	8
112	мира в	4	8
113	в самом	4	7
114	в одном	2	7
115	другой стороны	2	7
116	для всех	1	7
117	именно в	4	7
118	для этого	1	7
119	по преимуществу	2	7
120	не как	1	7
121	тому же	1	7
122	в случае	2	7
123	он не	2	7
124	и тем	3	7
125	и с	2	7
126	в нем	1	7
127	из того	2	7
128	по своей	2	7
129	в сфере	3	7
130	и для	3	7
131	у нас	1	7
132	в их	11	7
133	и других	2	7
134	а затем	1	6
135	например в	1	6
136	культуры в	4	6
137	казалось бы	1	6
138	уже о	1	6
139	как на	3	6
140	в третьем	1	6
141	не было	1	6
142	во всех	6	6
143	перед лицом	1	6
144	было бы	8	6
145	с ее	1	6
146	в культуре	3	6
147	то в	4	6
