N	3gram	Trubetskoy	Narrotol
1	в том что	3	18
2	в данном случае	1	17
3	в отличие от	1	11
4	по отношению к	1	11
5	к тому же	4	9
6	о том что	4	9
7	не может быть	1	8
8	тем не менее	3	8
9	в соответствии с	1	8
10	той или иной	2	8
11	то же время	2	8
12	в то же	2	8
13	в этом отношении	2	8
14	состоит в том	1	6
15	можно сказать что	2	6
16	с одной стороны	7	6
17	для того чтобы	5	5
18	но при этом	1	5
19	в свою очередь	1	5
20	и все же	1	5
21	во всяком случае	6	4
22	заключает в себе	2	3
23	в самом деле	1	3
24	друг на друга	2	3
25	а в том	1	3
26	до сих пор	5	3
27	в первом случае	1	3
28	иметь в виду	1	3
29	речь идет о	1	3
30	точно так же	3	3
31	в связи с	3	3
32	то же самое	2	3
33	на то что	2	3
34	с точки зрения	6	3
35	и т.д вплоть	1	2
36	и в то	1	2
37	не в том	1	2
38	более или менее	5	2
39	в таком случае	1	2
40	одного и того	1	2
41	сами по себе	1	2
42	а между тем	1	2
43	не только не	1	2
44	но и от	1	2
45	и того же	1	2
46	на этот раз	1	2
47	а с другой	5	2
48	и потому что	2	2
49	вследствие того что	1	2
50	т.д вплоть до	1	2
51	не только от	1	2
52	но все же	4	2
53	же самое следует	1	2
54	добра и зла	1	2
55	все те же	1	2
56	так же как	3	2
57	тем или иным	1	2
58	еще и потому	1	2
59	как бы в	1	2
60	в этом последнем	1	2
61	самое следует сказать	1	1
62	и тот же	1	1
63	в этом направлении	1	1
64	о том как	1	1
65	до известной степени	1	1
66	то что он	2	1
67	одной из этих	1	1
68	по сравнению с	2	1
69	то или иное	2	1
70	не представляется возможным	1	1
71	в этом процессе	1	1
72	в том числе	5	1
73	оставляя после себя	1	1
74	сказать и о	1	1
75	следует заметить что	1	1
76	по всей вероятности	1	1
77	потому что в	1	1
78	свидетельствует о том	1	1
79	могло бы быть	1	1
80	но они не	1	1
81	том виде в	2	1
82	вернемся к тому	1	1
83	виде в каком	1	1
84	это главным образом	1	1
85	в одну из	1	1
86	так или иначе	3	1
87	так и в	1	1
88	друг с другом	5	1
89	и потому-то с	1	1
90	так обстоит дело	1	1
91	что все эти	1	1
92	в то что	1	1
93	один из этих	1	1
94	в том или	1	1
95	для него событий	1	1
96	в которых он	1	1
97	из них не	1	1
98	то ни было	2	1
99	не может не	1	1
100	к созерцательности и	1	1
101	только то что	1	1
102	том числе и	4	1
103	с другой стороны	1	1
104	бы то ни	2	1
105	сих пор еще	2	1
106	жизни то есть	1	1
107	к нему в	1	1
108	по крайней мере	5	1
109	говорить не приходится	1	1
110	к новой жизни	1	1
111	в духовном отношении	1	1
112	один и тот	1	1
113	случае мы имеем	1	1
114	в далеком прошлом	1	1
115	этой точки зрения	2	1
116	том или ином	1	1
117	еще при жизни	1	1
118	которые могли бы	1	1
119	в то время	1	1
120	жизни а именно	1	1
121	лишь то что	1	1
122	по своему характеру	1	1
123	начинается с того	1	1
124	но в конце	1	1
125	и после смерти	2	1
126	всяком случае в	1	1
127	которые к тому	1	1
128	с самого начала	2	1
129	в себе не	1	1
130	следует сказать и	1	1
131	же самое происходит	1	1
132	новое и особенно	1	1
133	в том виде	2	1
134	что и в	1	1
135	здесь говорить не	1	1
136	с этой точки	2	1
137	с этого момента	1	1
138	но с другой	1	1
139	может быть и	2	1
