N	2gram	Propp_Russ	Dialekti
1	т е	41	159
2	и не	6	120
3	и т	13	82
4	а не	3	78
5	и в	59	77
6	т д	12	75
7	точки зрения	3	72
8	может быть	14	71
9	не только	28	66
10	значит что	2	61
11	то что	10	59
12	и есть	1	55
13	ничего не	4	54
14	не может	6	53
15	и даже	1	47
16	с точки	3	46
17	что это	4	46
18	так как	25	46
19	потому что	15	45
20	не просто	3	44
21	как бы	18	43
22	и что	8	42
23	ни в	1	42
24	не имеет	9	41
25	в том	33	40
26	в этом	18	39
27	то же	6	39
28	что она	4	38
29	в себе	1	38
30	что он	2	37
31	том что	33	37
32	прежде всего	2	37
33	так что	4	36
34	это не	14	36
35	что в	35	34
36	в нем	3	34
37	и все	4	33
38	того что	6	33
39	но и	20	32
40	все это	12	31
41	сказать что	1	30
42	отнюдь не	3	30
43	и как	2	30
44	было бы	3	29
45	так и	8	29
46	как и	19	28
47	никогда не	1	27
48	в виду	3	26
49	не в	2	26
50	есть и	2	26
51	говорить о	2	25
52	и то	2	25
53	и пр	4	25
54	но это	5	24
55	если бы	1	24
56	таким образом	10	23
57	в то	3	23
58	это и	1	23
59	но что	2	22
60	что не	1	21
61	в чем	1	21
62	должна быть	1	21
63	она не	4	21
64	и с	12	20
65	о том	14	20
66	что и	8	20
67	что все	2	20
68	в таком	5	20
69	только в	4	20
70	только тогда	3	20
71	уже не	9	20
72	как раз	1	20
73	и вообще	1	20
74	не менее	3	19
75	в своем	3	19
76	и притом	1	19
77	и это	2	19
78	как это	11	19
79	тогда когда	4	19
80	что мы	1	19
81	и его	2	19
82	не что	3	18
83	с другой	1	18
84	что иное	3	18
85	жизни и	1	18
86	иное как	3	18
87	в особенности	3	17
88	можно сказать	1	17
89	должно быть	2	17
90	в основе	1	17
91	он есть	2	17
92	но если	2	17
93	кроме того	3	16
94	то это	1	16
95	к нему	3	16
96	тем не	3	16
97	или не	2	16
98	в своей	1	16
99	мы не	11	16
100	об этом	11	16
101	же и	1	15
102	только что	1	15
103	все же	7	15
104	так же	7	15
105	и мы	1	15
106	несмотря на	4	15
107	мы уже	2	15
108	самом деле	1	15
109	хотя и	3	15
110	в виде	10	15
111	также и	1	15
112	быть и	3	15
113	и о	4	15
114	на то	2	15
115	или нет	1	14
116	а именно	2	14
117	с ним	2	14
118	не было	3	14
119	д и	1	14
120	и ее	3	14
121	ни с	1	14
122	таком случае	1	14
123	жизнь и	2	14
124	и потому	3	14
125	и к	3	13
126	говорит о	3	13
127	что именно	3	13
128	что они	8	13
129	время как	1	13
130	и следовательно	2	13
131	он не	1	13
132	и та	1	13
133	в силу	2	13
134	ни о	1	13
135	но в	5	13
136	не могу	1	13
137	в ней	3	13
138	именно в	3	12
139	с этим	4	12
140	вопрос о	4	12
141	но не	7	12
142	даже не	1	12
143	могут быть	3	12
144	иной раз	1	12
145	и стало	1	12
146	никак не	1	12
147	не могут	1	12
148	перед нами	2	12
149	еще не	7	12
150	все эти	5	12
151	тем более	1	12
152	а в	16	12
153	что если	2	11
154	в них	10	11
155	как только	2	11
156	в данном	7	11
157	только на	4	11
158	что я	1	11
159	не о	1	11
160	и тем	1	11
161	должны быть	1	11
162	из них	12	11
163	не значит	2	11
164	та же	4	11
165	от того	1	11
166	мы имеем	7	11
167	или в	7	11
168	есть в	2	11
169	мы должны	3	11
170	в одну	1	11
171	во всем	2	10
172	с этой	2	10
173	одно из	6	10
174	в жизни	2	10
175	к тому	4	10
176	во всяком	1	10
177	только как	2	10
178	для того	6	10
179	в меру	1	10
180	мы видим	2	10
181	от этого	2	10
182	себе и	1	10
183	только потому	1	10
184	и для	3	10
185	если же	1	10
186	что для	4	10
187	чтобы не	1	10
188	оно не	2	10
189	то и	4	10
190	только о	1	10
191	в его	3	10
192	в их	5	10
193	поэтический образ	1	10
194	е в	17	10
195	в частности	2	10
196	как мы	11	10
197	как будто	6	10
198	или по	1	9
199	при этом	11	9
200	тому что	4	9
201	случае не	1	9
202	не как	1	9
203	быть может	1	9
204	в этих	3	9
205	и на	14	9
206	мир и	1	9
207	в котором	2	9
208	в одном	4	9
209	превращается в	1	9
210	точка зрения	1	9
211	и он	1	9
212	е что	1	9
213	мы можем	2	9
214	же как	5	9
215	на этом	6	9
216	иметь в	2	9
217	общего с	1	9
218	и по	10	9
219	подобно тому	3	9
220	с ними	6	9
221	то время	3	9
222	все на	1	9
223	как о	1	9
