N	4gram	Bakhtin_sl	Freidism
1	в то же время	15	6
2	ни в чем не	1	4
3	но во всяком случае	1	3
4	одной и той же	1	3
5	но в то же	6	3
6	в том что он	1	2
7	в узком смысле слова	1	2
8	бы то ни было	1	2
9	ни в какой степени	1	2
10	на самом же деле	1	2
11	и связанных с ними	1	2
12	все снова и снова	1	2
13	и потому не может	1	1
14	только с точки зрения	1	1
15	конечно не приходится однако	1	1
16	том что он не	1	1
17	во всех его многообразных	2	1
18	но чаще всего они	1	1
19	или во всяком случае	2	1
20	у нас в руках	1	1
21	оставаясь в пределах одной	1	1
22	одни и те же	1	1
23	как мы уже сказали	3	1
24	мы имеем в виду	1	1
25	не может быть конечно	1	1
26	не выходит за пределы	3	1
27	остановимся на нескольких примерах	1	1
28	в направлении к нему	1	1
29	обстоит дело и со	1	1
30	и связанная с ним	1	1
31	точек зрения оценок и	1	1
32	и не могут быть	1	1
33	одно и то же	2	1
34	дело в том что	1	1
35	так и в отношении	1	1
36	в том что в	1	1
37	до сих пор не	2	1
38	то же время это	1	1
39	чем шире и глубже	1	1
40	строится в направлении к	1	1
41	и в то же	6	1
42	во всяком случае не	1	1
43	в какой степени не	1	1
