N	2gram	Vygotskiy_	Sotsiolo
1	все это	9	7
2	в том	47	5
3	в этом	32	5
4	не только	29	3
5	не в	9	3
6	и в	37	3
7	и только	2	3
8	но ведь	2	3
9	в его	16	3
10	для нас	4	3
11	что в	25	2
12	ведь это	1	2
13	то что	32	2
14	таким образом	39	2
15	том что	42	2
16	или даже	2	2
17	дело не	1	2
18	как бы	16	2
19	в результате	7	2
20	было бы	12	2
21	как будто	1	2
22	в смысле	2	2
23	очевидно что	4	2
24	в частности	8	2
25	и мы	3	2
26	нужно было	1	2
27	но и	23	2
28	конце концов	1	2
29	может быть	19	2
30	по существу	8	2
31	главным образом	2	2
32	и что	11	2
33	нашей науки	2	2
34	за пределы	4	2
35	по отношению	12	2
36	и заключается	2	2
37	в конце	2	2
38	как только	3	2
39	отношению к	11	2
40	тем более	7	2
41	только в	8	2
42	к которому	4	2
43	только как	1	2
44	то же	12	2
45	еще не	1	2
46	противоположностей и	1	1
47	влияет на	2	1
48	а в	4	1
49	что он	16	1
50	в конечном	4	1
51	столь же	8	1
52	даже в	4	1
53	науки о	1	1
54	в таких	1	1
55	в целом	29	1
56	в силу	8	1
57	на этот	7	1
58	что метод	1	1
59	это значит	1	1
60	что эти	3	1
61	жизни он	1	1
62	все эти	6	1
63	не было	1	1
64	представить себе	5	1
65	когда мы	2	1
66	остается в	2	1
67	развития и	3	1
68	природе что	1	1
69	связи с	7	1
70	области знания	1	1
71	ибо по	2	1
72	только то	2	1
73	любой области	1	1
74	в своей	7	1
75	раньше всего	5	1
76	во всяком	6	1
77	и потому	3	1
78	все же	6	1
79	что это	8	1
80	или не	1	1
81	и самым	2	1
82	от друга	4	1
83	на психологию	1	1
84	по крайней	1	1
85	с другой	16	1
86	мы должны	11	1
87	результате его	1	1
88	это как	2	1
89	это же	1	1
90	вытекающих из	1	1
91	единства и	1	1
92	с ним	3	1
93	между тем	10	1
94	собой не	1	1
95	именно и	1	1
96	бананы и	1	1
97	и более	6	1
98	но как	1	1
99	в этой	13	1
100	из себя	1	1
101	и его	10	1
102	опираясь на	3	1
103	ли не	1	1
104	всему этому	1	1
105	развития развитие	1	1
106	нашей работы	8	1
107	никак не	1	1
108	в данном	5	1
109	которая должна	1	1
110	на все	5	1
111	только для	6	1
112	этих вопросов	1	1
113	в области	4	1
114	и по	3	1
115	подвести итоги	1	1
116	первый план	3	1
117	с помощью	16	1
118	же самое	4	1
119	один из	3	1
120	так и	12	1
121	только тогда	4	1
122	в то	7	1
123	полагает что	7	1
124	бы они	1	1
125	может не	4	1
126	слова но	1	1
127	в котором	6	1
128	те же	2	1
129	именно на	1	1
130	между собой	5	1
131	же это	2	1
132	отнюдь не	2	1
133	и не	15	1
134	всяком случае	5	1
135	эти два	1	1
136	тем именно	1	1
137	иначе говоря	4	1
138	же по	1	1
139	от окружающих	1	1
140	он ни	1	1
141	раскрыть перспективы	1	1
142	стоит только	5	1
143	по самому	2	1
144	благодаря тому	3	1
145	том как	1	1
146	говорит за	1	1
147	метода как	1	1
148	и о	1	1
149	и должны	2	1
150	к изучению	3	1
151	вступает в	1	1
152	но не	6	1
153	может служить	1	1
154	это неизбежно	1	1
155	работы как	1	1
156	не способен	2	1
157	для каузального	1	1
158	она должна	4	1
159	этой области	1	1
160	для этого	7	1
161	от общих	1	1
162	прежде всего	12	1
163	тем что	7	1
164	что она	6	1
165	но сам	2	1
166	он по	2	1
167	в строгом	1	1
168	связь между	10	1
169	друг от	4	1
170	утверждает в	1	1
171	в чем	5	1
172	на основании	6	1
173	что автор	1	1
174	а с	8	1
175	происходит не	1	1
176	и будет	1	1
177	не дает	1	1
178	значении слова	2	1
179	мы думаем	4	1
180	в сущности	13	1
181	в область	1	1
182	психологии и	1	1
183	конечном счете	4	1
184	он говорит	2	1
185	факта что	4	1
186	не от	1	1
187	зависит от	2	1
188	представляется нам	1	1
189	крайней мере	1	1
190	тотчас же	1	1
191	из современных	2	1
192	в процессе	19	1
193	него для	1	1
194	я и	1	1
195	новое и	1	1
196	вовсе не	5	1
197	основной вопрос	1	1
198	его построения	2	1
199	против этого	1	1
200	работах и	1	1
201	с одной	14	1
202	больше того	5	1
203	и наконец	3	1
204	для изучения	1	1
205	конечно не	1	1
206	о том	14	1
207	мы не	13	1
208	тому что	6	1
209	в заключение	4	1
210	мысли в	6	1
211	том и	1	1
212	в этих	3	1
213	сама по	3	1
214	у него	2	1
215	по себе	9	1
216	обобщения которые	1	1
217	на отдельные	3	1
218	на первый	3	1
219	без этого	2	1
220	перед нами	7	1
221	из тех	3	1
222	бы он	3	1
223	в любой	1	1
224	это дает	1	1
225	вот в	1	1
226	все то	1	1
227	хотя бы	7	1
228	существу дела	4	1
229	же время	2	1
230	наконец в	2	1
231	что на	2	1
232	это не	5	1
233	одной стороны	15	1
234	в связи	3	1
235	бы в	5	1
236	и должно	1	1
237	и научно	1	1
238	стало быть	2	1
239	в виде	3	1
240	методологической системы	2	1
241	именно в	8	1
242	вопросом о	3	1
243	никогда не	8	1
244	и есть	2	1
245	не может	16	1
246	между ними	2	1
247	и как	7	1
248	принять его	1	1
249	что все	8	1
250	место в	1	1
251	как и	20	1
252	ничего не	6	1
253	в них	5	1
