N	2gram	Losev_Prob	Problema
1	то есть	38	46
2	в его	19	43
3	и не	29	42
4	и в	48	38
5	не может	6	27
6	может быть	11	26
7	как бы	10	22
8	по отношению	2	21
9	в художественном	2	20
10	отношению к	2	19
11	отнюдь не	14	19
12	и с	10	17
13	к содержанию	1	17
14	и его	11	16
15	в этом	31	15
16	в нем	8	15
17	и т	2	14
18	прежде всего	15	13
19	только в	21	13
20	т п	1	13
21	в единстве	1	12
22	но не	12	12
23	в искусстве	2	12
24	художественного творчества	10	12
25	за пределы	1	12
26	ни в	17	11
27	во всех	2	11
28	художественного произведения	1	11
29	и для	11	11
30	в области	3	11
31	таким образом	20	10
32	в их	4	10
33	не входит	2	10
34	отношение к	3	10
35	к нему	3	10
36	не только	28	9
37	его в	9	9
38	не имеет	3	9
39	но и	21	9
40	в поэзии	1	9
41	для нее	1	8
42	в том	25	8
43	и др	1	8
44	и как	10	8
45	входит в	1	8
46	то что	26	8
47	было бы	12	8
48	точки зрения	17	8
49	что в	12	7
50	в самом	7	7
51	не в	16	7
52	вообще не	1	7
53	как и	10	7
54	в своей	29	7
55	совершенно не	1	7
56	между тем	2	7
57	с помощью	2	7
58	с другой	8	7
59	как мы	5	7
60	художественное творчество	5	7
61	еще не	4	7
62	с точки	13	6
63	содержания и	1	6
64	и этим	1	6
65	самом деле	3	6
66	отношения к	1	6
67	все же	12	6
68	не есть	3	6
69	там где	1	6
70	мы можем	5	6
71	только как	1	6
72	на основе	1	6
73	не всегда	5	6
74	дело с	1	6
75	а в	8	6
76	в м	2	6
77	и наконец	4	6
78	ничего не	3	6
79	не к	3	6
80	можно только	1	6
81	так и	15	5
82	должно быть	1	5
83	то же	6	5
84	это не	8	5
85	при этом	6	5
86	в своем	16	5
87	с ним	4	5
88	тем как	2	5
89	не на	1	5
90	в них	5	5
91	быть только	6	5
92	в музыке	1	5
93	для познания	1	5
94	художника и	1	5
95	все эти	12	5
96	большинстве случаев	2	5
97	не нужно	1	5
98	творчества и	1	5
99	а не	7	5
100	его чисто	1	5
101	конечно не	2	5
102	далеко не	6	5
103	в большинстве	1	5
104	могут быть	2	5
105	и о	9	5
106	и прежде	2	5
107	никогда не	7	5
108	в более	1	4
109	к художественному	1	4
110	и потому	4	4
111	в ее	6	4
112	на самом	2	4
113	в виду	3	4
114	другой стороны	8	4
115	в форме	1	4
116	конечно и	1	4
117	что не	3	4
118	в романе	2	4
119	с ними	1	4
120	как в	3	4
121	себя самого	3	4
122	не менее	8	4
123	данном случае	5	4
124	о том	17	4
125	мы здесь	2	4
126	в данном	6	4
127	хотя бы	11	4
128	в ней	4	4
129	можно было	4	4
130	тем самым	2	4
131	сказать что	13	4
132	искусства но	2	4
133	в себе	7	4
134	только по	2	4
135	в других	5	4
136	в нашем	5	4
137	но в	17	4
138	в то	6	4
139	и только	4	4
140	здесь не	12	4
141	в дальнейшем	7	3
142	бы то	4	3
143	и к	9	3
144	от него	1	3
145	к действительности	1	3
146	и на	9	3
147	в таком	4	3
148	они не	3	3
149	творчества в	1	3
150	все что	2	3
151	с одной	5	3
152	не будем	3	3
153	и должно	1	3
154	музыкального произведения	1	3
155	несмотря на	7	3
156	ни было	2	3
157	эстетического созерцания	1	3
158	хотя и	10	3
159	кроме того	5	3
160	имеем дело	1	3
161	тем не	8	3
162	мы в	1	3
163	все это	8	3
164	с другими	1	3
165	не больше	2	3
166	слова не	1	3
167	мы будем	2	3
168	со всеми	5	3
169	но с	1	3
170	и даже	24	3
171	если бы	2	3
172	слова но	2	3
173	и все	12	3
174	как его	1	3
175	например в	1	3
176	ясно что	11	3
177	в мире	1	3
178	на фоне	2	3
179	себя и	1	3
180	да и	5	3
181	том что	29	3
182	и художественного	1	3
183	содержания но	1	3
184	за его	2	3
185	действительности и	4	3
186	вопроса о	1	3
187	на них	1	3
188	не является	2	3
189	которую мы	2	3
190	мы увидим	1	3
191	творчество и	1	3
192	одной стороны	5	3
193	также и	21	3
194	то ни	4	3
195	искусства и	1	3
196	и должна	1	3
197	он не	4	3
198	слова и	1	3
199	бытия в	1	3
200	изоляции и	1	3
201	в тех	2	3
202	и это	3	3
203	этом смысле	4	3
204	же время	1	3
205	или как	1	3
206	природы и	2	3
207	и тем	4	3
208	его как	2	3
209	и сделать	1	3
210	нет и	3	3
211	здесь совершенно	1	3
212	как только	1	3
213	отдельных произведений	1	3
214	одной из	5	3
215	на него	3	3
216	и от	7	3
217	а как	2	3
218	но это	7	3
219	едва ли	13	3
220	в особенности	1	2
221	во всем	5	2
222	андрея болконского	1	2
223	и весь	2	2
224	в частности	5	2
225	что оно	2	2
226	и он	5	2
227	можно говорить	1	2
228	и здесь	1	2
229	же стороны	1	2
230	здесь же	1	2
231	в коем	3	2
232	этой области	1	2
233	ни с	4	2
234	здесь нет	4	2
235	можно и	1	2
236	поэтому в	1	2
237	к себе	1	2
238	том же	2	2
239	оно было	1	2
240	и при	2	2
241	мы имеем	3	2
242	была бы	3	2
243	что эта	3	2
244	следует что	1	2
245	что это	4	2
246	ивана карамазова	1	2
247	этом отношении	4	2
248	души и	1	2
249	из которых	2	2
250	других областях	1	2
251	не обходится	2	2
252	но как	3	2
253	что и	8	2
254	здесь в	7	2
255	в какой	5	2
256	другой же	1	2
257	у нас	17	2
258	и которые	3	2
259	не могут	3	2
260	в виде	25	2
261	чем в	1	2
262	и других	1	2
263	в таких	2	2
264	в своих	3	2
265	не было	4	2
266	связи с	11	2
267	предметом и	1	2
268	или в	7	2
269	их и	1	2
270	но совершенно	1	2
271	в россии	2	2
272	дело в	4	2
273	по существу	2	2
274	форму и	2	2
275	тем что	2	2
276	до степени	1	2
277	только там	1	2
278	случае не	2	2
279	в корне	2	2
280	в связи	11	2
281	я не	3	2
282	что он	12	2
283	к его	5	2
284	человек в	1	2
285	и те	1	2
286	в этих	3	2
287	чем не	2	2
288	в истории	1	2
289	есть только	4	2
290	представляется нам	1	2
291	о которых	2	2
292	о котором	4	2
293	в двух	1	2
294	том как	2	2
295	лишь для	1	2
296	а только	5	2
297	в чем	3	2
298	единство и	1	2
299	к своему	3	2
300	и у	8	2
301	вовсе не	18	2
302	на первый	1	2
303	и вообще	11	2
304	не все	3	2
305	той или	5	2
306	от них	2	2
307	все стороны	1	2
308	без всякой	1	2
309	в каждом	2	2
310	форме и	1	2
311	бы не	4	2
312	ни к	2	2
313	того или	3	2
314	можно сказать	10	2
315	человека в	3	2
316	а к	1	2
317	и более	3	2
318	в котором	5	2
319	не могли	2	2
320	на этом	1	2
321	в едином	1	2
322	раз и	2	2
323	значение но	1	2
324	она не	1	2
325	другими словами	3	2
326	в свою	4	2
327	в значительной	3	2
328	его не	3	2
329	того чтобы	3	2
330	выше в	2	2
331	в другом	6	2
332	в каких	3	2
333	его тела	1	2
334	человека как	1	2
335	но лишь	1	2
336	мы должны	1	2
337	смысле слова	12	2
338	как это	5	2
339	но зато	1	2
340	и вся	1	2
341	но она	1	2
342	и что	9	2
343	и другие	4	2
344	в начале	6	2
345	в нашей	3	2
346	к этому	2	2
347	не вполне	2	2
348	цели и	1	2
349	то или	1	2
350	степени и	1	2
351	или иное	1	2
352	для того	4	2
353	же самое	2	2
354	художественных произведений	1	2
355	нем и	2	2
356	должен быть	2	2
357	эти моменты	1	2
358	и во	2	2
359	других искусствах	2	2
360	только при	1	2
361	и есть	4	2
362	что все	1	2
363	столь же	1	2
364	или иной	4	2
365	на то	2	2
366	с его	3	2
367	этот момент	1	2
368	по поводу	2	2
369	нуждается в	2	2
370	коем случае	3	2
371	здесь мы	2	2
372	смысле мы	1	2
373	или иного	2	2
374	в него	1	2
375	и духовного	1	2
376	в самой	5	2
377	какой мере	3	2
378	и ее	2	2
379	того что	8	2
380	искусства в	2	2
381	и чистой	1	2
382	он должен	2	2
383	в той	5	1
384	которому он	1	1
385	понять как	2	1
386	только я	1	1
387	менее как	1	1
388	об его	3	1
389	этих моментов	1	1
390	от нее	2	1
391	но едва	1	1
392	которые не	1	1
393	в смысловом	1	1
394	но я	2	1
395	во втором	2	1
396	ею путем	1	1
397	для всех	2	1
398	ночь и	2	1
399	до сих	3	1
400	в душе	1	1
401	и прямо	1	1
402	это можно	2	1
403	что у	6	1
404	и мы	1	1
405	не выходит	1	1
406	значение в	1	1
407	говоря уже	2	1
408	смысле что	1	1
409	его состав	1	1
410	она и	2	1
411	рода и	2	1
412	аналогии с	1	1
413	отражение в	1	1
414	что иное	3	1
415	творение из	1	1
416	и которое	1	1
417	выводу что	1	1
418	хотя в	1	1
419	если в	2	1
420	значимости то	1	1
421	вполне только	1	1
422	если он	4	1
423	о той	1	1
424	себе а	3	1
425	для нас	14	1
426	даже к	1	1
427	и вот	1	1
428	его с	2	1
429	на том	1	1
430	искусство в	1	1
431	был бы	2	1
432	некоторой степени	4	1
433	время в	2	1
434	нашей работы	1	1
435	и два	1	1
436	обе эти	1	1
437	жизни человека	1	1
438	не чем	3	1
439	который мог	1	1
440	еще более	4	1
441	но фактически	1	1
442	не теряет	2	1
443	и борьбы	1	1
444	весьма немногое	1	1
445	смысле и	1	1
446	представлений здесь	1	1
447	для него	2	1
448	нас здесь	1	1
449	метафорой или	1	1
450	не для	2	1
451	из всех	2	1
452	художественном созерцании	1	1
453	формы в	1	1
454	мало одного	1	1
455	подчеркнуть что	1	1
456	близка к	1	1
457	это уже	4	1
458	о чем	2	1
459	с тем	7	1
460	нужно сказать	1	1
461	и ученого	1	1
462	с этими	1	1
463	здесь что	1	1
464	никакому сомнению	1	1
465	для искусства	3	1
466	одном и	1	1
467	подход и	1	1
468	частности для	1	1
469	творчества но	1	1
470	жизни как	1	1
471	не как	3	1
472	что дело	1	1
473	со своим	1	1
474	глубоко и	1	1
475	форме как	2	1
476	и за	2	1
477	что никакой	1	1
478	в полном	1	1
479	нас в	5	1
480	форм в	1	1
481	здесь с	1	1
482	ним теперь	1	1
483	к выводу	1	1
484	науки и	2	1
485	они в	1	1
486	совершенно новое	1	1
487	созерцании и	1	1
488	политической и	1	1
489	все а	1	1
490	данной художественной	1	1
491	бы и	1	1
492	исторического процесса	1	1
493	в результате	11	1
494	ног до	1	1
495	связывается с	1	1
496	для них	3	1
497	бы что	1	1
498	то самое	1	1
499	по себе	5	1
500	понимается как	2	1
501	все равно	1	1
502	и творчески	1	1
503	есть уже	1	1
504	под этим	1	1
505	отвлечься от	2	1
506	власти и	2	1
507	и смысл	1	1
508	не принимает	1	1
509	как о	6	1
510	видит в	3	1
511	эту проблему	1	1
512	его тело	1	1
513	природы или	1	1
514	она становится	1	1
515	и чувство	2	1
516	всеми другими	1	1
517	понимании и	1	1
518	а на	1	1
519	пределы данной	1	1
520	бы только	1	1
521	не подлежит	1	1
522	во что	1	1
523	к искусству	1	1
524	силу и	1	1
525	в которой	7	1
526	не о	2	1
527	или другими	1	1
528	от одного	4	1
529	же значение	1	1
530	а о	1	1
531	то на	1	1
532	ее от	1	1
533	в свои	2	1
534	в подобном	1	1
535	имеет для	1	1
536	или иначе	3	1
537	и ночь	1	1
538	входить в	3	1
539	им и	1	1
540	на которое	1	1
541	и техники	1	1
542	равно как	2	1
543	что под	1	1
544	каким образом	1	1
545	если угодно	1	1
546	у толстого	1	1
547	и где	1	1
548	обходится без	1	1
549	и структуру	1	1
550	для историка	1	1
551	но эта	2	1
552	на нее	1	1
553	и чисто	2	1
554	по аналогии	1	1
555	и начинается	1	1
556	что угодно	1	1
557	есть в	6	1
558	как таковое	1	1
559	на себя	2	1
560	искусствам и	1	1
561	но для	2	1
562	это возможно	1	1
563	больше как	1	1
564	ни были	1	1
565	именно в	11	1
566	и всего	4	1
567	такое же	1	1
568	то время	4	1
569	но никогда	1	1
570	превращает его	1	1
571	затем к	1	1
572	в действительности	1	1
573	чувство и	1	1
574	может в	1	1
575	бы все	1	1
576	разума и	2	1
577	тому что	2	1
578	произведения только	2	1
579	и без	5	1
580	то в	4	1
581	и отнюдь	1	1
582	анализа в	1	1
583	независимость от	1	1
584	что по	1	1
585	можно даже	1	1
586	или даже	4	1
587	чем иным	3	1
588	вместе с	15	1
589	слово ни	1	1
590	имеется в	1	1
591	глубине и	1	1
592	жизни в	7	1
593	других художественных	1	1
594	мира и	5	1
595	том смысле	2	1
596	случайно и	1	1
597	как с	2	1
598	по своему	3	1
599	не столь	3	1
600	и со	1	1
601	позицию и	1	1
602	нужной и	1	1
603	спокойно и	1	1
604	ли он	2	1
605	в новом	1	1
606	нисколько не	7	1
607	и следовательно	1	1
608	работ в	1	1
609	это было	2	1
610	моментами и	1	1
611	не носят	1	1
612	себе все	2	1
613	эта последняя	2	1
614	в смысле	8	1
615	в каждой	2	1
616	которая не	1	1
617	нет в	1	1
618	только что	2	1
619	его же	1	1
620	так например	1	1
621	уже не	12	1
622	к тому	7	1
623	сих пор	3	1
624	это самое	1	1
625	ли кто-нибудь	2	1
626	человека а	2	1
627	и своей	2	1
628	лишенным всякой	1	1
629	что является	1	1
630	бы в	2	1
631	моменты в	1	1
632	мере в	4	1
633	и философски	1	1
634	есть именно	1	1
635	произведение является	1	1
636	содержание здесь	1	1
637	с ног	1	1
638	умирает в	1	1
639	но оно	1	1
640	чуждо и	1	1
641	сам же	4	1
642	до того	3	1
643	не говоря	2	1
644	поскольку она	1	1
645	в систематической	1	1
646	свою очередь	2	1
647	а наоборот	2	1
648	художественный образ	4	1
649	находить в	1	1
650	именно как	1	1
651	это и	4	1
652	могли бы	2	1
653	есть попросту	1	1
654	подчеркивает ее	1	1
655	сказали бы	1	1
656	и самого	3	1
657	остановимся на	2	1
658	для его	1	1
659	стремиться к	1	1
660	жизни а	1	1
661	котором можно	1	1
662	то он	2	1
663	а вовсе	1	1
664	только путем	1	1
665	которые могли	1	1
666	всегда с	1	1
667	вопрос о	2	1
668	в художественный	1	1
669	что мы	4	1
670	доходят до	1	1
671	тех же	1	1
672	словом а	1	1
673	это в	2	1
674	всякое чувство	1	1
675	и освобожденный	2	1
676	очень часто	1	1
677	мы уже	2	1
678	даже и	11	1
679	как единство	1	1
680	совсем другой	1	1
681	как метафоры	1	1
682	который уж	1	1
683	отношение и	1	1
684	время как	4	1
685	и если	2	1
686	что их	1	1
687	все свои	2	1
688	так чтобы	1	1
689	в науку	1	1
690	бы мы	1	1
691	ничто не	1	1
692	до головы	1	1
693	еще одного	1	1
694	но эти	2	1
695	это только	1	1
696	но всегда	2	1
697	где-то в	1	1
698	обходится и	1	1
699	по изучению	1	1
700	природы как	1	1
701	но он	5	1
702	с другим	1	1
703	у тех	1	1
704	ли на	1	1
705	более крупных	1	1
706	головы он	1	1
707	в противоположность	3	1
708	уже о	2	1
709	оно является	1	1
710	или же	2	1
711	нас как	1	1
712	необходимо учитывать	1	1
713	с трудом	2	1
714	что вся	1	1
715	дальнейшем и	1	1
716	не чуждо	1	1
717	в созерцании	1	1
718	есть как	2	1
719	быть и	1	1
720	и уже	2	1
721	в главе	1	1
722	новом свете	1	1
723	идет в	1	1
724	было только	2	1
725	с теорией	2	1
726	скорее здесь	1	1
727	его эстетически	1	1
728	только технической	1	1
729	именно на	2	1
730	своему значению	1	1
731	только один	2	1
732	мы все	1	1
733	только на	2	1
734	в которую	1	1
735	отношении к	1	1
736	всех других	1	1
737	с ее	1	1
738	не были	1	1
739	в поэме	3	1
740	и является	6	1
741	и всякому	1	1
742	совершенно разных	1	1
743	как он	2	1
744	в одном	6	1
745	можем это	1	1
746	творца в	1	1
747	приходит к	2	1
748	каждый раз	2	1
749	мы понимаем	1	1
750	было то	1	1
751	им самим	1	1
752	который мы	1	1
753	только тем	1	1
754	к общей	1	1
755	душу и	1	1
756	уже и	4	1
757	можно ли	2	1
758	не что	3	1
759	в совершенно	1	1
760	этот вопрос	1	1
761	можно найти	6	1
762	так же	7	1
763	вещь как	2	1
764	действительность в	2	1
765	что бы	1	1
766	человека и	4	1
767	каждой капле	1	1
768	и исторически	2	1
769	входящая в	1	1
770	в которое	1	1
771	идет речь	2	1
772	быть выражен	1	1
773	а также	8	1
774	его а	1	1
775	этом произведении	2	1
776	им в	1	1
777	или наконец	1	1
778	не раз	4	1
779	смысла и	1	1
780	всего то	2	1
781	но чисто	1	1
782	как человек	1	1
783	на некоторые	1	1
784	как русский	1	1
785	в этой	14	1
786	образ и	1	1
787	я в	4	1
788	истории и	1	1
789	и стремление	2	1
790	к ним	3	1
791	что здесь	8	1
792	и я	1	1
793	установить что	1	1
794	без всякого	3	1
795	человеческой жизни	5	1
796	таковое в	1	1
797	вообще и	3	1
798	форме но	1	1
799	настоящее время	7	1
800	день и	1	1
801	который как	2	1
802	нем не	1	1
803	ее не	1	1
804	однако в	4	1
805	и методы	1	1
806	самодовлеющим художественным	1	1
807	мы называем	1	1
808	которое было	1	1
809	однако для	2	1
810	время был	1	1
811	найти в	1	1
812	мог бы	2	1
813	в положительном	1	1
814	которые в	3	1
815	в контексте	1	1
816	они должны	1	1
817	данного произведения	1	1
818	значение и	2	1
819	является той	1	1
820	виде и	2	1
821	поэзии хотя	1	1
822	есть ни	1	1
823	созерцания и	1	1
824	но именно	2	1
825	до конца	4	1
826	в глазах	1	1
827	на отдельные	1	1
828	суждение и	1	1
829	ни стало	1	1
830	человека из	5	1
831	разрешение вопроса	1	1
832	оно предполагает	1	1
833	разрушило бы	1	1
834	действительно не	1	1
835	нам и	1	1
836	с которым	2	1
837	во всей	1	1
838	все время	5	1
839	в общем	1	1
840	в сознании	3	1
841	россии особенно	1	1
842	бытия и	1	1
843	жизни и	7	1
844	все многообразие	1	1
845	из его	1	1
846	в нее	1	1
847	это преодоление	1	1
848	момент в	1	1
849	которые как	3	1
850	говорить об	1	1
851	который в	10	1
852	иной раз	4	1
853	иным как	3	1
854	и дальше	2	1
855	же мы	1	1
856	для построения	1	1
857	смысле а	1	1
858	правда в	3	1
859	уже чисто	1	1
860	иное как	3	1
861	именно с	1	1
862	из этого	6	1
863	при изучении	1	1
864	наконец все	1	1
865	бы ни	1	1
866	т д	1	1
867	вся эта	3	1
868	культурной жизни	1	1
869	свобода от	1	1
870	мифа но	1	1
871	автора к	1	1
872	жизни таким	1	1
873	всех этих	3	1
874	не просто	12	1
875	этого не	2	1
876	хотя они	2	1
877	изолированный и	1	1
878	они могут	1	1
879	нисходит на	1	1
880	в настоящее	7	1
881	становится в	1	1
882	из них	4	1
883	другой более	1	1
884	и нельзя	1	1
885	часто и	1	1
886	на эту	2	1
887	более и	1	1
888	друг друга	1	1
889	не имеющих	1	1
890	к другому	5	1
891	человека но	2	1
892	и ничего	1	1
893	и быть	1	1
894	вплоть до	2	1
