N	2gram	Propp_Isto	NovoeSre
1	а не	13	17
2	не может	8	16
3	и в	43	16
4	и не	16	11
5	и есть	3	10
6	что в	29	9
7	в эпоху	1	9
8	в том	13	8
9	как не	2	8
10	жизни и	2	8
11	он не	11	8
12	в этом	25	7
13	может быть	22	7
14	средние века	2	7
15	не будет	1	7
16	как и	9	7
17	к новому	1	7
18	ни в	2	6
19	не знает	2	6
20	не в	9	6
21	с его	1	6
22	но это	5	6
23	никогда не	9	6
24	и к	4	5
25	не только	28	5
26	в ней	3	5
27	все это	4	5
28	xix века	1	5
29	в жизни	3	5
30	в нем	11	5
31	с ее	2	5
32	должен быть	1	5
33	перестает быть	1	4
34	и потому	2	4
35	по своему	1	4
36	со всех	1	4
37	потому что	8	4
38	большую роль	1	4
39	это не	10	4
40	прежде всего	3	4
41	в них	6	4
42	то что	20	4
43	не было	2	4
44	и все	4	4
45	не менее	6	4
46	не имеет	3	4
47	и для	3	4
48	о том	4	4
49	во всех	1	3
50	возвращение к	1	3
51	вопрос о	4	3
52	не означает	1	3
53	и пр	19	3
54	должна быть	2	3
55	она не	4	3
56	тому как	3	3
57	в ее	1	3
58	эти формы	2	3
59	что такое	1	3
60	конечно не	3	3
61	подобно тому	3	3
62	не существует	1	3
63	с другой	10	3
64	в средние	2	3
65	к ним	1	3
66	сказать что	5	3
67	наряду с	4	3
68	духа и	1	3
69	с тем	3	3
70	к жизни	2	3
71	не есть	3	3
72	в своей	4	3
73	в мире	1	3
74	как в	6	3
75	перейти к	2	3
76	но и	24	3
77	это было	1	3
78	к ее	1	3
79	к тому	9	3
80	человека и	1	3
81	еще не	15	3
82	с этим	13	2
83	все они	1	2
84	и от	3	2
85	и весь	1	2
86	это и	4	2
87	в центре	1	2
88	силы и	1	2
89	и что	6	2
90	не могли	1	2
91	что она	8	2
92	ли это	2	2
93	не имеют	2	2
94	и было	2	2
95	в религии	3	2
96	зависит от	1	2
97	с одной	2	2
98	хотя бы	3	2
99	такого рода	1	2
100	мы не	3	2
101	через женщину	1	2
102	вот почему	3	2
103	хотя и	4	2
104	ли есть	1	2
105	трудно будет	1	2
106	так и	6	2
107	как это	5	2
108	но она	2	2
109	одной стороны	2	2
110	для чего	1	2
111	не могла	3	2
112	можно было	3	2
113	и должно	1	2
114	не ставит	1	2
115	ни одна	1	2
116	другой стороны	10	2
117	в русском	3	2
118	у него	4	2
119	а в	13	2
120	все время	2	2
121	когда мы	1	2
122	и даже	4	2
123	люди не	1	2
124	в свои	1	2
125	и с	10	2
126	не хотят	1	2
127	вернуться к	1	2
128	связана с	4	2
129	по существу	3	2
130	для этого	1	2
131	нет и	1	2
132	и ночи	1	2
133	равно как	3	2
134	могут быть	9	2
135	в себе	2	2
136	том чтобы	1	2
137	и на	7	2
138	быть в	1	2
139	уже не	11	2
140	я не	3	2
141	не знал	2	2
142	века но	1	2
143	время как	2	2
144	времени в	1	2
145	все эти	8	2
146	же как	8	2
147	такой же	3	2
148	вместе с	12	2
149	но я	1	2
150	который в	1	2
151	одна из	2	2
152	жизнью в	1	2
153	роль в	2	2
154	как будто	2	2
155	но не	10	2
156	в то	2	2
157	должно было	2	2
158	в новом	1	2
159	том что	12	2
160	не будут	1	2
161	так же	16	2
162	и это	5	2
163	но для	2	2
164	в одну	3	2
165	себя в	2	2
166	к богу	2	2
167	но в	15	2
168	формы и	1	2
169	средневековья и	1	2
170	не к	1	2
171	к более	2	2
172	связаны с	1	2
173	и власть	1	1
174	женщины в	1	1
175	она сама	1	1
176	своего рода	1	1
177	в самом	1	1
178	во всем	3	1
179	к одному	1	1
180	времени он	1	1
