N	3gram	Voloshinov	Otkroven
1	для того чтобы	7	3
2	в нем нет	4	3
3	не могут быть	3	2
4	с тем что	1	2
5	а не в	3	2
6	как и все	2	2
7	не может быть	23	2
8	в дневнике писателя	1	2
9	но и в	3	2
10	он ни был	1	1
11	о том что	2	1
12	в том что	9	1
13	то к другому	1	1
14	того чтобы сделать	1	1
15	друг с другом	2	1
16	а иногда и	2	1
17	к одному то	1	1
18	этой речи и	1	1
19	добро и зло	1	1
20	нем нет ничего	1	1
21	и вопрос о	1	1
22	как и в	1	1
23	в самом деле	13	1
24	мужчины и женщины	1	1
25	и не в	3	1
26	смысле этого слова	6	1
27	подойти к этой	1	1
28	во всяком случае	4	1
29	и в самом	1	1
30	это не есть	1	1
31	ни к каким	1	1
32	в другом месте	1	1
33	которым можно было	1	1
34	он сам и	1	1
35	вместо того чтобы	1	1
36	там и здесь	1	1
37	может быть осуществлено	1	1
38	она и не	1	1
39	у нее не	1	1
40	само по себе	2	1
41	и прежде всего	4	1
42	в этом отношении	4	1
43	между этими двумя	2	1
44	и есть та	1	1
45	по сравнению с	1	1
46	а не только	1	1
47	на то что	2	1
48	еще не стал	1	1
49	по природе своей	1	1
50	от того что	2	1
51	прежде всего в	1	1
52	и в том	1	1
53	даже и в	1	1
54	каждом из них	1	1
55	и там и	1	1
56	и не может	11	1
57	одному то к	1	1
58	раскрывается до конца	1	1
59	но к этому	1	1
60	то к одному	1	1
