N	2gram	Voloshinov	VelikijI
1	и не	42	20
2	и в	32	16
3	так как	5	9
4	то что	12	9
5	в истории	5	8
6	еще не	7	8
7	и потому	7	7
8	что они	1	7
9	а не	15	7
10	человека и	1	6
11	не есть	6	6
12	что есть	1	5
13	хотя и	1	5
14	того что	5	5
15	все это	4	5
16	по пути	1	5
17	как бы	31	5
18	на себя	1	5
19	но и	17	5
20	в котором	6	4
21	в этом	27	4
22	что мы	1	4
23	потому что	2	4
24	в его	10	4
25	в ней	5	4
26	так и	21	4
27	это еще	1	4
28	говорить о	2	4
29	и есть	3	4
30	и все	8	4
31	что не	4	4
32	в образе	1	4
33	что все	3	4
34	как и	19	4
35	что он	5	4
36	в силах	1	4
37	и я	1	4
38	в нем	17	4
39	во всех	13	3
40	что в	5	3
41	нет ничего	4	3
42	бы и	2	3
43	в конце	5	3
44	мы же	1	3
45	должно быть	4	3
46	если не	1	3
47	хотя бы	8	3
48	в том	13	3
49	тому что	6	3
50	не в	13	3
51	его во	1	3
52	и что	2	3
53	что и	5	3
54	ни в	7	3
55	превращается в	2	3
56	в этих	2	3
57	оно не	1	3
58	не было	6	3
59	лишь в	17	3
60	к чему	1	3
61	что во	2	3
62	и будет	1	3
63	в жизни	2	3
64	что я	1	3
65	и они	1	3
66	их в	1	3
67	в своей	5	3
68	должна быть	6	3
69	с его	6	3
70	от этого	3	3
71	не имеет	6	3
72	но это	1	3
73	и для	15	3
74	жизни и	4	3
75	в чем	2	3
76	все эти	8	3
77	тот же	4	3
78	но в	13	3
79	к тому	8	3
80	никогда не	7	3
81	людей в	1	3
82	чтобы сделать	1	2
83	что было	2	2
84	всего в	1	2
85	во всяком	8	2
86	от него	4	2
87	его и	3	2
88	жизни все	1	2
89	материалом для	1	2
90	ее и	1	2
91	превращаются в	2	2
92	мы и	1	2
93	не могли	1	2
94	в последнем	1	2
95	они и	3	2
96	которым можно	1	2
97	на том	1	2
98	его не	2	2
99	не так	2	2
100	того чтобы	9	2
101	это не	5	2
102	вместо того	1	2
103	между тем	8	2
104	не только	18	2
105	для него	18	2
106	и тогда	2	2
107	с ним	1	2
108	является в	5	2
109	но теперь	1	2
110	не будет	7	2
111	ее в	2	2
