N	4gram	Vinokur_Ku	formyVre
1	в то же время	4	18
2	одного и того же	2	9
3	и в то же	1	8
4	мы имеем в виду	1	5
5	одно и то же	1	5
6	не для того чтобы	1	4
7	до сих пор еще	1	3
8	и т п но	1	3
9	в одно и то	1	3
10	но для того чтобы	1	2
11	но все же и	1	2
12	все более и более	1	2
13	дело в том что	1	2
14	и т п все	2	2
15	и т п в	2	2
16	и т п наконец	1	2
17	в самом широком смысле	2	2
18	в узком смысле слова	1	2
19	с этой точки зрения	3	1
20	все же и здесь	1	1
21	в широком смысле слова	1	1
22	для того чтобы быть	2	1
23	в зависимости от того	1	1
24	одной и той же	1	1
25	в тех случаях когда	2	1
26	находится в противоречии с	2	1
27	и вместе с тем	1	1
28	в данный момент в	1	1
29	только в том что	1	1
30	не только в том	1	1
31	сих пор еще не	1	1
32	одном и том же	1	1
33	сами по себе они	1	1
34	сводится к тому что	1	1
35	в этом случае он	1	1
36	совершенно ясно что в	1	1
37	в том что он	3	1
38	самом деле может быть	1	1
39	но во всяком случае	1	1
40	в одном и том	1	1
41	и с точки зрения	1	1
42	и пр и пр	2	1
43	в одном ряду с	1	1
44	состояло в том что	1	1
45	во всех этих случаях	1	1
46	из уст в уста	1	1
