N	2gram	Ircho_Kome	Russkaja
1	не может	9	22
2	и не	28	19
3	в этом	18	17
4	в том	24	17
5	с другом	3	14
6	и в	37	14
7	друг с	3	14
8	то что	5	13
9	таким образом	16	11
10	то же	14	11
11	точки зрения	8	11
12	но и	18	10
13	же время	12	10
14	в то	14	10
15	не только	13	9
16	с точки	6	9
17	том что	22	9
18	во всяком	3	9
19	может быть	14	9
20	в себе	4	9
21	прежде всего	7	8
22	того чтобы	9	8
23	как на	1	8
24	не будет	2	7
25	ни к	1	7
26	самом деле	13	7
27	стремление к	1	7
28	к тому	11	7
29	о том	21	7
30	и если	3	7
31	мы должны	1	7
32	и с	5	7
33	отнюдь не	5	7
34	и к	4	6
35	если в	4	6
36	и при	1	6
37	для него	1	6
38	признать что	5	6
39	все это	7	6
40	в своих	4	6
41	если бы	18	6
42	и для	7	6
43	с тем	6	6
44	что он	15	6
45	для того	9	6
46	к которой	1	6
47	в своем	9	6
48	всяком случае	3	6
49	до сих	12	5
50	и на	6	5
51	из которых	7	5
52	только в	3	5
53	по существу	4	5
54	в своей	6	5
55	в последние	2	5
56	жизни в	1	5
57	себя и	2	5
58	между собой	5	5
59	во всех	4	5
60	сих пор	12	5
61	и только	1	5
62	вопрос о	2	5
63	хотя бы	5	5
64	потому что	19	5
65	в нем	8	5
66	между тем	6	5
67	он не	11	5
68	конечно не	4	5
69	а в	12	5
70	при этом	11	5
71	было бы	7	5
72	на то	3	5
73	он должен	1	5
74	никогда не	5	5
75	что в	11	4
76	во всем	2	4
77	бы то	3	4
78	все что	6	4
79	так как	16	4
80	к этой	2	4
81	в его	12	4
82	к соединению	2	4
83	тому чтобы	1	4
84	не могут	2	4
85	его в	9	4
86	более или	2	4
87	отказаться от	3	4
88	не в	7	4
89	при том	1	4
90	вместе с	16	4
91	как и	10	4
92	на земле	2	4
93	в мире	2	4
94	все же	9	4
95	приводит к	4	4
96	в их	5	4
97	к вопросу	2	4
98	со стороны	16	4
99	себе и	1	4
100	ли это	1	4
101	или менее	2	4
102	то ни	4	4
103	можно было	3	4
104	все таки	1	4
105	что же	2	4
106	от того	2	4
107	идет речь	2	4
108	как бы	7	4
109	путь к	1	4
110	в этой	7	4
111	себя в	3	4
112	жизни и	1	4
113	но не	9	4
114	точку зрения	1	4
115	в самом	17	3
116	то в	1	3
117	что они	3	3
118	этом случае	2	3
119	был и	1	3
120	может не	1	3
121	несмотря на	7	3
122	вопросу о	1	3
123	в качестве	4	3
124	для них	1	3
125	что и	12	3
126	сводится к	1	3
127	не было	6	3
128	связи с	5	3
129	или в	1	3
130	тем что	12	3
131	в конце	14	3
132	надо признать	3	3
133	и как	3	3
134	и т	5	3
135	да и	3	3
136	о котором	1	3
137	но если	3	3
138	но мы	1	3
139	еще не	10	3
140	все они	1	3
141	и потому	2	3
142	только к	1	3
143	то это	5	3
144	в положении	2	3
145	ко всем	1	3
146	в лучшем	2	3
147	в другом	2	3
148	лучшем случае	1	3
149	говорить о	6	3
150	приходит к	2	3
151	знаем что	1	3
152	себя от	2	3
153	в большинстве	1	3
154	точке зрения	1	3
155	что для	7	3
156	главным образом	2	3
157	и во	3	3
158	при котором	1	3
159	том чтобы	4	3
160	одной из	4	3
161	что все	1	3
162	в сознании	1	3
163	ибо в	1	3
164	из этого	2	3
165	он сам	1	3
166	и по	3	3
167	конце концов	3	3
168	друг друга	7	3
169	из этих	2	3
170	для этого	3	3
171	таким же	2	3
172	из них	11	3
173	того что	1	3
174	представить себе	2	2
175	не так	4	2
176	от него	2	2
177	в положение	1	2
178	что с	4	2
179	в заблуждение	1	2
180	на совершенно	1	2
181	и вот	3	2
182	должна быть	2	2
183	к себе	9	2
184	сама по	1	2
185	для себя	1	2
186	из всех	3	2
187	же образом	1	2
188	с ним	10	2
189	будет ли	1	2
190	в некоторых	1	2
191	для нас	7	2
192	видеть в	2	2
193	на которой	1	2
194	ни в	14	2
195	в результате	2	2
196	они будут	2	2
197	для переговоров	1	2
198	там и	3	2
199	том и	1	2
200	в этих	2	2
201	у него	10	2
202	по себе	1	2
203	чтобы в	3	2
204	и даже	6	2
205	если не	7	2
206	от друга	1	2
207	не о	3	2
208	себя на	1	2
209	но совершенно	1	2
210	все эти	1	2
211	на себя	10	2
212	том же	2	2
213	указывает на	1	2
214	в таком	2	2
215	принадлежат к	2	2
216	отношения к	2	2
217	тому что	5	2
218	речь шла	2	2
219	участие в	1	2
220	ясно что	12	2
221	которой она	1	2
222	так часто	1	2
223	помнить что	1	2
224	их в	3	2
225	себя как	1	2
226	является не	1	2
227	всю эту	1	2
228	только для	2	2
229	нисколько не	3	2
230	так же	8	2
231	друг от	1	2
232	если человек	1	2
233	любовь к	4	2
234	в других	4	2
235	если же	2	2
236	чтобы понять	1	2
237	с этим	5	2
238	остается в	3	2
239	его и	3	2
240	совершенно не	2	2
241	мы можем	7	2
242	а с	2	2
243	за то	2	2
244	больше чем	4	2
245	и более	1	2
246	всю свою	2	2
247	в котором	6	2
248	мы уже	1	2
249	считает себя	1	2
250	она не	3	2
251	в течение	3	2
252	другом и	1	2
253	но даже	1	2
254	это только	1	2
255	в ней	7	2
256	и тем	4	2
257	быть и	1	2
258	будет найден	1	2
259	в частности	4	2
260	для нее	1	2
261	а не	5	2
262	только на	1	2
263	отношении к	1	2
264	речь идет	5	2
265	в силу	2	2
266	и является	1	2
267	точно так	1	2
268	и что	8	2
269	не должен	1	2
270	чтобы она	1	2
271	и тот	6	2
272	на основании	3	2
273	этого не	1	2
274	людей и	2	2
275	у других	1	2
276	в начале	5	2
277	по отношению	6	2
278	сами эти	1	2
279	целый ряд	5	2
280	даже не	5	2
281	тем самым	1	2
282	и те	1	2
283	чтобы их	1	2
284	этот вопрос	2	2
285	от своей	2	2
286	любви к	5	2
287	состоит в	2	2
288	на это	3	2
289	настоящее время	1	2
290	только с	1	2
291	бы его	1	2
292	друг другу	3	2
293	пути к	2	2
294	они принадлежат	1	2
295	этот человек	2	2
296	обеих сторон	2	2
297	этом и	1	2
298	в глазах	10	2
299	что только	1	2
300	даже если	2	2
301	и от	3	2
302	но в	7	2
303	и есть	3	2
304	по этому	3	2
305	место в	1	2
306	так что	7	2
307	принадлежность к	1	2
308	и о	3	2
309	за нее	2	2
310	как будто	3	2
311	бы ни	1	2
312	в области	3	2
313	это в	2	2
314	во время	8	2
315	взгляде на	1	2
316	не просто	1	2
317	в настоящее	1	2
318	если только	1	2
319	не можем	1	2
320	и наконец	1	2
321	понять что	1	2
322	свое собственное	1	2
323	разумеется что	3	2
324	не к	1	2
325	к нему	8	2
326	мы подходим	1	1
327	когда он	5	1
328	тем не	3	1
329	всего в	1	1
330	ближе к	3	1
331	себе самом	1	1
332	трудно сказать	1	1
333	и весь	1	1
334	однако и	1	1
335	только не	1	1
336	из отдельных	1	1
337	как это	5	1
338	что его	10	1
339	то они	1	1
340	ее и	1	1
341	еще одну	1	1
342	первый и	1	1
343	различны в	1	1
344	один из	6	1
345	что у	2	1
346	и мы	5	1
347	за ним	3	1
348	ничем не	4	1
349	отношению ко	2	1
350	в принципе	1	1
351	на эти	1	1
352	нет ни	2	1
353	же и	2	1
354	хочет быть	2	1
355	хоть и	3	1
356	они не	2	1
357	друга в	1	1
358	а по	5	1
359	без них	1	1
360	которые не	1	1
361	отношению к	4	1
362	собой в	1	1
363	и интенсивности	1	1
364	том числе	2	1
365	мы не	6	1
366	ввести в	2	1
367	на ее	4	1
368	делает возможным	1	1
369	в состоянии	1	1
370	он считает	1	1
371	из таких	1	1
372	не идет	1	1
373	с этой	5	1
374	это не	3	1
375	для всякого	1	1
376	мы знаем	2	1
377	в себя	1	1
378	за ними	1	1
379	можно спорить	1	1
380	более глубоко	1	1
381	только от	1	1
382	если у	1	1
383	можно назвать	1	1
384	даже в	3	1
385	была бы	2	1
386	прийти к	1	1
387	ним в	2	1
388	от которого	1	1
389	о какой-то	2	1
390	не для	1	1
391	эта идея	1	1
392	ни было	3	1
393	ничего кроме	1	1
394	что первое	1	1
395	бы на	2	1
396	очевидно также	1	1
397	на деле	1	1
398	совершенно различных	1	1
399	этом отношении	2	1
400	этого мало	1	1
401	и результаты	1	1
