N	2gram	Medvedev_U	Myshleni
1	в том	2	195
2	в этом	7	167
3	то что	7	166
4	и в	14	162
5	том что	2	161
6	таким образом	2	147
7	что в	1	119
8	не только	10	116
9	того что	1	109
10	в процессе	1	101
11	может быть	6	89
12	что он	2	86
13	не может	7	81
14	как и	3	79
15	и не	8	78
16	только в	2	75
17	речи в	1	70
18	но и	4	70
19	в его	2	67
20	сказать что	1	65
21	и что	1	60
22	было бы	3	60
23	в качестве	1	60
24	то же	5	58
25	могли бы	2	54
26	что мы	2	53
27	в самом	2	52
28	тем что	2	48
29	мы можем	1	48
30	тогда когда	1	47
31	мы не	2	47
32	если бы	2	46
33	но не	2	45
34	с другой	4	45
35	с тем	1	43
36	же как	1	43
37	о том	1	40
38	одной стороны	1	40
39	никогда не	1	39
40	говорит он	1	39
41	с одной	1	39
42	так и	1	39
43	в области	3	38
44	не в	2	37
45	в этой	4	37
46	в своем	1	36
47	а не	10	36
48	с другом	1	35
49	в себе	2	35
50	в которой	1	35
51	и т.д	3	35
52	друг с	1	35
53	он не	1	35
54	для себя	1	35
55	приводит к	1	34
56	прежде всего	8	33
57	по себе	2	33
58	той же	1	32
59	же самое	2	32
60	что и	2	32
61	но в	3	32
62	все же	3	31
63	и то	3	31
64	на то	1	30
65	этом отношении	2	30
66	между тем	2	29
67	могут быть	2	29
68	что с	1	28
69	самом деле	2	28
70	другой стороны	3	27
71	этом случае	1	27
72	в то	3	27
73	и с	2	27
74	в своей	3	27
75	что все	2	27
76	в их	4	26
77	для него	3	26
78	в частности	3	26
79	что она	2	25
80	все это	5	25
81	можно сказать	1	25
82	это не	3	25
83	тот же	1	24
84	в сфере	1	24
85	того как	1	24
86	в нем	1	24
87	бы в	1	23
88	не могут	2	22
89	смысле этого	2	22
90	в известном	1	22
91	к этому	1	21
92	и все	1	21
93	ее в	1	21
94	в пользу	1	20
95	в виду	1	20
96	в котором	1	20
97	как раз	2	20
98	должно быть	1	20
99	по существу	2	20
100	но если	1	19
101	независимо от	1	19
102	в данном	1	19
103	в той	1	19
104	мы и	2	19
105	как на	1	19
106	из которых	1	19
107	но это	2	18
108	этом смысле	2	18
109	их в	1	17
110	не есть	2	17
111	сих пор	2	17
112	до сих	2	17
113	до конца	1	17
114	и для	2	17
115	нам думается	1	17
116	для этого	3	17
117	все что	1	17
