N	3gram	Propp_Isto	PoTuStor
1	с точки зрения	1	6
2	на самом деле	1	4
3	с самого начала	1	4
4	до сих пор	7	3
5	не может быть	6	3
6	может быть это	1	3
7	по сравнению с	1	3
8	во всяком случае	1	3
9	можно сказать что	1	3
10	так же как	10	2
11	и может быть	1	2
12	по аналогии с	1	2
13	о том что	5	2
14	не могут быть	1	2
15	в самом деле	1	2
16	друг на друга	1	2
17	он может быть	1	1
18	другими словами мы	1	1
19	а потом и	1	1
20	так и в	2	1
21	таким образом к	1	1
22	в том что	4	1
23	друг с другом	2	1
24	мы знаем что	8	1
25	что мы здесь	1	1
26	не что иное	1	1
27	что иное как	1	1
28	первый и основной	1	1
29	вместе с тем	7	1
30	вместе с ним	1	1
31	мы уже знаем	1	1
32	первый план выдвигается	1	1
33	но вместе с	4	1
34	однако сказать что	1	1
35	подобно тому как	2	1
36	еще совершенно не	1	1
37	не дает нам	1	1
38	здесь только что	1	1
39	в свою противоположность	2	1
40	и таким образом	2	1
41	но мы знаем	3	1
42	может быть сделан	1	1
43	в мифах и	1	1
44	только для того	1	1
45	в данном случае	2	1
46	мы имеем в	2	1
47	может быть речи	2	1
48	как мы знаем	1	1
49	мы здесь имеем	2	1
50	в том смысле	2	1
51	конечно не может	1	1
52	ничего не говорит	2	1
53	ее не только	1	1
54	же как и	4	1
55	уже знаем что	1	1
56	все что есть	1	1
57	с ним и	1	1
58	а иногда и	2	1
59	ранних ступенях развития	1	1
60	этой точки зрения	2	1
61	себе но оно	1	1
62	мы увидим что	1	1
63	с этой точки	2	1
64	то же самое	1	1
65	для нас очень	1	1
66	как один из	1	1
67	для того чтобы	3	1
68	что может быть	1	1
69	сводится к следующему	1	1
70	один из корней	1	1
71	мы еще не	1	1
72	совершенно так же	3	1
73	и что он	1	1
74	так как он	2	1
75	в нем и	3	1
76	с одной стороны	7	1
77	на первый план	1	1
78	еще не имеет	1	1
79	таким образом и	1	1
80	это и есть	1	1
81	на наших глазах	1	1
82	и входит в	1	1
83	заранее обречены на	1	1
84	и связанные с	1	1
85	в связи с	6	1
86	может быть только	1	1
