N	2gram	Nazirov_Vr	EvropaiE
1	и в	8	37
2	точки зрения	2	23
3	европы и	1	22
4	что в	7	21
5	не только	9	18
6	с точки	2	17
7	в то	5	16
8	то же	5	15
9	отношении к	1	15
10	в качестве	1	14
11	и не	5	14
12	но и	7	14
13	же время	5	14
14	в своем	3	14
15	но в	6	14
16	в этом	8	12
17	в том	3	11
18	россия в	1	11
19	в их	1	11
20	так и	1	10
21	в себе	2	9
22	т е	3	9
23	прежде всего	1	9
24	так же	4	9
25	не может	2	9
26	отнюдь не	2	9
27	в ее	1	8
28	в своей	2	8
29	между тем	5	8
30	было бы	1	8
31	того что	1	7
32	а также	2	7
33	как и	6	7
34	между прочим	1	7
35	по своему	1	7
36	также и	1	7
37	с другой	1	7
38	и даже	6	6
39	вслед за	1	6
40	том что	3	6
41	во всех	1	6
42	может быть	4	6
43	то что	7	6
44	как бы	4	6
45	на то	3	6
46	в той	2	5
47	как нам	1	5
48	тем самым	1	5
49	в россии	5	5
50	но не	1	5
51	же как	2	5
52	в частности	1	5
53	столь же	2	5
54	в самом	1	4
55	то в	1	4
56	для нас	4	4
57	иными словами	1	4
58	именно в	1	4
59	в процессе	1	4
60	не имеет	1	4
61	в каком	1	4
62	тем более	2	4
63	в полной	1	4
64	россии в	2	4
65	несмотря на	4	4
66	в ней	4	4
67	во многих	1	4
68	независимо от	1	4
69	говорит о	1	3
70	но на	1	3
71	приближается к	1	3
72	из всех	1	3
73	этом отношении	1	3
74	себе не	1	3
75	тем что	3	3
76	в таком	1	3
77	как в	1	3
78	в известном	2	3
79	в них	2	3
80	во всяком	1	3
81	во все	1	3
82	по нашему	3	3
83	ли это	1	3
84	идет о	1	3
85	в свою	2	3
86	потому что	1	3
87	во второй	1	3
88	не будет	1	3
89	этот факт	1	3
90	этом смысле	1	3
91	к ним	2	3
92	как на	1	3
93	известном смысле	1	3
94	и от	1	3
95	место в	2	3
96	о том	4	3
97	в остальном	1	3
98	от них	1	3
99	всяком случае	1	3
100	того же	1	3
101	из них	2	3
102	в известной	1	3
103	никогда не	2	3
104	таким образом	2	2
105	именно к	1	2
106	и то	2	2
107	в другой	1	2
108	и во	3	2
109	и этот	1	2
110	по преимуществу	1	2
111	россии не	1	2
112	этот процесс	1	2
113	если в	1	2
114	второй половине	1	2
115	в его	3	2
116	свою очередь	1	2
117	или по	1	2
118	еще более	1	2
119	что это	1	2
120	хотя и	1	2
121	с этим	1	2
122	его на	2	2
123	другой стороны	1	2
124	в этих	1	2
125	также в	1	2
126	но с	1	2
127	в своих	4	2
128	как же	2	2
129	начало в	1	2
130	что к	2	2
131	и с	6	2
132	и можно	1	2
133	заключается в	1	2
134	и все	7	2
135	дошла до	1	2
136	за тем	1	2
137	представление о	1	2
138	вместе с	2	2
139	и как	3	2
140	не есть	1	2
141	в мире	2	2
142	одном из	1	2
143	в сторону	1	2
144	в эту	2	2
145	совершенно прав	1	2
146	на них	1	2
147	нашему мнению	1	2
148	а поскольку	1	2
149	не дают	1	2
150	но как	2	2
151	и отчасти	1	2
152	россию в	1	2
153	в котором	6	2
154	и что	8	2
155	в –	1	2
156	на основе	2	2
157	он не	3	2
158	в развитии	1	2
159	вопросом не	1	2
160	в одном	1	2
161	целый ряд	4	2
162	далеко не	3	2
163	в истории	4	2
164	по своей	1	2
165	при помощи	2	2
166	а в	2	2
167	а тем	1	2
168	в этой	2	2
169	что же	1	2
170	во многом	4	2
171	наряду с	3	2
172	начиная с	2	2
173	могут быть	1	2
174	во всей	1	2
175	в будущее	1	2
176	в силу	1	2
177	на этот	1	2
178	же в	2	2
179	жизни и	1	2
180	такой же	1	2
181	он сам	2	2
182	бы в	1	2
183	и наконец	1	2
184	прочим и	1	2
185	к нему	1	2
186	эти не	1	1
187	в оценке	1	1
188	доступ в	1	1
189	к сожалению	1	1
190	ближе к	1	1
191	во всем	1	1
192	об их	2	1
193	дает нам	1	1
194	которую они	1	1
195	в свое	1	1
196	все что	1	1
197	ее и	1	1
198	а другие	1	1
199	на востоке	1	1
200	для всех	1	1
201	один из	1	1
202	как тот	1	1
203	также что	1	1
204	к этой	1	1
205	время с	1	1
206	за исключением	1	1
207	уже в	4	1
208	чем все	1	1
209	в жизни	1	1
210	том же	2	1
211	мы знаем	2	1
212	и далее	2	1
213	при этом	4	1
214	для него	2	1
215	прототипов в	1	1
216	с ним	4	1
217	и творческого	1	1
218	нас в	1	1
219	не являются	1	1
220	далее в	1	1
221	и другими	1	1
222	быть может	1	1
223	перед ними	1	1
224	мы находим	1	1
225	тому же	1	1
226	отцов и	4	1
227	не было	5	1
228	связи с	3	1
229	ко всем	1	1
230	и сам	1	1
231	как по	1	1
232	что за	1	1
233	во внимание	1	1
234	в ту	1	1
235	в глубине	1	1
236	год а	1	1
237	и всего	1	1
238	то время	1	1
239	может в	1	1
240	рядом с	2	1
241	считать что	1	1
242	мы получаем	1	1
243	в связи	3	1
244	правда в	1	1
245	в соответствии	1	1
246	с такими	1	1
247	этот раз	1	1
248	себя как	1	1
249	все же	6	1
250	имеется в	1	1
251	ли не	1	1
252	его жизни	1	1
253	который не	1	1
254	ли он	1	1
255	о котором	1	1
256	в русских	2	1
257	речь идет	3	1
258	и это	2	1
259	возникает вопрос	1	1
260	об этом	5	1
261	тогда как	2	1
262	что как	1	1
263	уже не	2	1
264	и вообще	1	1
265	нет ничего	1	1
266	не менее	2	1
267	будущее россии	1	1
268	входя в	1	1
269	того в	1	1
270	возвращается к	1	1
271	выше и	1	1
272	и русской	1	1
273	такие же	1	1
274	несомненно в	1	1
275	говорить не	1	1
276	в мировой	1	1
277	более того	1	1
278	из их	1	1
279	в этот	3	1
280	смысле более	1	1
281	быть и	1	1
282	и твердо	1	1
283	в среде	2	1
284	в свет	1	1
285	но они	1	1
286	только эпизод	1	1
287	и их	1	1
288	говорить о	1	1
289	что эта	1	1
290	и детей	4	1
291	в начале	6	1
292	еще в	1	1
293	в обоих	1	1
294	что из	1	1
295	имеет никаких	1	1
296	этот период	1	1
297	как известно	1	1
298	свою пользу	1	1
299	имело бы	1	1
300	некоторое время	1	1
301	этот обмен	1	1
302	соответствии с	1	1
303	что для	1	1
304	что тот	1	1
305	затем в	1	1
306	той же	1	1
307	мы бы	1	1
308	и ее	2	1
309	сам в	1	1
310	это можно	1	1
311	такая же	1	1
312	к которому	1	1
313	с которым	2	1
314	вплоть до	1	1
315	более всего	1	1
316	и о	3	1
317	одна из	2	1
318	с его	3	1
319	и его	3	1
320	это в	2	1
321	в нем	6	1
322	но это	2	1
323	от того	1	1
324	и общим	1	1
325	с ее	1	1
326	всех этих	1	1
327	одного и	1	1
