N	2gram	Losev_Prob	IolandNe
1	и с	10	3
2	что в	12	2
3	он не	4	2
4	должен быть	2	2
5	бы что	1	2
6	ничего не	3	2
7	и не	29	2
8	в этом	31	2
9	и творческую	1	1
10	все эти	12	1
11	для того	4	1
12	и очень	3	1
13	а в	8	1
14	и о	9	1
15	же это	1	1
16	жил в	2	1
17	утверждает что	1	1
18	это было	2	1
19	и со	1	1
20	творчества то	2	1
21	что для	2	1
22	для него	2	1
23	вплоть до	2	1
24	и создавал	1	1
25	тех же	1	1
26	тем что	2	1
27	не случайно	1	1
28	только что	2	1
29	от нее	2	1
30	а если	4	1
31	того же	7	1
32	художественного творчества	10	1
33	не так	4	1
34	и др	1	1
35	его произведения	1	1
36	первую очередь	1	1
37	преступления и	2	1
38	жизни и	7	1
39	с другой	8	1
40	но когда	1	1
41	было не	1	1
42	он с	2	1
43	значительной мере	3	1
44	в эту	1	1
45	стороны он	2	1
46	другой стороны	8	1
47	я не	3	1
48	и оскорбленных	1	1
49	слишком много	1	1
50	то и	7	1
51	в первую	1	1
52	как только	1	1
53	если бы	2	1
54	у и	1	1
55	отношению к	2	1
56	бы все	1	1
57	доказать что	2	1
58	в художественном	2	1
59	по существу	2	1
60	и сам	5	1
61	того что	8	1
62	а с	4	1
63	стало быть	1	1
64	только для	5	1
65	иной как	2	1
66	по поводу	2	1
67	не кто	2	1
68	а также	8	1
69	случайно его	1	1
70	так и	15	1
71	в значительной	3	1
72	ничего в	1	1
73	же писатель	1	1
74	без этого	1	1
75	от этого	4	1
76	униженных и	1	1
77	бы всю	1	1
78	того чтобы	3	1
79	и без	5	1
80	и творчества	1	1
81	а для	1	1
82	бы в	2	1
83	с жизнью	1	1
84	и ничего	1	1
85	а по	1	1
86	есть только	4	1
87	и в	48	1
88	видит в	3	1
89	дает и	1	1
90	это был	3	1
91	никогда не	7	1
92	кто иной	2	1
93	все это	8	1
94	по отношению	2	1
95	со всеми	5	1
96	на котором	1	1
97	был человек	1	1
98	нисколько не	7	1
99	как о	6	1
100	то она	1	1
101	в них	5	1
