N	2gram	Bakhtin_Pr	Myshleni
1	в том	8	195
2	в этом	15	167
3	то что	8	166
4	и в	38	162
5	том что	3	161
6	таким образом	10	147
7	точки зрения	8	143
8	с помощью	7	131
9	что в	7	119
10	мышления и	1	117
11	не только	9	116
12	того что	2	109
13	в процессе	1	101
14	так же	1	100
15	того чтобы	2	91
16	может быть	26	89
17	с точки	6	89
18	что он	2	86
19	не может	27	81
20	как и	7	79
21	для того	2	78
22	и не	42	78
23	только в	13	75
24	в целом	3	74
25	как мы	7	72
26	но и	9	70
27	в его	43	67
28	сказать что	4	65
29	как бы	22	64
30	вместе с	1	62
31	и что	2	60
32	было бы	8	60
33	то же	5	58
34	в основе	5	58
35	могли бы	1	54
36	что мы	1	53
37	в самом	7	52
38	по сравнению	1	51
39	мы должны	2	50
40	к тому	1	49
41	тем что	2	48
42	мы можем	6	48
43	понятий и	2	47
44	на основе	6	47
45	сравнению с	1	46
46	если бы	3	46
47	по отношению	21	45
48	но не	12	45
49	с другой	7	45
50	с тем	1	43
51	понятий в	1	43
52	тем самым	4	43
53	тому что	1	42
54	как это	2	42
55	отношению к	19	42
56	не является	3	41
57	о том	4	40
58	одной стороны	3	40
59	никогда не	5	39
60	с одной	3	39
61	так и	5	39
62	в области	11	38
63	и к	3	37
64	вопрос о	1	37
65	не в	7	37
66	в этой	1	37
67	значение слова	4	37
68	в своем	5	36
69	все эти	5	36
70	как в	4	36
71	а не	5	36
72	и его	16	36
73	можно было	4	35
74	в себе	4	35
75	в которой	1	35
76	в понятиях	1	35
77	он не	3	35
78	связи с	2	34
79	и как	8	34
80	приводит к	3	34
81	прежде всего	13	33
82	при этом	5	33
83	по себе	1	33
84	именно в	1	32
85	и на	3	32
86	что оно	2	32
87	по своему	1	32
88	же самое	2	32
89	что и	2	32
90	и тем	3	32
91	но в	4	32
92	слова и	3	32
93	все же	6	31
94	мысли и	1	30
95	на то	2	30
96	этом отношении	2	30
97	этого слова	1	29
98	между тем	7	29
99	могут быть	5	29
100	что с	1	28
101	самом деле	6	28
102	к слову	1	28
103	только что	1	27
104	в результате	1	27
105	другой стороны	4	27
106	в то	4	27
107	и с	17	27
108	в своей	7	27
109	что все	2	27
110	в их	10	26
111	нашего исследования	1	26
112	что это	2	26
113	для него	1	26
114	в частности	2	26
115	в чем	2	25
116	еще не	7	25
117	все это	3	25
118	можно сказать	2	25
119	мы уже	1	25
120	это не	5	25
121	в смысле	1	24
122	целый ряд	1	24
123	в сфере	1	24
124	на этот	1	24
125	в какой	2	24
126	что эта	2	24
127	в нем	15	24
128	в слове	3	24
129	как уже	1	24
130	в высшей	5	24
131	друг друга	1	23
132	этот вопрос	1	23
133	бы в	1	23
134	ни в	11	23
135	как он	1	23
136	слова в	7	23
137	не могут	2	22
138	то время	1	22
139	смысле этого	1	22
140	столь же	2	22
141	высшей степени	5	22
142	между ними	4	21
143	к этому	2	21
144	и следовательно	1	21
145	и ее	2	21
146	в нашем	4	21
147	его в	9	21
148	все время	1	21
149	показать что	2	21
150	там где	6	21
151	и все	3	21
152	не имеет	9	21
153	в истории	2	21
154	в сознании	1	21
155	и более	2	21
156	отношение к	10	21
157	в виду	4	20
158	не менее	4	20
159	в котором	2	20
160	в другом	2	20
161	к которому	4	20
162	из них	1	20
163	время как	1	20
164	и других	2	20
165	а в	6	20
166	едва ли	3	20
167	к выводу	1	20
168	на этом	2	20
169	в наших	1	20
170	должно быть	5	20
171	по существу	2	20
172	в связи	2	19
173	во всех	11	19
174	но если	1	19
175	независимо от	13	19
176	в данном	4	19
177	в той	1	19
178	с ним	5	19
179	в себя	2	19
180	из которых	2	19
181	речь в	1	19
182	во всем	2	18
183	к действительности	3	18
184	во всей	1	18
185	но это	3	18
186	в отличие	5	18
187	отличие от	5	18
188	приходит к	1	18
189	этом смысле	3	18
190	чем в	2	18
191	в этих	2	17
192	в своих	2	17
193	в одном	1	17
194	я не	2	17
195	не есть	6	17
196	сих пор	1	17
197	до сих	1	17
198	это положение	1	17
199	в свою	2	17
200	в совершенно	1	17
201	до конца	1	17
202	и для	11	17
203	все что	3	17
204	нами в	2	17
205	и от	3	17
206	и есть	2	17
207	совпадает с	2	17
208	обе эти	1	17
209	и только	4	17
210	и другие	2	16
211	в которых	1	16
212	языка и	1	16
213	слово и	2	16
214	значение в	1	16
215	мы имеем	2	16
216	вовсе не	2	16
217	к одному	1	16
218	выводу что	1	16
219	которые не	1	16
220	и даже	3	16
221	по поводу	2	16
222	то в	1	16
223	для нас	1	16
224	которые в	1	16
225	которую мы	3	16
226	тому как	1	16
227	в них	5	15
228	и это	3	15
229	и является	1	15
230	подобно тому	1	15
231	со всеми	3	15
232	данном случае	4	15
233	хотя бы	4	15
234	в начале	2	15
235	становится возможным	1	15
236	отличается от	2	15
237	между этими	1	15
238	но как	2	15
239	том же	2	15
240	ничего не	6	15
241	вообще не	7	15
242	который мы	1	15
243	но что	1	14
244	свою очередь	1	14
245	точка зрения	3	14
246	что у	1	14
247	из этого	1	14
248	и здесь	2	14
249	одной из	3	14
250	он должен	2	14
251	этих двух	1	14
252	не можем	2	14
253	о чем	1	14
254	который в	1	14
255	значение для	3	14
256	и во	2	14
257	с его	2	14
258	имеет место	5	13
259	в действительности	1	13
260	с другими	3	13
261	мышление в	1	13
262	если в	1	13
263	смысле слова	2	13
264	к его	2	13
265	они не	3	13
266	в виде	2	13
267	отнюдь не	19	13
268	она не	2	13
269	человека и	1	13
270	для всех	1	13
271	этой проблемы	1	13
272	связей и	1	13
273	слова как	1	13
274	лишь в	2	13
275	стороны и	1	13
276	благодаря этому	1	13
277	на первый	2	12
278	только на	1	12
279	нашей работы	1	12
280	но он	1	12
281	ясно что	3	12
282	как осуществляется	1	12
283	за пределы	12	12
284	к другому	1	12
285	и потому	4	12
286	в самых	1	12
287	звуковой стороны	1	12
288	еще более	1	12
289	в первом	1	12
290	к нему	10	12
291	несмотря на	3	12
292	в ее	4	12
293	тем не	3	12
294	которых мы	4	12
295	и между	1	12
296	мог бы	1	12
297	это и	1	12
298	первый план	2	12
299	в ней	4	12
300	входит в	8	12
301	не могли	2	11
302	в других	4	11
303	и которое	1	11
304	на том	1	11
305	отношения к	6	11
306	обратимся к	1	11
307	мы будем	3	11
308	с ее	1	11
309	и при	2	11
310	моментов в	1	11
