N	3gram	Medvedev_U	Vladivir
1	в том что	2	29
2	и то что	2	14
3	более или менее	1	11
4	в конце концов	2	11
5	не может быть	4	10
6	в то же	3	10
7	в этом смысле	2	9
8	то же время	3	9
9	на то что	1	8
10	на первый план	1	7
11	так или иначе	1	6
12	само по себе	1	6
13	в данном случае	1	6
14	с другой стороны	3	6
15	но даже и	2	5
16	и в то	1	5
17	бы то ни	3	5
18	не только в	1	5
19	можно сказать что	1	4
20	в этом отношении	2	4
21	сам по себе	1	4
22	по крайней мере	2	4
23	с одной стороны	1	4
24	в последние годы	1	3
25	хотя бы и	2	3
26	в самом деле	2	3
27	не в том	1	3
28	но это не	1	3
29	для тех кто	1	3
30	и в частности	2	3
31	нам представляется что	1	3
32	в первую очередь	1	3
33	и в конце	1	2
34	до сих пор	2	2
35	в этой области	3	2
36	и прежде всего	1	2
37	то ни было	3	2
38	по существу то	1	2
39	или по крайней	1	2
40	а не только	1	2
41	но в то	1	2
42	в этом случае	1	2
43	что он называет	1	2
44	с тем что	1	2
45	ошибок но в	1	1
46	в той же	1	1
47	все и не	1	1
48	что мы и	1	1
49	том что она	1	1
50	конечно не в	1	1
51	говорить не о	1	1
52	но что такое	1	1
53	но тут мы	1	1
54	даны не только	1	1
55	не впадая в	1	1
56	в ней не	1	1
57	такое что мы	1	1
58	то же самое	2	1
59	приходится признать что	1	1
60	в буквальном смысле	1	1
61	в этой же	1	1
62	на каждом шагу	2	1
63	может быть в	1	1
64	бы это было	1	1
65	равно как и	1	1
66	как нам представляется	1	1
67	в значительной мере	1	1
68	выдвигает на первый	1	1
69	в своей работе	1	1
70	это не только	1	1
71	и что все	1	1
72	литературы в течение	1	1
73	все же не	1	1
74	не было бы	1	1
75	в противном случае	2	1
76	что мы можем	1	1
77	несомненно и то	1	1
78	у него уже	1	1
79	в которой все	1	1
80	и не только	1	1
81	то что все	1	1
82	не о чем	1	1
83	что он и	1	1
84	это было бы	1	1
