N	3gram	Vinokur_Ku	Komedia
1	в том что	23	29
2	к тому же	1	21
3	в то же	4	16
4	то же время	4	16
5	до сих пор	5	16
6	в самом деле	14	13
7	о том что	6	13
8	и т п	39	11
9	для того чтобы	21	11
10	в свою очередь	4	10
11	едва ли не	1	10
12	по отношению к	8	9
13	вместе с тем	3	9
14	с одной стороны	2	9
15	речь идет о	3	8
16	с другой стороны	12	8
17	и в самом	4	8
18	так или иначе	3	7
19	бы то ни	1	7
20	в конце концов	3	7
21	то ни было	1	7
22	на этот раз	1	7
23	в первую очередь	3	7
24	во всяком случае	8	7
25	в отличие от	3	6
26	говоря уже о	1	6
27	в связи с	4	6
28	с точки зрения	16	6
29	лет тому назад	1	6
30	до тех пор	1	6
31	не говоря уже	2	6
32	после того как	2	6
33	о том как	3	5
34	и т д	21	5
35	в этом отношении	8	5
36	тем не менее	9	5
37	том что он	4	5
38	чуть ли не	3	4
39	в силу этого	1	4
40	в этой области	3	4
41	т е в	3	4
42	к тому что	2	4
43	но все же	3	4
44	и с этой	2	4
45	в это время	1	4
46	по сравнению с	1	4
47	можно было бы	11	4
48	что и в	1	4
49	друг от друга	1	3
50	более или менее	3	3
51	на мой взгляд	2	3
52	в соответствии с	5	3
53	хотя и не	1	3
54	а то и	1	3
55	вместе с ним	1	3
56	в какой мере	1	3
57	и в силу	1	3
58	на то что	3	3
59	в последние десятилетия	1	3
60	таким образом в	2	3
61	состоит в том	4	3
62	не более чем	1	3
63	то обстоятельство что	15	3
64	если бы он	1	3
65	к мысли что	1	2
66	мере в какой	6	2
67	а может быть	1	2
68	с полным правом	1	2
69	в конечном счете	2	2
70	в большинстве случаев	2	2
71	в каждом из	2	2
72	в этом смысле	8	2
73	при этом что	1	2
74	этом смысле исключения	1	2
75	было ясно что	1	2
76	с этой точки	3	2
77	таким же образом	1	2
78	как раз эта	1	2
79	как и в	1	2
80	всю свою жизнь	1	2
81	том что она	1	2
82	так и в	2	2
83	в первом случае	1	2
84	в зависимости от	7	2
85	точно так же	4	2
86	и в то	1	2
87	том что в	1	2
88	иначе связанные с	1	2
89	если не считать	1	2
