N	2gram	Tiupa_Hudo	Tvorches
1	у достоевского	1	91
2	и в	23	56
3	как бы	11	41
4	в его	11	37
5	в романе	3	34
6	в то	8	30
7	достоевского в	1	27
8	то же	12	25
9	в году	2	24
10	не только	20	24
11	же время	7	24
12	но в	10	24
13	как и	3	23
14	то есть	26	23
15	и не	16	23
16	а в	13	23
17	и его	12	23
18	в этом	12	22
19	что в	7	21
20	в том	20	21
21	он не	4	19
22	том что	9	19
23	может быть	19	19
24	потому что	3	19
25	в преступлении	1	19
26	у него	2	18
27	то что	5	18
28	преступлении и	1	18
29	таким образом	3	17
30	и на	3	17
31	и наказании	1	17
32	что он	5	17
33	все это	2	17
34	при этом	19	16
35	но и	14	16
36	никогда не	2	16
37	как в	2	16
38	прежде всего	5	16
39	не может	9	16
40	xix века	2	15
41	в мире	24	15
42	в этой	2	15
43	с его	6	15
44	и даже	1	14
45	это не	4	14
46	о том	2	13
47	времени в	2	13
48	а не	13	13
49	в котором	1	12
50	тем самым	5	12
51	в целом	3	12
52	в своей	7	11
53	все же	1	11
54	отнюдь не	2	11
55	для него	5	11
56	что достоевский	1	11
57	в самом	7	10
58	творческого процесса	1	10
59	в русской	3	10
60	не в	9	10
61	в конце	1	10
62	только в	7	10
63	так и	12	10
64	но не	13	10
65	как будто	1	10
66	в душе	9	9
67	в своих	1	9
68	первой части	2	9
69	а затем	2	9
70	и от	1	9
71	один из	2	9
72	жизни в	2	9
73	в свою	3	9
74	в нем	6	9
75	даже в	3	8
76	именно в	2	8
77	в соответствии	1	8
78	не менее	5	8
79	так же	2	8
80	ивана карамазова	1	8
81	хотя и	4	8
82	одним из	2	8
83	вместе с	1	8
84	тогда как	15	8
85	соответствии с	1	8
86	одной из	2	8
87	еще не	4	8
88	в себе	13	8
89	так как	1	8
90	романе достоевского	1	8
91	в их	5	8
92	на его	1	8
93	об этом	2	8
94	вовсе не	2	8
95	по сути	6	8
96	человека и	2	8
97	русской литературе	2	7
98	в этих	4	7
99	и сам	3	7
100	например в	4	7
101	уже не	6	7
102	казалось бы	1	7
103	что она	2	7
104	в которой	3	7
105	в чем	2	7
106	в рассказе	3	7
107	не случайно	3	7
108	своего рода	9	7
109	самом деле	2	7
110	сути дела	3	7
111	читателя в	3	7
112	в момент	3	6
113	в принципе	8	6
114	не столько	7	6
115	и как	4	6
116	конечном счете	5	6
117	если он	1	6
118	но у	1	6
119	одна из	2	6
120	его в	4	6
121	в конечном	5	6
122	так что	1	6
123	и ее	3	6
124	героя в	1	6
125	с ним	2	6
126	если бы	3	6
127	приводит к	6	6
128	в повести	2	6
129	все эти	2	6
130	ли не	1	6
131	место в	5	6
132	более не	2	5
133	и другие	2	5
134	быть может	1	5
135	в них	2	5
136	с другой	9	5
137	по отношению	10	5
138	как правило	3	5
139	в своем	4	5
140	в одной	1	5
141	во всей	3	5
142	из них	1	5
143	что они	1	5
144	в ее	6	5
145	что и	2	5
146	не было	1	5
147	что не	1	5
148	в таком	3	5
149	я не	2	5
150	и это	2	5
151	а с	2	5
152	героя и	5	5
153	что это	1	5
154	если не	1	5
155	между тем	4	5
156	дело не	2	5
157	однако это	1	5
158	не так	1	5
159	на деле	3	5
160	с этим	1	5
161	самим собой	5	5
162	в творческом	2	5
163	в истории	1	5
164	начиная с	2	5
165	до конца	1	5
166	том же	1	5
167	но если	1	5
168	тот же	1	5
169	в литературе	2	5
170	как у	1	5
171	бы не	2	5
172	но с	1	5
173	всего романа	1	5
174	и по	2	5
175	отношению к	10	5
176	в известной	1	5
177	с этой	3	4
178	в финале	2	4
179	говорит о	1	4
180	на земле	1	4
181	тем что	1	4
182	роль в	2	4
183	так в	4	4
184	для автора	3	4
185	восходит к	1	4
186	представляет собой	11	4
187	только на	1	4
188	говорить о	4	4
189	говорит что	2	4
190	превращается в	2	4
191	не вполне	2	4
192	что все	1	4
193	точки зрения	11	4
194	крайней мере	1	4
195	к нему	3	4
196	мы видим	1	4
197	по преимуществу	3	4
198	и потому	2	4
199	с точки	3	4
200	однако этот	1	4
201	и через	1	4
202	стремится к	1	4
203	не знает	4	4
204	что его	1	4
205	который в	2	4
206	же как	1	4
207	творческом процессе	1	4
208	в такой	1	4
209	в каждом	1	4
210	не означает	1	4
211	личности и	3	4
212	как это	7	4
213	князя с	1	4
214	главного героя	1	4
215	но только	2	4
216	и я	1	4
217	ту же	1	4
218	но без	1	4
219	себя в	8	4
220	человек это	1	4
221	однако в	4	4
222	могут быть	5	4
223	о его	2	4
224	и есть	1	4
225	ведет к	2	4
226	в область	1	4
227	с ними	2	4
228	и одновременно	5	4
229	героев и	1	4
230	у читателя	1	4
231	свое я	1	4
232	по крайней	1	4
233	перед нами	1	4
234	это и	2	4
235	в основе	7	4
236	и более	2	4
237	сливается с	1	4
238	времени и	2	4
239	между людьми	1	4
240	в отличие	7	4
241	той же	1	4
242	в произведениях	1	4
243	того что	5	4
244	зависит от	1	4
245	xix веке	1	4
246	он же	1	4
247	дело в	1	4
248	о жизни	2	4
249	к жизни	2	4
250	что ж	1	4
251	личности в	4	4
252	творческий процесс	1	4
253	он говорит	1	4
254	он ни	1	4
255	отличие от	7	4
256	но он	3	4
257	в частности	18	4
258	далеко не	4	4
259	в xix	1	4
260	у нее	1	4
261	из жизни	1	4
262	действительной жизни	1	4
263	и к	3	3
264	от него	1	3
265	в виду	5	3
266	другой стороны	6	3
267	по себе	2	3
268	в первом	1	3
269	мысль о	1	3
270	в мир	1	3
271	в жизни	3	3
272	к самому	1	3
273	жизнь на	2	3
274	только для	1	3
275	отличается от	2	3
276	к тому	4	3
277	можно сказать	6	3
278	может служить	2	3
279	точно так	1	3
280	в одном	3	3
281	перед ним	1	3
282	сказать что	4	3
283	человеческих отношений	2	3
284	едва ли	1	3
285	то в	2	3
286	собой в	1	3
287	время в	1	3
288	несмотря на	2	3
289	к которому	4	3
290	иными словами	1	3
291	тому же	1	3
292	для того	5	3
293	я и	7	3
294	воздействие на	1	3
295	не есть	1	3
296	в себя	4	3
297	действительности и	1	3
298	со всеми	1	3
299	и мир	1	3
300	человек как	1	3
301	опираясь на	1	3
302	на этом	2	3
303	говорил о	1	3
304	и тем	4	3
305	и что	4	3
306	является одним	1	3
307	как уже	3	3
308	что для	1	3
309	его как	1	3
310	и др	2	3
311	человека как	1	3
312	писателя в	1	3
313	и особенно	2	3
314	в искусстве	9	3
315	в статье	1	3
316	образом и	2	3
317	если в	1	3
318	живет в	1	3
319	для себя	4	3
320	сводится к	11	3
321	до этого	1	3
322	заключается в	2	3
323	может не	1	3
324	никто не	3	3
325	да и	1	3
326	о котором	1	3
327	со стороны	5	3
328	не является	5	3
329	не умел	1	3
330	автора и	3	3
331	во мне	2	3
332	самого автора	1	3
333	в которую	1	3
334	действия и	1	3
335	автора в	1	3
336	как мы	1	3
337	второй план	1	3
338	друг друга	1	3
339	во времени	4	3
340	жизни не	1	3
341	человека но	1	3
342	жизни но	2	3
343	как к	5	3
344	но на	2	3
345	свидетельствует о	1	3
346	авторской позиции	3	3
347	он и	2	3
348	ее в	2	3
349	части романа	1	3
350	у нас	1	3
351	таком случае	2	3
352	в русском	1	3
353	мы находим	1	3
354	не существует	1	3
355	или в	2	3
356	иного рода	1	3
357	за свою	1	3
358	для которого	2	3
359	при виде	1	3
360	не все	2	3
361	человека к	3	3
362	не по	1	3
363	нельзя не	1	3
364	просто не	1	3
365	по этому	1	3
366	из этих	3	3
367	в него	1	3
368	а по	1	3
369	не с	2	3
370	с ее	6	3
371	в другом	4	3
372	лишь в	7	3
373	дает ему	1	3
374	отношение к	7	3
375	в ходе	5	3
376	во многих	1	3
377	жизни и	1	3
378	в области	8	3
379	более того	1	3
380	все что	1	2
381	трагизма и	1	2
382	же и	1	2
383	которая в	1	2
384	с самим	2	2
385	по выражению	1	2
386	представлений о	1	2
387	в результате	1	2
388	как было	1	2
389	на смену	4	2
390	вслед за	2	2
391	проникает в	1	2
392	героя как	2	2
393	жизнь в	1	2
394	из нее	1	2
395	человек в	1	2
396	его произведений	1	2
397	меня в	1	2
398	начинается с	1	2
399	приходит в	1	2
400	их в	3	2
401	в бою	1	2
402	одновременно и	1	2
403	в одно	2	2
404	в художественном	5	2
405	его личной	1	2
406	с героем	1	2
407	но мы	1	2
408	художественное произведение	3	2
409	сам же	1	2
410	и того	3	2
411	в первую	1	2
412	в данном	4	2
413	жизнь для	1	2
414	из других	1	2
415	не могли	2	2
416	в действительности	1	2
417	очень точно	1	2
418	духовной жизни	2	2
419	между вещами	1	2
420	но кто	1	2
421	входит в	4	2
422	имеет в	1	2
423	е годы	1	2
424	свободу от	1	2
425	свою очередь	2	2
426	в глаза	2	2
427	на наших	2	2
428	настоящее время	1	2
429	в пространстве	2	2
430	нас на	1	2
431	ключ к	1	2
432	это отношение	3	2
433	содержит в	1	2
434	по поводу	1	2
435	восстает против	1	2
436	уже по	1	2
437	о чем	3	2
438	не просто	2	2
439	того же	3	2
440	каждом человеке	1	2
441	во всех	3	2
442	мышления и	2	2
443	своего я	1	2
444	с одной	3	2
445	в произведении	3	2
446	внимание на	1	2
447	так он	1	2
448	как раз	3	2
449	души и	1	2
450	тем не	3	2
451	которого он	2	2
452	чем у	1	2
453	в качестве	31	2
454	с другими	5	2
455	уже говорилось	2	2
456	вокруг себя	1	2
457	входят в	1	2
458	и притом	3	2
459	связи с	3	2
460	не говорит	1	2
461	xviii века	1	2
462	тому что	2	2
463	в связи	3	2
464	и достоевского	1	2
465	от одной	1	2
466	между прочим	1	2
467	рядом с	1	2
468	между собой	2	2
469	глаза ее	1	2
470	войне и	2	2
471	читатель в	1	2
472	но как	2	2
473	еще одним	1	2
474	не сводится	9	2
475	не дает	1	2
476	действующих лиц	1	2
477	кажется что	1	2
478	не будет	3	2
479	одним словом	1	2
480	и является	1	2
481	в комедии	2	2
482	из нас	1	2
483	по своей	7	2
484	на мир	2	2
485	он еще	1	2
486	было бы	1	2
487	я в	13	2
488	с которым	1	2
489	в силу	4	2
490	чаще всего	1	2
491	из этого	2	2
492	бы ни	1	2
493	а как	1	2
494	его можно	1	2
495	нет не	1	2
496	означает что	1	2
497	анны карениной	2	2
498	первую очередь	1	2
499	и против	1	2
500	и здесь	1	2
501	о своих	1	2
502	такова же	1	2
503	и свою	1	2
504	жизни а	2	2
505	своего собственного	1	2
506	в литературной	1	2
507	была бы	3	2
508	и детально	1	2
509	представляют собой	1	2
510	в сущности	1	2
511	и соответственно	2	2
512	сама жизнь	1	2
513	в отношении	4	2
514	ни в	5	2
515	и делает	1	2
516	не могут	1	2
517	должен был	1	2
518	знал и	1	2
519	здесь мы	1	2
520	мы понимаем	1	2
521	заключает в	1	2
522	от автора	1	2
523	произведения в	1	2
524	одновременно с	1	2
525	столь же	2	2
526	тоже не	1	2
527	и будет	1	2
528	жизнь это	1	2
529	к его	3	2
530	известном смысле	2	2
531	быть назван	1	2
532	не имеет	1	2
533	у одного	2	2
534	в известном	2	2
535	не во	1	2
536	будущее в	1	2
537	ни к	2	2
538	со смертью	1	2
539	своей собственной	1	2
540	наконец в	1	2
541	того чтобы	5	2
542	и поэтому	1	2
543	героем и	1	2
544	в стихотворении	3	2
545	а через	1	2
546	самого процесса	1	2
547	и теперь	1	2
548	отношении к	3	2
549	о своем	1	2
550	с автором	1	2
551	числе и	2	2
552	неотделима от	1	2
553	видим в	2	2
554	событий в	1	2
555	в сфере	1	2
556	мог бы	3	2
557	не первым	1	2
558	за пределами	3	2
559	и авторской	1	2
560	всякий раз	2	2
561	к миру	1	2
562	с лизой	1	2
563	рассчитан на	1	2
564	каждой человеческой	1	2
565	значение в	1	2
566	том числе	3	2
567	в формах	2	2
568	с их	2	2
569	слова не	2	2
570	когда же	1	2
571	в таких	1	2
572	не от	2	2
573	и где	1	2
574	всю жизнь	1	2
575	мира а	1	2
576	или даже	3	2
577	при таком	1	2
578	смерти в	1	2
579	и со	1	2
580	и без	1	2
581	путь к	1	2
582	должен быть	2	2
583	художников в	1	2
584	людей в	1	2
585	к одному	1	2
586	нуждается в	1	2
587	перед тем	1	2
588	ведь это	1	2
589	героя к	1	2
590	от всех	2	2
591	по бахтину	2	2
592	но она	2	2
593	отношений между	1	2
594	только то	1	2
595	человека с	3	2
596	не сами	2	2
597	быть определен	1	2
598	что можно	3	2
599	и мире	2	2
600	понимаем что	1	2
601	в литературном	1	2
602	и о	4	2
603	роман и	2	2
604	говорилось выше	1	2
605	это еще	1	2
606	же в	1	2
607	включает в	2	2
608	в е	1	2
609	эти два	1	2
610	может и	1	2
611	однако все	2	2
612	но для	1	2
613	есть не	1	2
614	мира в	2	2
615	принципиально новой	1	1
616	к действительности	3	1
617	по-разному в	1	1
618	и составляет	3	1
619	и возможностей	1	1
620	для всех	1	1
621	пределами текста	1	1
622	это тот	1	1
623	бы несколько	1	1
624	художественном мире	1	1
625	и мира	1	1
626	этого в	1	1
627	он обнаруживает	1	1
628	чего не	1	1
629	рассматриваться в	2	1
630	рассказ о	2	1
631	от имени	2	1
632	и читателем	2	1
633	однако оно	1	1
634	вопросу о	1	1
635	на второй	1	1
636	выступать как	2	1
637	она лишь	1	1
638	тем как	1	1
639	человеком который	1	1
640	жить и	2	1
641	разрыв в	1	1
642	требует от	1	1
643	одно из	2	1
644	и другими	1	1
645	было положено	1	1
646	не бывает	1	1
647	и само	1	1
648	отдельно от	1	1
649	не сможет	1	1
650	мыслится как	5	1
651	сознаний в	1	1
652	а напротив	1	1
653	между автором	2	1
654	можно говорить	1	1
655	о мире	1	1
656	его природы	1	1
657	автором и	1	1
658	по мысли	2	1
659	говорят о	1	1
660	из всего	1	1
661	его личности	1	1
662	том или	1	1
663	мира это	1	1
664	с ума	1	1
665	имеет место	3	1
666	в собственном	1	1
667	что по	1	1
668	позиция автора	2	1
669	к преступлению	1	1
670	дома и	2	1
671	гоголя даже	1	1
672	действительную жизнь	1	1
673	введение в	1	1
674	поскольку он	1	1
675	авторская позиция	1	1
676	и генерализации	1	1
677	себя не	1	1
678	речь идет	2	1
679	их внутреннюю	1	1
680	свою собственную	1	1
681	жизни на	2	1
682	комизм и	1	1
683	искусство и	1	1
684	после его	1	1
685	первый взгляд	1	1
686	его поступки	1	1
687	от внешней	1	1
688	свою душу	1	1
689	эстетической ценности	2	1
690	при всей	2	1
691	между сознаниями	1	1
692	ли я	1	1
693	читатель не	1	1
694	европейского романа	1	1
695	в центр	1	1
696	форм такого	1	1
697	реальностью обладает	1	1
698	и такие	1	1
699	раз и	1	1
700	себя если	1	1
701	сам и	1	1
702	восприятие мира	1	1
703	некоторого рода	1	1
704	в противоположность	3	1
705	бахтин с	1	1
706	одной стороны	3	1
707	ее восприятия	1	1
708	сознания в	4	1
709	между двумя	2	1
710	одновременно он	1	1
711	если нет	1	1
712	в различных	1	1
713	эта система	1	1
714	мне бог	1	1
715	добро и	1	1
716	и те	1	1
717	не что	1	1
718	значения этого	1	1
719	о литературе	3	1
720	и каждого	1	1
721	является как	1	1
722	трагический герой	1	1
723	себе в	1	1
724	до того	1	1
725	отношение слушателя	1	1
726	автора с	2	1
727	художественного произведения	4	1
728	всего что	1	1
729	смысл на	1	1
730	в прошлом	1	1
731	этого мира	1	1
732	и эстетического	1	1
733	к ним	1	1
734	с трагизмом	1	1
735	в комнате	1	1
736	в сотворении	1	1
737	оказывается не	1	1
738	я с	5	1
739	еще нет	1	1
740	жизни как	4	1
741	него не	1	1
742	мир глазами	1	1
743	мы говорим	1	1
744	ее как	1	1
745	над этим	1	1
746	а только	4	1
747	на сцене	1	1
748	в нашем	2	1
749	у себя	1	1
750	с этими	1	1
751	как я	1	1
752	автора мы	1	1
753	нигде не	1	1
754	окна и	1	1
755	их сознания	1	1
756	убийцы в	1	1
757	те и	1	1
758	все без	1	1
759	исходит из	1	1
760	всех людей	1	1
761	не состоится	1	1
762	проникновение в	1	1
763	под именем	1	1
764	современное литературоведение	1	1
765	за полтора	1	1
766	нет никаких	1	1
767	к этим	1	1
768	и открывает	1	1
769	лишь один	1	1
770	видения мира	2	1
771	к языку	1	1
772	чем это	2	1
773	писал в	1	1
774	это своего	2	1
775	себе самом	1	1
776	внутренней жизни	1	1
777	героя не	1	1
778	время для	1	1
779	все мы	1	1
780	бы то	2	1
781	глядя на	1	1
782	только не	1	1
783	к различным	1	1
784	к герою	2	1
785	каждое человеческое	1	1
786	и автора	2	1
787	личности а	1	1
788	от его	1	1
789	что иное	1	1
790	жизни так	1	1
791	до минимума	1	1
792	после чего	1	1
793	моя жизнь	1	1
794	такого рода	12	1
795	оценки и	1	1
796	что сама	2	1
797	не лишено	1	1
798	есть его	1	1
799	проявляется в	1	1
800	а и	1	1
801	ни было	2	1
802	народной жизни	1	1
803	же самую	1	1
804	он решительно	1	1
805	что такое	2	1
806	в герое	1	1
807	или иную	2	1
808	говоря словами	5	1
809	на стадии	1	1
810	о ком	1	1
811	в подобном	1	1
812	в европейской	2	1
813	сколько бы	1	1
814	в одиночку	1	1
815	замысла и	1	1
816	лев толстой	1	1
817	и некоторые	2	1
818	как видно	1	1
819	выпадает из	1	1
820	всех его	1	1
821	можно строить	1	1
822	позиции в	1	1
823	эта позиция	1	1
824	из уст	1	1
825	всех и	3	1
826	жизненной позиции	1	1
827	как говорит	3	1
828	во внутренней	2	1
829	лишь на	1	1
830	между ними	5	1
831	личности с	2	1
832	художественном произведении	1	1
833	в ранг	1	1
834	вдохновения в	1	1
835	именно эту	1	1
836	зрения и	1	1
837	к вопросу	1	1
838	куда же	1	1
839	себе и	1	1
840	персонаж не	1	1
841	и кому	1	1
842	делает его	2	1
843	это тоже	2	1
844	жизни то	2	1
845	встрече с	1	1
846	той или	5	1
847	на которую	1	1
848	мастерства в	1	1
849	читательское восприятие	2	1
850	и литературные	1	1
851	вошел в	1	1
852	весь мир	1	1
853	от себя	3	1
854	толпы так	1	1
855	сознания а	1	1
856	лишь ее	1	1
857	анекдота не	1	1
858	с матерью	1	1
859	пошлости и	1	1
860	не составляет	1	1
861	достоевского оно	1	1
862	подробностями и	1	1
863	читателя и	1	1
864	в структуре	3	1
865	именно потому	1	1
866	всего лишь	6	1
867	то ни	2	1
868	закономерно приводит	1	1
869	или же	1	1
870	речи и	4	1
871	в случае	2	1
872	в развитии	1	1
873	в образы	1	1
874	на чем	1	1
875	и право	1	1
876	мы обнаруживаем	1	1
877	мире на	2	1
878	и роман	1	1
879	в форме	4	1
880	перед лицом	3	1
881	от своего	2	1
882	также и	1	1
883	мы по	2	1
884	как один	1	1
885	следует признать	1	1
886	или иное	1	1
887	в иных	1	1
888	на свое	1	1
889	порой и	1	1
890	а тем	1	1
891	общего с	1	1
892	трагедии шекспира	1	1
893	каждый человек	1	1
894	ролью в	1	1
895	искусства но	4	1
896	стихотворении лермонтова	1	1
897	это делает	1	1
898	обратимся к	1	1
899	что может	2	1
900	он показывает	1	1
901	однако по	1	1
902	говорит ему	1	1
903	автора как	2	1
904	этом у	1	1
905	является его	1	1
906	или иного	4	1
907	сознания однако	1	1
908	основе всех	1	1
909	случае это	1	1
910	чем и	3	1
911	чтобы не	2	1
912	не остается	1	1
913	одного и	3	1
914	к автору	1	1
915	можно только	1	1
916	из окна	1	1
917	в особенности	1	1
918	мире и	2	1
919	однако и	1	1
