N	4gram	Losev_Dial	Morfolog
1	и т д как	1	4
2	в связи с этим	1	4
3	в то время как	6	3
4	это не значит что	1	2
5	и т д в	2	2
6	бы то ни было	1	2
7	и т д он	1	2
8	и тем не менее	2	2
9	не что иное как	6	2
10	ни к чему не	1	2
11	с этой точки зрения	4	1
12	и т д таким	1	1
13	и независимо от того	1	1
14	уже не может быть	1	1
15	с тех пор как	1	1
16	и т д и	8	1
17	если это так то	1	1
18	во что бы то	1	1
19	то это значит что	3	1
20	бы то ни стало	1	1
21	в коем случае не	4	1
22	на его составные части	1	1
23	вопрос о том как	1	1
24	одно и то же	2	1
25	как же может быть	1	1
26	т д таким образом	1	1
27	и т д словом	1	1
28	ничего не говорится и	1	1
29	в то же время	3	1
30	хотя бы только один	1	1
31	и т д все	1	1
32	сюда же относятся такие	1	1
33	что бы то ни	1	1
34	ни в коем случае	4	1
35	в том что все	1	1
36	животных и т д	1	1
37	есть не что иное	3	1
