N	3gram	Tiupa_Narr	SlovoVZh
1	по отношению к	6	11
2	не может быть	5	7
3	можно сказать что	4	5
4	в том что	8	4
5	дело в том	1	4
6	то ни было	3	3
7	до сих пор	1	3
8	этой точки зрения	2	3
9	и не в	4	3
10	бы то ни	3	3
11	тем не менее	3	3
12	может быть и	1	3
13	это не так	1	2
14	на самом деле	1	2
15	то же самое	1	2
16	не довлеет себе	1	2
17	в данном случае	4	2
18	с одной стороны	7	2
19	с другой стороны	4	2
20	до известной степени	1	2
21	с точки зрения	2	2
22	все же не	4	1
23	сам по себе	1	1
24	и с героем	1	1
25	отношению к которому	2	1
26	сами по себе	2	1
27	о том что	6	1
28	в неразрывное единство	1	1
29	включает в себя	1	1
30	на передний план	1	1
31	в самом деле	1	1
32	один и тот	1	1
33	в свою очередь	3	1
34	и должна быть	1	1
35	и тот же	1	1
36	по себе не	1	1
37	но уже в	1	1
38	что не только	1	1
39	как это бывает	1	1
40	как и в	1	1
41	как мы уже	1	1
42	какой бы то	1	1
43	в том же	1	1
44	следует отметить что	1	1
45	никогда не бывает	1	1
46	имеем дело с	1	1
47	только то что	1	1
48	подобно тому как	2	1
49	но в своем	1	1
50	в конечном счете	2	1
51	же как и	1	1
52	по аналогии с	1	1
53	не сливаются в	1	1
54	точки зрения как	1	1
55	в основе своей	4	1
56	можно было бы	2	1
57	в этом отношении	3	1
58	он еще не	1	1
59	так же как	2	1
60	к нему в	1	1
61	то же время	3	1
62	далеко не всегда	1	1
63	тех или иных	1	1
64	точки зрения не	1	1
65	он думает и	1	1
66	и прежде всего	1	1
67	более или менее	2	1
68	в то же	3	1
69	в значительной степени	2	1
70	том что в	1	1
71	мы имеем дело	2	1
72	по крайней мере	1	1
73	какая бы то	1	1
74	в этом смысле	1	1
75	в русской литературе	1	1
76	или хотя бы	1	1
77	или может быть	1	1
78	но все же	4	1
79	к тому же	4	1
80	может быть только	1	1
