N	2gram	Tiupa_Disk	EvropaiE
1	и в	27	37
2	в пределах	4	25
3	точки зрения	6	23
4	что в	8	21
5	не только	36	18
6	с точки	3	17
7	в то	8	16
8	то же	12	15
9	хотя бы	3	15
10	отношении к	1	15
11	в качестве	45	14
12	и не	25	14
13	но и	22	14
14	же время	9	14
15	в своем	11	14
16	но в	15	14
17	в этом	29	12
18	в том	29	11
19	в их	5	11
20	в области	3	11
21	так и	14	10
22	в себе	22	9
23	прежде всего	17	9
24	только в	9	9
25	в смысле	1	9
26	не может	17	9
27	отнюдь не	11	9
28	с одной	12	8
29	в ее	4	8
30	в своей	10	8
31	одной стороны	12	8
32	между тем	5	8
33	было бы	1	8
34	к тому	6	8
35	того что	4	7
36	а также	15	7
37	как и	27	7
38	по своему	3	7
39	также и	6	7
40	с другой	14	7
41	то есть	29	6
42	с этой	2	6
43	и даже	4	6
44	вслед за	1	6
45	и на	8	6
46	том что	27	6
47	вовсе не	1	6
48	во всех	6	6
49	может быть	29	6
50	стороны и	3	6
51	то что	10	6
52	как бы	9	6
53	на то	1	6
54	в той	2	5
55	тем самым	6	5
56	в виде	1	5
57	не в	8	5
58	в россии	1	5
59	но не	17	5
60	от этого	1	5
61	к мировому	1	5
62	со стороны	17	5
63	и потому	3	5
64	же как	1	5
65	в частности	18	5
66	как мы	2	5
67	одной из	4	5
68	столь же	6	5
69	но если	1	5
70	и по	2	5
71	в самом	4	4
72	то в	1	4
73	мы не	2	4
74	даже в	1	4
75	того или	3	4
76	иными словами	1	4
77	не на	3	4
78	и притом	1	4
79	в некотором	1	4
80	именно в	5	4
81	в процессе	6	4
82	по себе	3	4
83	не имеет	1	4
84	в каком	1	4
85	культуры в	1	4
86	тем более	1	4
87	той или	6	4
88	в полной	1	4
89	вопрос о	2	4
90	лежат в	1	4
91	или иного	2	4
92	как совокупность	1	4
93	как это	2	4
94	россии в	1	4
95	несмотря на	1	4
96	в ней	2	4
97	сказать что	4	4
98	можно сказать	7	4
99	или иной	8	4
100	мира в	6	4
101	на всем	1	4
102	независимо от	1	4
103	и к	4	3
104	говорит о	1	3
105	но на	1	3
106	и мы	1	3
107	различия в	1	3
108	в определенном	1	3
109	этом отношении	4	3
110	по общему	1	3
111	ее в	1	3
112	что и	5	3
113	в результате	3	3
114	или иную	1	3
115	мы можем	1	3
116	не является	5	3
117	себе не	4	3
118	как было	1	3
119	на себя	2	3
120	не более	3	3
121	дело в	3	3
122	тем что	4	3
123	очевидно что	1	3
124	в таком	1	3
125	большинстве случаев	2	3
126	как в	16	3
127	жизни в	4	3
128	мира и	3	3
129	и со	1	3
130	в которых	5	3
131	по своим	4	3
132	в известном	1	3
133	на своем	1	3
134	в них	6	3
135	во всяком	3	3
136	бы и	1	3
137	во все	1	3
138	в данном	9	3
139	идет о	2	3
140	в свою	3	3
141	не дает	1	3
142	ту или	1	3
143	всего лишь	1	3
144	представляет собой	24	3
145	связано с	1	3
146	потому что	7	3
147	и тем	2	3
148	во второй	1	3
149	когда он	3	3
150	не будет	1	3
151	заключает в	1	3
152	этом смысле	1	3
153	отметить что	1	3
154	в прошлом	1	3
155	известной степени	3	3
156	существования в	1	3
157	к ним	3	3
158	как на	1	3
159	с тем	1	3
160	известном смысле	1	3
161	в данной	3	3
162	и от	2	3
163	место в	2	3
164	о том	12	3
165	и прежде	2	3
166	от них	1	3
167	мы видели	1	3
168	там где	1	3
169	и только	1	3
170	всяком случае	2	3
171	того же	5	3
172	в культуре	3	3
173	из них	6	3
174	их отношении	1	3
175	в известной	1	3
176	никогда не	3	3
177	всего в	2	2
178	таким образом	4	2
179	иначе говоря	5	2
180	утверждать что	1	2
181	и то	4	2
182	во втором	5	2
183	и во	2	2
184	представляется несомненным	1	2
185	по преимуществу	2	2
186	говоря уже	2	2
187	данном случае	6	2
188	этот процесс	1	2
189	если в	2	2
190	на язык	1	2
191	и того	6	2
192	должна быть	2	2
193	и имеет	1	2
194	в его	9	2
195	свою очередь	3	2
196	или по	1	2
197	но также	2	2
198	что это	1	2
199	хотя и	3	2
200	с этим	3	2
201	пожалуй и	1	2
202	в некоторых	1	2
203	поскольку речь	1	2
204	его на	1	2
205	ни столь	2	2
206	из того	1	2
207	мира то	1	2
208	например с	1	2
209	для них	1	2
210	с другими	1	2
211	другой стороны	5	2
212	в европейской	1	2
213	в этих	4	2
214	культуры не	1	2
215	не могут	2	2
216	всех прочих	1	2
217	но с	1	2
218	в своих	6	2
219	от друга	1	2
220	если бы	1	2
221	или в	2	2
222	начало в	2	2
223	что к	1	2
224	и с	2	2
225	заключается в	3	2
226	и все	5	2
227	представление о	1	2
228	в сферу	3	2
229	стороны в	1	2
230	в какой	2	2
231	имеет место	4	2
232	вместе с	3	2
233	и как	9	2
234	как не	3	2
235	случаях когда	1	2
236	есть в	3	2
237	но по	1	2
238	не есть	3	2
239	в мире	9	2
240	одном из	2	2
241	между собой	2	2
242	между ними	1	2
243	какой-либо иной	1	2
