N	2gram	Nazirov_Tv	Istorich
1	и в	40	181
2	и т	14	160
3	т д	10	142
4	т е	1	133
5	может быть	11	115
6	не только	16	114
7	что он	11	111
8	мы имеем	1	102
9	что в	17	90
10	но и	10	85
11	в этом	11	81
12	так как	6	75
13	то что	9	73
14	таким образом	14	72
15	вместе с	4	71
16	и не	12	67
17	мы видим	3	65
18	все же	9	65
19	в этих	2	64
20	еще не	5	63
21	не может	9	61
22	так же	6	57
23	то же	19	56
24	никогда не	13	56
25	в том	13	53
26	том что	14	53
27	а в	10	52
28	с другой	4	52
29	потому что	10	52
30	и что	2	51
31	и здесь	2	51
32	что и	3	51
33	мы видели	1	49
34	а не	9	48
35	о том	9	48
36	связь с	3	47
37	его в	2	47
38	не в	3	47
39	другой стороны	2	46
40	превращается в	2	45
41	мы должны	1	44
42	но в	11	44
43	это не	9	43
44	и его	14	43
45	мы знаем	2	42
46	в нем	4	42
47	только в	7	42
48	показывает что	5	42
49	как в	10	42
50	представление о	9	41
51	или в	2	39
52	тем что	2	38
53	и на	12	38
54	в его	19	38
55	как и	16	37
56	уже не	6	37
57	мы уже	2	37
58	он не	10	37
59	так и	5	37
60	знаем что	1	36
61	что они	3	35
62	с тем	1	35
63	мы не	3	35
64	здесь мы	2	35
65	все эти	3	35
66	связи с	2	34
67	но не	7	34
68	у него	11	34
69	во время	2	34
70	что это	1	34
71	видим что	1	34
72	представления о	1	33
73	же как	3	33
74	об этом	4	33
75	сих пор	1	32
76	в качестве	2	32
77	один из	5	31
78	прежде всего	10	31
79	то это	2	31
80	так в	1	31
81	представляет собой	4	31
82	ничего не	3	31
83	с этим	2	30
84	с одной	2	30
85	в русской	5	30
86	до сих	1	30
87	к нему	1	30
88	этот мотив	1	30
89	при помощи	4	30
90	но все	1	29
91	одной стороны	1	29
92	как мы	1	29
93	но это	10	29
94	и другие	4	28
95	что она	5	28
96	и с	9	28
97	например в	3	28
98	героя в	4	27
99	так что	4	27
100	могут быть	4	27
101	в образе	4	27
102	того что	3	27
103	в ином	1	27
104	как он	1	27
105	как это	2	26
106	на него	2	26
107	и др	2	26
108	представляют собой	2	26
109	предположить что	1	26
110	в ней	2	26
111	в дальнейшем	7	25
112	и он	4	25
113	не менее	8	24
114	к этому	4	24
115	было бы	2	24
116	раньше чем	1	24
117	в виде	4	24
118	если бы	4	24
119	представлений о	2	23
120	их в	1	23
121	в доме	1	23
122	как бы	26	23
123	точно так	3	23
124	и это	2	23
125	тем не	2	23
126	в этой	7	23
127	имеем в	1	23
128	все это	14	23
129	когда он	4	23
130	в частности	4	23
131	и по	5	22
132	с ним	4	22
133	при этом	14	22
134	связано с	1	21
135	в другом	1	21
136	в одном	3	21
137	сказать что	3	21
138	о смерти	1	21
139	в связи	2	21
140	связан с	4	21
141	должны были	1	21
142	к тому	2	21
143	ее в	3	21
144	из них	4	20
145	из этих	1	20
146	она не	2	20
147	эта связь	1	20
148	наряду с	6	20
149	одна из	5	20
150	в свете	3	20
151	в других	1	20
152	после чего	1	20
153	а затем	5	19
154	с собой	1	19
155	так например	3	19
156	что у	5	19
157	на том	2	19
158	но он	3	19
159	не совсем	1	19
160	на то	1	19
161	и как	5	19
162	живет в	3	19
163	ином мире	1	18
164	после этого	1	18
165	и говорит	1	18
166	в то	23	18
167	что этот	2	18
168	не все	2	18
169	в данном	2	18
170	вовсе не	5	18
171	в них	1	17
172	нас к	1	17
173	когда герой	1	17
174	очень много	1	17
175	выше мы	1	17
176	том как	1	17
177	то и	1	17
178	дело не	3	17
179	и только	2	17
180	и она	1	16
181	герой в	3	16
182	во всех	2	16
183	этот вопрос	4	16
184	возможно что	1	16
185	всех этих	1	16
186	то мы	1	16
187	в котором	8	16
188	не вполне	1	16
189	и действительно	1	16
190	и все	6	16
191	со стороны	1	16
192	перед нами	3	16
193	связана с	2	16
194	даже в	4	15
195	в пределах	1	15
196	в своей	8	15
197	в которых	3	15
198	данном случае	2	15
199	его и	2	15
200	в одной	5	15
201	и эти	1	15
202	как будто	5	15
203	и даже	8	15
204	на его	4	15
205	и тем	2	15
206	он в	1	15
207	здесь герой	1	15
208	друг друга	2	15
209	в целом	7	15
210	с этой	4	14
211	от него	2	14
212	на смену	2	14
213	но мы	1	14
214	по отношению	3	14
215	можно было	1	14
216	в него	2	14
217	и ее	1	14
218	одной из	7	14
219	на вопрос	1	14
220	у нас	2	14
221	и есть	2	14
222	с ней	1	14
223	с того	1	14
224	должен был	2	14
225	отношение к	1	14
226	него и	1	14
227	отношению к	3	14
228	на себя	2	14
229	и наконец	3	14
230	или на	1	13
231	на ней	2	13
232	в своем	4	13
233	время как	1	13
234	по себе	2	13
235	тогда как	3	13
236	в себе	3	13
237	в таких	2	13
238	своего рода	7	13
239	не просто	1	13
240	из дома	1	13
241	и у	3	13
