N	2gram	Kanaev_Sov	VelikijI
1	и не	6	20
2	и в	7	16
3	свободы и	1	12
4	так как	4	9
5	еще не	3	8
6	и потому	3	7
7	а не	3	7
8	человека и	1	6
9	хотя и	1	5
10	все это	3	5
11	как бы	4	5
12	в мире	1	5
13	все что	1	4
14	в этом	7	4
15	в его	2	4
16	в ней	1	4
17	говорить о	2	4
18	и есть	2	4
19	и все	3	4
20	что все	2	4
21	как и	6	4
22	в нем	3	4
23	во всех	1	3
24	что в	2	3
25	и мы	3	3
26	в конце	3	3
27	должно быть	1	3
28	в первый	1	3
29	в том	4	3
30	не в	3	3
31	и что	2	3
32	ни в	1	3
33	не было	1	3
34	к чему	2	3
35	и будет	2	3
36	и они	2	3
37	их в	4	3
38	с его	1	3
39	не имеет	1	3
40	но это	1	3
41	и для	1	3
42	жизни и	4	3
43	все эти	5	3
44	тот же	2	3
45	но в	3	3
46	никогда не	1	3
47	во всяком	2	2
48	его и	1	2
49	уже на	1	2
50	один из	1	2
51	теперь только	1	2
52	это не	4	2
53	не только	4	2
54	человека как	1	2
55	и тогда	1	2
56	с ним	1	2
57	не будет	1	2
58	для нас	3	2
59	прежде всего	5	2
60	для них	1	2
61	можно было	1	2
62	и это	1	2
63	мы не	9	2
64	конечно не	1	2
65	только в	1	2
66	все равно	1	2
67	полного и	1	2
68	а в	4	2
69	в духе	1	2
70	нет и	4	2
71	но не	1	2
72	и во	2	2
73	могут быть	2	2
74	мы это	1	2
75	одна из	3	2
76	свободы выбора	1	2
77	не могут	2	2
78	том что	1	2
79	когда в	1	2
80	для их	1	2
81	но мы	3	2
82	уже не	2	2
83	жизни но	1	1
84	в самом	2	1
85	бы то	1	1
86	а потому	1	1
87	человека в	1	1
88	но как	1	1
89	в окончательном	1	1
90	мы видим	2	1
91	не хотим	1	1
92	на котором	2	1
93	она и	1	1
94	на части	1	1
95	вопрос о	4	1
96	оно из	1	1
97	на этом	2	1
98	может быть	12	1
99	они не	1	1
100	видим что	1	1
101	не имеют	1	1
102	но часто	1	1
103	раз и	1	1
104	и свою	1	1
105	если в	1	1
106	ее на	2	1
107	указать на	1	1
108	это как	1	1
109	и вообще	1	1
110	его с	1	1
111	она не	1	1
112	уже в	3	1
113	что уже	1	1
114	то же	3	1
115	и если	1	1
116	главах мы	1	1
117	то ни	2	1
118	сложное и	1	1
119	следующих главах	1	1
120	это только	1	1
121	не быть	1	1
122	что это	2	1
123	это значит	1	1
124	в следующих	1	1
125	этот третий	1	1
126	нужна для	1	1
127	искать в	1	1
128	мы в	1	1
129	в которую	2	1
130	и всегда	1	1
131	если нет	1	1
132	часто бывают	1	1
133	в одном	3	1
134	у нас	3	1
135	кто же	1	1
136	в этой	3	1
137	в результате	6	1
138	основной вопрос	3	1
139	но что	1	1
140	у него	2	1
141	в новых	2	1
142	так же	1	1
143	в виде	2	1
144	скажут нам	2	1
145	в будущем	1	1
146	iii наконец	1	1
147	в своих	1	1
148	наука не	1	1
149	их и	1	1
150	с другой	1	1
151	на которых	1	1
152	конечно в	2	1
153	в которой	2	1
154	но все	2	1
155	и навсегда	1	1
156	наших дней	1	1
157	может ли	1	1
158	наконец не	2	1
159	известном смысле	1	1
160	то и	2	1
161	себе такую	1	1
162	они нам	1	1
163	и начало	1	1
164	как мы	2	1
165	и до	1	1
166	в процессе	1	1
167	же они	1	1
168	где можно	1	1
169	бы все	1	1
170	вот к	1	1
171	в своем	1	1
172	вражда к	1	1
173	человек и	1	1
174	и от	1	1
175	мы будем	1	1
176	ничего не	6	1
177	весь мир	1	1
178	и именно	2	1
179	по крайней	1	1
180	в третьем	2	1
181	человек с	1	1
182	природы и	1	1
183	вместе с	4	1
184	все же	3	1
185	он осуществляет	1	1
186	жизни в	1	1
187	значение в	2	1
188	роль в	2	1
189	и по	2	1
190	и путем	1	1
191	их на	1	1
192	и могут	1	1
193	и эта	1	1
194	к этому	1	1
195	всего только	2	1
196	отказавшись от	1	1
197	ли он	1	1
198	для чего	1	1
199	зависимости от	4	1
200	есть то	1	1
201	в известном	1	1
202	таким же	1	1
203	не случайно	1	1
204	стать в	1	1
205	в целом	4	1
206	крайней мере	1	1
207	жизни не	1	1
208	вовсе не	1	1
209	есть не	1	1
210	ним или	1	1
211	и нет	1	1
212	окажется всего	1	1
213	к нему	1	1
214	а потом	1	1
