N	4gram	Tiupa_Disk	Formalny
1	в то же время	7	20
2	и не может быть	1	7
3	и в то же	2	6
4	одни и те же	1	5
5	с одной стороны и	3	5
6	нет и не может	1	4
7	в том числе и	3	3
8	одним и тем же	1	2
9	не говоря уже о	2	2
10	то же время и	2	2
11	не в том что	1	2
12	в том или ином	1	2
13	в их отношении к	1	1
14	в том случае если	1	1
15	с той или иной	2	1
16	одно и то же	2	1
17	от отца к сыну	1	1
18	большей или меньшей степени	1	1
19	сами по себе не	1	1
20	дело в том что	3	1
21	в большей или меньшей	1	1
22	во всяком случае ясно	1	1
23	по отношению к самому	1	1
24	только в том случае	1	1
25	ни в чем не	1	1
26	с другой стороны в	1	1
27	состоит в том чтобы	1	1
28	или во всяком случае	1	1
29	но в таком случае	1	1
30	дистанцию по отношению к	1	1
31	одного и того же	4	1
32	не сводится к одной	1	1
33	дело не в том	1	1
34	которое не может быть	1	1
35	не от отца к	1	1
36	говорит о том что	1	1
