N	4gram	Losev_Dial	slovoVRo
1	в то же время	3	18
2	но в то же	1	7
3	и в то же	2	6
4	как мы уже сказали	1	4
5	с одной стороны и	1	4
6	можно прямо сказать что	1	3
7	одно и то же	2	3
8	с этой точки зрения	4	2
9	с точки зрения самого	1	2
10	ни в чем не	1	2
11	в то время как	6	2
12	на ту же тему	1	2
13	в зависимости от характера	1	2
14	на самом же деле	1	1
15	мы имеем в виду	1	1
16	не может находиться в	1	1
17	и в зависимости от	1	1
18	с точки зрения категории	1	1
19	в том что в	1	1
20	необходимо иметь в виду	1	1
21	и нет ничего что	1	1
22	одной и той же	4	1
23	рассматривать с точки зрения	1	1
24	в связи с этим	1	1
25	можно сказать что в	1	1
26	ровно ничего не может	1	1
27	выдвигает на первый план	1	1
28	может идти не о	1	1
29	в зависимости от этих	2	1
30	нас в данном случае	1	1
31	бы то ни было	1	1
32	все это не может	1	1
33	же как и в	1	1
34	для нас в данном	1	1
35	он не может быть	1	1
36	с той или иной	1	1
37	тем не менее в	1	1
38	так же как и	1	1
39	ту же тему и	1	1
