N	2gram	Bakhtin_sl	FransuaR
1	и в	69	367
2	то есть	46	209
3	в этом	21	112
4	и т.п	1	108
5	и не	32	101
6	у рабле	3	100
7	таким образом	16	100
8	и его	45	99
9	в его	19	98
10	прежде всего	14	92
11	не только	37	87
12	мы уже	4	85
13	но и	37	84
14	как бы	16	82
15	все эти	15	79
16	вовсе не	16	77
17	в романе	64	77
18	как и	8	76
19	в нем	44	75
20	но в	13	75
21	и на	17	72
22	и др	17	72
23	в том	7	71
24	как мы	15	71
25	то же	17	66
26	и все	9	66
27	в них	11	65
28	в этой	1	65
29	так и	22	65
30	и с	10	64
31	в сущности	18	64
32	в то	17	63
33	во всех	25	62
34	все это	14	62
35	же время	15	55
36	что в	3	52
37	в своем	9	51
38	только в	9	48
39	так как	7	46
40	и до	2	46
41	том что	6	45
42	уже говорили	1	44
43	то что	2	41
44	здесь в	6	41
45	у него	5	40
46	жизни и	5	40
47	в самом	6	38
48	точки зрения	24	37
49	в ней	7	37
50	с его	8	36
51	о том	5	35
52	он был	1	35
53	может быть	40	35
54	мы видим	2	35
55	сказать что	4	34
56	и даже	11	34
57	в себе	3	34
58	до нас	1	34
59	рядом с	7	32
60	мы видели	3	32
61	в конце	1	32
62	он не	5	32
63	для него	8	32
64	до конца	25	31
65	в литературе	1	31
66	в своей	8	31
67	так же	2	30
68	но он	4	30
69	один из	9	30
70	потому что	2	30
71	той же	3	30
72	и потому	9	30
73	никогда не	9	30
74	в духе	3	29
75	в одном	4	29
76	еще не	9	29
77	связи с	4	29
78	в этих	8	29
79	что он	2	29
80	не может	27	29
81	в особенности	10	29
82	при этом	12	29
83	его в	7	29
84	не в	14	29
85	и к	9	28
86	из них	3	28
87	всех этих	8	28
88	также и	5	28
89	в той	13	28
90	в основе	8	28
91	и другие	3	27
92	сих пор	4	27
93	до сих	4	27
94	том числе	1	27
95	в образах	1	27
96	все же	10	27
97	по своему	2	27
98	роль в	4	27
99	и их	6	27
100	кроме того	6	26
101	средние века	1	26
102	в условиях	3	26
103	в средние	1	26
104	все они	9	26
105	на самом	2	25
106	в области	1	25
107	с помощью	5	25
108	но это	3	25
109	мира и	4	25
110	он и	1	24
111	но не	7	24
112	например в	6	24
113	в ее	2	24
114	и у	2	24
115	и от	5	24
116	как в	18	24
117	того чтобы	1	24
118	в частности	3	24
119	в большинстве	16	24
120	отношение к	8	24
121	большинстве случаев	11	23
122	так сказать	11	23
123	и здесь	5	23
124	с ним	12	23
125	и для	7	23
126	в их	6	23
127	есть и	1	23
128	к нему	7	23
129	это не	8	23
130	даже в	4	22
131	не было	4	22
132	а в	10	22
133	тем что	1	22
134	что и	2	22
135	и других	5	22
136	там где	10	22
137	поэтому и	7	22
138	вместе с	3	22
139	и во	3	22
140	форм и	3	22
141	связь с	2	22
142	и о	3	22
143	именно в	5	21
144	культуры и	2	21
145	в отношении	9	21
146	уже в	2	21
147	и как	3	21
148	есть в	1	21
149	в качестве	4	21
150	одним из	5	21
151	в себя	3	21
152	ни в	4	21
153	и наконец	9	21
154	в виду	2	20
155	в связи	2	20
156	и это	1	20
157	в значительной	6	20
158	одной из	4	20
159	этом отношении	2	20
160	с точки	11	20
161	как раз	3	20
162	они были	3	20
163	а также	5	20
164	во всем	3	19
165	к этому	3	19
166	в эту	3	19
167	того же	7	19
168	за пределы	6	19
169	было бы	3	19
170	с ее	6	19
171	с другой	8	19
172	на протяжении	3	19
173	хотя и	4	19
174	в форме	3	19
175	далеко не	7	19
176	существенную роль	1	18
177	на мир	6	18
178	со всеми	3	18
179	конечно и	3	18
180	это и	1	18
181	здесь не	6	18
182	одна из	6	18
183	на этом	4	18
184	связанные с	7	18
185	перед нами	7	18
186	связан с	2	18
187	в большей	3	17
188	большей или	5	17
189	для того	2	17
190	конечно не	7	17
191	в результате	4	17
192	можно было	2	17
193	своего времени	1	17
194	связанных с	4	17
195	на его	9	17
196	числе и	1	17
197	в плане	11	17
198	еще более	7	17
199	но все	2	17
200	для рабле	1	17
201	меньшей степени	4	17
202	связана с	2	17
203	того что	4	17
204	века и	1	17
205	а не	29	17
206	в другом	4	16
207	влияние на	3	16
208	с одной	7	16
209	между ними	2	16
210	между тем	5	16
211	нужно сказать	1	16
212	и одновременно	2	16
213	почти вовсе	5	16
214	тот же	1	16
215	в начале	1	16
216	в свете	3	16
217	или меньшей	5	16
218	ничего не	5	16
219	они не	3	16
220	дело в	2	16
221	мысли и	1	15
222	а затем	1	15
223	характерно что	3	15
224	в которой	4	15
225	на весь	1	15
226	не были	3	15
227	из этих	3	15
228	мы еще	1	15
229	с их	1	15
230	от всех	1	15
231	особенно в	3	15
232	и вообще	2	15
233	одно из	1	15
234	как на	1	15
235	в нашем	1	15
236	xix века	2	15
237	еще в	1	15
238	в истории	6	15
239	в самой	1	15
240	и прежде	1	15
241	и образ	2	14
242	в котором	2	14
243	характер и	2	14
244	в чем	2	14
245	образом в	4	14
246	и по	3	14
247	с миром	1	14
248	мы не	4	14
249	на них	2	14
250	здесь только	1	14
251	все что	1	14
252	в данном	5	14
253	и он	1	14
254	несмотря на	2	14
255	слов и	5	14
