N	2gram	Bakhtin_fo	Istorich
1	и в	84	181
2	и т	21	160
3	т д	3	142
4	может быть	18	115
5	не только	16	114
6	что он	2	111
7	мы имеем	2	102
8	что в	9	90
9	но и	14	85
10	в этом	41	81
11	так как	12	75
12	то что	13	73
13	таким образом	14	72
14	вместе с	9	71
15	и не	19	67
16	мы видим	4	65
17	все же	12	65
18	в этих	6	64
19	еще не	8	63
20	не может	8	61
21	так же	7	57
22	то же	18	56
23	никогда не	8	56
24	в том	16	53
25	том что	7	53
26	а в	6	52
27	с другой	4	52
28	потому что	11	52
29	и что	1	51
30	и здесь	2	51
31	что и	5	51
32	мы видели	2	49
33	а не	7	48
34	о том	4	48
35	его в	8	47
36	не в	10	47
37	другой стороны	1	46
38	и пр	2	44
39	мы должны	2	44
40	но в	16	44
41	это не	8	43
42	и его	26	43
43	в нем	28	42
44	только в	12	42
45	как в	10	42
46	представление о	1	41
47	или в	3	39
48	тем что	4	38
49	и на	13	38
50	в его	19	38
51	для нас	2	38
52	как и	15	37
53	уже не	5	37
54	мы уже	17	37
55	он не	6	37
56	что здесь	2	37
57	так и	17	37
58	мы увидим	2	36
59	мы можем	2	36
60	что они	3	35
61	с тем	5	35
62	мы не	4	35
63	здесь мы	4	35
64	все эти	12	35
65	связи с	14	34
66	но не	9	34
67	у него	8	34
68	во время	7	34
69	этого мотива	1	34
70	что это	1	34
71	представления о	1	33
72	же как	2	33
73	там где	4	33
74	об этом	3	33
75	сих пор	4	32
76	попадает в	2	32
77	в качестве	6	32
78	один из	5	31
79	прежде всего	28	31
80	так в	2	31
81	ничего не	9	31
82	с этим	11	30
83	с одной	5	30
84	до сих	4	30
85	в египте	1	30
86	при помощи	1	30
87	этом случае	1	29
88	но все	6	29
89	одной стороны	3	29
90	как мы	19	29
91	но это	1	29
92	и другие	6	28
93	в иной	1	28
94	и с	10	28
95	например в	7	28
96	героя в	1	27
97	так что	4	27
98	могут быть	7	27
99	в образе	8	27
100	того что	5	27
101	в ином	1	27
102	как он	4	27
103	как это	2	26
104	иной мир	1	26
105	на него	1	26
106	мы здесь	1	26
107	и др	13	26
108	в ней	4	26
109	в брак	1	25
110	вопрос о	2	25
111	в дальнейшем	10	25
112	и он	3	25
113	к этому	5	24
114	было бы	2	24
115	в виде	1	24
116	если бы	6	24
117	что мы	2	24
118	их в	6	23
119	в доме	1	23
120	как бы	11	23
121	и это	5	23
122	в этой	3	23
123	имеем в	3	23
124	все это	10	23
125	когда он	1	23
126	в частности	11	23
127	и по	5	22
128	с ним	5	22
129	в мифах	1	22
130	при этом	8	22
131	в некоторых	4	22
132	в другом	2	21
133	в одном	10	21
134	сказать что	4	21
135	совершенно ясно	1	21
136	в связи	13	21
137	связан с	2	21
138	должны были	1	21
139	здесь не	5	21
140	к тому	6	21
141	они не	4	21
142	ее в	2	21
143	из них	8	20
144	из этих	5	20
145	она не	2	20
146	наряду с	7	20
147	одна из	3	20
148	в других	9	20
149	очень часто	1	20
150	а затем	3	19
151	с собой	2	19
152	на том	1	19
153	но он	4	19
154	в тех	1	19
155	не совсем	1	19
156	есть и	4	19
157	на то	1	19
158	и как	12	19
159	живет в	1	19
160	в дом	2	18
161	после этого	2	18
162	в то	13	18
163	что этот	1	18
164	в данном	4	18
165	вовсе не	20	18
166	в них	11	17
167	когда герой	1	17
168	очень много	1	17
169	и этим	2	17
170	том как	2	17
171	то и	1	17
172	по существу	17	17
173	дело не	1	17
174	и только	3	17
175	герой в	2	16
176	во всех	13	16
177	этот вопрос	1	16
178	всех этих	9	16
179	и они	4	16
180	в котором	8	16
181	между двумя	6	16
182	не вполне	1	16
183	и действительно	1	16
184	и все	10	16
185	перед нами	1	16
186	связана с	1	16
187	в пределах	8	15
188	увидим что	1	15
189	за тридевять	1	15
190	но есть	1	15
191	в особенности	15	15
192	уже знаем	1	15
193	и то	5	15
194	в своей	2	15
195	в которых	4	15
196	данном случае	2	15
197	его и	2	15
198	в одной	2	15
199	и даже	5	15
200	на его	1	15
201	и тем	1	15
202	друг друга	3	15
203	в целом	2	15
204	с этой	3	14
205	от него	1	14
206	но мы	1	14
207	по отношению	3	14
208	находится в	3	14
209	мы еще	5	14
210	в него	2	14
211	и ее	4	14
212	одной из	3	14
213	у нас	2	14
214	его на	3	14
215	должна быть	1	14
216	но они	3	14
217	и есть	3	14
218	из которых	1	14
219	с ней	1	14
220	тридевять земель	1	14
221	такое же	1	14
222	а также	5	14
223	уже видели	1	14
224	отношение к	5	14
225	него и	1	14
226	отношению к	5	14
227	на себя	2	14
228	и наконец	6	14
229	или на	1	13
230	на ней	1	13
231	в своем	8	13
232	на котором	2	13
233	время как	5	13
234	по себе	3	13
235	то время	4	13
236	после смерти	1	13
237	и для	12	13
238	в себе	7	13
239	в таких	2	13
240	все что	2	13
241	своего рода	1	13
242	и у	8	13
243	на этом	2	13
244	в форме	5	13
245	и от	3	13
246	с ними	1	13
247	не имеет	5	13
248	смерти и	2	13
249	к своему	2	13
250	таким же	1	13
251	во всем	3	12
252	кроме того	7	12
253	на землю	2	12
254	хотя бы	2	12
255	к себе	8	12
256	а потом	2	12
257	в основном	12	12
258	в их	9	12
259	на более	1	12
260	к ней	2	12
261	к этой	1	12
262	как только	1	12
263	в жертву	1	12
264	не знает	4	12
265	одним из	1	12
266	что не	3	12
267	между прочим	1	12
268	ни один	2	12
269	чаще всего	1	12
270	с мотивом	3	12
271	в более	2	12
272	случаях когда	1	12
273	и их	11	12
274	миф о	1	11
275	в этот	5	11
276	точки зрения	14	11
277	ясно что	2	11
278	я не	1	11
279	от этого	4	11
280	должны быть	2	11
281	главным образом	1	11
282	связанные с	5	11
283	никто не	2	11
284	в очень	1	11
285	только с	1	11
286	уже в	5	11
287	здесь еще	5	11
288	же в	6	11
289	происходит в	2	11
290	имеется в	1	11
291	из дому	1	11
292	на острове	4	11
293	но уже	1	11
294	тех случаях	1	11
295	хотя и	5	11
296	же мы	1	11
297	женится на	1	11
298	в большом	1	11
299	но оно	2	11
300	и вот	2	11
301	и более	3	11
302	такой же	1	11
303	человека в	22	11
304	далеко не	3	11
305	и к	4	10
306	он видит	1	10
307	не как	2	10
308	на земле	2	10
309	к ним	3	10
310	от них	1	10
311	в немецкой	1	10
312	не было	8	10
313	в которой	3	10
314	и тот	2	10
315	почти всегда	2	10
316	его к	2	10
317	видели как	1	10
318	на основе	5	10
319	вступает в	2	10
320	еще один	1	10
321	связанных с	3	10
