N	2gram	Vinokur_Ku	Tragedij
1	и в	44	18
2	в этом	31	9
3	в бесах	1	9
4	в году	3	9
5	не только	29	8
6	и на	8	7
7	достоевский в	1	7
8	и не	23	7
9	может быть	25	7
10	и с	11	7
11	как бы	11	7
12	что он	7	6
13	у него	3	6
14	же время	4	6
15	но в	11	6
16	и его	8	6
17	это не	13	5
18	несмотря на	6	5
19	что это	11	5
20	так и	10	5
21	к жизни	2	5
22	все же	17	5
23	у достоевского	2	5
24	в дальнейшем	1	5
25	то же	12	5
26	как и	3	5
27	не может	13	5
28	в то	4	5
29	что в	25	4
30	в себе	4	4
31	и даже	5	4
32	все это	10	4
33	прежде всего	14	4
34	и все	4	4
35	я не	5	4
36	об этом	4	4
37	еще не	10	4
38	но и	13	4
39	том что	30	4
40	и что	11	4
41	так же	8	4
42	то что	14	4
43	в этой	8	4
44	что я	4	4
45	в нем	7	4
46	но это	4	4
47	в целом	5	4
48	своего рода	4	3
49	и он	4	3
50	что с	2	3
51	один из	8	3
52	достоевского в	1	3
53	должно быть	6	3
54	в основном	1	3
55	уже в	5	3
56	в его	16	3
57	для него	2	3
58	в своем	4	3
59	с ним	5	3
60	о чем	2	3
61	и сам	1	3
62	что за	3	3
63	в конце	5	3
64	и как	3	3
65	как в	6	3
66	при этом	6	3
67	как это	6	3
68	тем самым	5	3
69	мог бы	1	3
70	как будто	2	3
71	отнюдь не	5	3
72	все эти	17	3
73	к нему	1	3
74	в самом	20	2
75	не так	2	2
76	вместе со	2	2
77	и то	7	2
78	автора но	1	2
79	раз он	1	2
80	еще раз	2	2
81	и здесь	8	2
82	данном случае	2	2
83	первого же	2	2
84	в том	47	2
85	в ресторане	1	2
86	это уже	1	2
87	он и	1	2
88	с тем	5	2
89	в ее	2	2
90	по мнению	1	2
91	говорит о	1	2
92	как у	2	2
93	что и	5	2
94	из своих	1	2
95	ни в	3	2
96	бы и	6	2
97	чем он	1	2
98	в русском	14	2
99	по словам	1	2
100	что все	6	2
101	не могут	5	2
102	в виде	1	2
103	его в	1	2
104	как же	1	2
105	не в	18	2
106	в первом	3	2
107	но все	5	2
108	было в	2	2
109	из самых	1	2
110	в силах	2	2
111	в таком	3	2
112	ничем не	1	2
113	как говорит	1	2
114	вопрос о	11	2
115	вряд ли	5	2
116	да здравствует	5	2
117	знает что	1	2
118	и это	3	2
119	нет в	2	2
120	теперь и	1	2
121	под влиянием	3	2
122	уже не	13	2
123	к тому	8	2
124	о том	10	2
125	перед нами	4	2
126	не был	2	2
127	с первого	2	2
128	а что	1	2
129	не имеет	6	2
130	что эти	4	2
131	что же?	1	2
132	в данном	8	2
133	только к	2	2
134	что этот	2	2
135	отличие от	3	2
136	раз и	1	2
137	он был	1	2
138	то и	4	2
139	потому что	40	2
140	ведь еще	1	2
141	так что	5	2
142	времени в	1	2
143	он не	4	2
144	по поводу	2	2
145	если б	2	2
146	в частности	6	2
147	но они	1	2
148	в это	3	2
149	точно так	4	2
150	в одном	4	2
151	в письмах	1	2
152	говорит что	1	2
153	писатель не	1	2
154	она все	1	2
155	в отличие	3	2
156	отношение к	2	2
157	году в	1	2
158	в ходе	1	2
159	о его	1	2
160	до конца	3	2
161	столь же	2	2
162	что она	5	2
163	который в	1	2
164	одна из	1	2
165	с его	4	2
166	а как	1	2
167	не мог	2	2
168	тем что	9	2
169	не просто	7	2
170	не случайно	7	2
171	только о	3	2
172	никогда не	2	2
173	в известной	1	2
174	ничего не	6	2
175	любви и	1	2
176	не выдерживает	1	1
177	в той	6	1
178	для самого	3	1
179	в особенности	6	1
180	столь широкое	1	1
181	во всем	1	1
182	от нее	1	1
183	с помощью	12	1
184	в кругу	1	1
185	этом случае	4	1
186	утверждать что	2	1
187	могут быть	5	1
188	только не	1	1
189	социальной жизни	3	1
190	к сожалению	2	1
