N	3gram	Potebnia_M	Narrotol
1	в том что	22	18
2	в данном случае	3	17
3	не только в	4	13
4	по отношению к	10	11
5	к тому же	1	9
6	о том что	5	9
7	не может быть	7	8
8	тем не менее	7	8
9	то же время	8	8
10	в то же	8	8
11	в этом отношении	2	8
12	и тем самым	1	6
13	состоит в том	1	6
14	можно сказать что	3	6
15	с одной стороны	4	6
16	для того чтобы	5	5
17	в свою очередь	6	5
18	но и в	4	5
19	на самом деле	4	5
20	подобно тому как	3	5
21	к тому что	3	4
22	во всяком случае	3	4
23	в том как	3	3
24	заключает в себе	10	3
25	в самом деле	1	3
26	и не может	1	3
27	а в том	5	3
28	до сих пор	4	3
29	в первом случае	2	3
30	то же самое	3	3
31	при всей своей	1	3
32	на то что	3	3
33	с точки зрения	2	3
34	дело в том	1	3
35	и то что	3	3
36	тогда как в	2	3
37	и не в	1	2
38	все то что	2	2
39	и т п	7	2
40	здесь не только	1	2
41	бы с такою	1	2
42	если бы она	1	2
43	не в том	6	2
44	далеко не всегда	1	2
45	более или менее	6	2
46	и то же	7	2
47	в таком случае	2	2
48	одного и того	2	2
49	сами по себе	3	2
50	в себе самом	1	2
51	а между тем	6	2
52	может быть не	2	2
53	не только не	4	2
54	но и от	1	2
55	и того же	2	2
56	оно и не	1	2
57	прежде всего на	1	2
58	не только от	1	2
59	в том смысле	6	2
60	видя в нем	1	2
61	именно то что	2	2
62	в нашем сознании	1	2
63	том что одно	1	2
64	одно и то	7	2
65	только потому что	5	2
66	отношению к ним	1	2
67	не зависит от	1	2
68	что одно и	2	2
69	на первый взгляд	1	2
70	что иное как	1	2
71	в этом последнем	2	2
72	в своем воображении	1	2
73	лишь в том	1	1
74	потому что я	1	1
75	уже не к	1	1
76	одной стороны и	1	1
77	он может и	1	1
78	своей точки зрения	1	1
79	и тот же	2	1
80	и столь же	1	1
81	и как бы	2	1
82	не было в	3	1
83	в целом как	1	1
84	по себе а	4	1
85	для себя и	1	1
86	том смысле что	2	1
87	что в ней	2	1
88	и многие другие	2	1
89	в большинстве случаев	2	1
90	одной из этих	1	1
91	он уже не	1	1
92	в каком она	1	1
93	в этом смысле	2	1
94	того что происходит	1	1
95	с одним и	1	1
96	самом деле в	1	1
97	в приведенном выше	2	1
98	со своей точки	1	1
99	и со стороны	1	1
100	в первый раз	1	1
101	не представляется возможным	1	1
102	мы его не	1	1
103	лично для себя	1	1
104	слова но в	1	1
105	сказать и о	1	1
106	следует заметить что	1	1
107	указанием на предмет	1	1
108	не говоря о	2	1
109	по всей вероятности	1	1
110	она входит в	2	1
111	бы не было	1	1
112	потому что в	4	1
113	друг от друга	2	1
114	могло бы быть	1	1
115	но и с	1	1
116	том виде в	1	1
117	виде в каком	1	1
118	ему начало и	1	1
119	так или иначе	1	1
120	однако в силу	1	1
121	сам по себе	9	1
122	и все что	1	1
123	не умеет выразить	1	1
124	так и в	2	1
125	но не только	1	1
126	друг с другом	1	1
127	что только в	2	1
128	что для него	1	1
129	что именно в	1	1
130	в том случае	2	1
131	в разговоре с	1	1
132	и оно не	1	1
133	а не другое	1	1
134	с этой стороны	2	1
135	таким образом что	2	1
136	что все эти	1	1
137	в строгом смысле	1	1
138	бросается в глаза	1	1
139	не говорит нам	1	1
140	не менее не	1	1
141	большей или меньшей	1	1
142	само по себе	6	1
143	один из этих	1	1
144	каждого из этих	1	1
145	не само по	1	1
146	а тем более	2	1
147	не могла бы	2	1
148	было для него	2	1
149	произведения не в	1	1
150	в чем не	1	1
151	быть не только	1	1
152	противном случае он	1	1
153	потому что оно	2	1
154	то какое мы	1	1
155	подлежит сомнению и	1	1
156	и в других	1	1
157	из них не	2	1
158	так как это	1	1
159	то хотя бы	1	1
160	и стало быть	2	1
161	то ни было	1	1
162	как в большей	1	1
163	в целом и	1	1
164	относится и к	1	1
165	а не в	1	1
166	значении этого слова	1	1
167	а не с	1	1
168	свое я как	1	1
169	мере того как	8	1
170	только то что	1	1
171	с другой стороны	4	1
172	бы то ни	1	1
173	из того что	1	1
174	то есть от	2	1
175	да и не	1	1
176	только в слове	4	1
177	в последних словах	1	1
178	не то что	2	1
179	имея в виду	1	1
180	в столь же	1	1
181	в чем же	1	1
182	сих пор еще	1	1
183	слово есть выражение	1	1
184	с точкой зрения	1	1
185	и потому не	1	1
186	одним и тем	4	1
187	может быть только	4	1
188	и т д	5	1
189	только в форме	1	1
190	есть не что	1	1
191	в этих случаях	1	1
192	того о ком	1	1
193	то есть в	1	1
194	они могут быть	1	1
195	вслед за нею	1	1
196	в глаза что	1	1
197	в слове и	6	1
198	и тем же	4	1
199	в каждой из	1	1
200	в противном случае	1	1
201	в живой речи	3	1
202	внутреннюю и внешнюю	1	1
203	не глядя на	1	1
204	по крайней мере	8	1
205	таким же радостным	1	1
206	в мире а	1	1
207	не привиделось и	1	1
208	для него теперь	1	1
209	один и тот	2	1
210	себе не только	1	1
211	и быть может	1	1
212	потому что к	1	1
213	и в самом	3	1
214	что же касается	1	1
215	что не только	1	1
216	как и в	3	1
217	не только к	1	1
218	как один из	1	1
219	к ним третьей	1	1
220	но и к	1	1
221	того и другого	2	1
222	у нас есть	1	1
223	в то время	7	1
224	тем более что	1	1
225	в большей или	1	1
226	но еще не	1	1
227	на чем он	1	1
228	несмотря на свою	1	1
229	если бы эти	1	1
230	не что иное	1	1
231	и та же	2	1
232	легко представить себе	1	1
233	говорит нам о	1	1
234	его жизни и	1	1
235	взгляда на мир	1	1
236	в мертвых душах	1	1
237	как мы видели	1	1
238	при этом следует	1	1
239	том что и	1	1
240	мы не знаем	3	1
241	зависит не только	1	1
242	не подлежит сомнению	1	1
243	слово стремится к	1	1
244	и на чем	1	1
245	столь же мало	1	1
246	то время как	3	1
247	этого слова а	1	1
248	которая не могла	1	1
249	то и тогда	2	1
250	в себе не	2	1
251	том что он	2	1
252	и что в	1	1
253	если только в	1	1
254	одна и та	2	1
255	себе указание на	1	1
256	том случае если	1	1
257	природе как и	1	1
258	было бы совершенно	1	1
259	том смысле как	1	1
260	том как именно	1	1
261	то что я	2	1
262	то что мы	3	1
263	в том виде	2	1
264	по мере того	8	1
265	то же слово	2	1
266	сменяя друг друга	1	1
267	в себе указание	1	1
268	что и в	4	1
269	как на самом	1	1
270	нет и не	1	1
271	упускать из виду	2	1
272	мы не можем	5	1
273	значительной степени это	1	1
274	если бы не	1	1
275	может быть и	1	1
