N	4gram	Bakhtin_fo	Analitik
1	в то же время	10	14
2	одного и того же	6	6
3	в той или иной	2	5
4	во времени и пространстве	1	4
5	дело в том что	2	3
6	с этой точки зрения	1	2
7	в тех случаях когда	1	2
8	одних и тех же	2	2
9	одно и то же	4	2
10	но в то же	2	2
11	одна и та же	2	1
12	нет ничего что не	1	1
13	не было и не	1	1
14	мы имеем в виду	2	1
15	в осмысленном и конкретном	1	1
16	не для того чтобы	3	1
17	той или иной форме	1	1
18	человека с самим собою	1	1
19	от отца к сыну	1	1
20	слияние пространственных и временных	1	1
21	место слияние пространственных и	1	1
22	на каждом из них	1	1
23	в отличие от всех	1	1
24	для того чтобы быть	1	1
25	временных примет в осмысленном	1	1
26	только для того и	1	1
27	этой точки зрения может	1	1
28	мы уже говорили о	1	1
29	осмысленном и конкретном целом	1	1
30	то же время оно	1	1
31	как раз и составляет	1	1
32	и вместе с тем	1	1
33	но дело в том	1	1
34	приходит к выводу что	1	1
35	только в том что	1	1
36	как мы увидим далее	1	1
37	не только в том	1	1
38	в том числе и	4	1
39	или во всяком случае	1	1
40	сами по себе они	1	1
41	с самим собою в	1	1
42	примет в осмысленном и	1	1
43	в нашем случае в	1	1
44	как раз в том	1	1
45	имеет место слияние пространственных	1	1
46	дело не только в	1	1
47	и временных примет в	1	1
48	друг с другом в	1	1
49	то же время он	1	1
50	пространственных и временных примет	1	1
51	из уст в уста	1	1
