N	2gram	Tiupa_Vved	VLabPisa
1	таким образом	6	32
2	в этом	27	29
3	не только	32	26
4	и в	23	26
5	может быть	25	23
6	и не	24	20
7	хотя бы	2	20
8	не может	14	17
9	в процессе	1	17
10	в его	9	15
11	в том	21	15
12	этом отношении	7	14
13	в силу	2	14
14	все это	3	13
15	прежде всего	11	13
16	в качестве	18	12
17	в частности	19	12
18	как это	2	12
19	что в	6	11
20	с другой	10	11
21	из них	1	11
22	то же	8	10
23	не могут	1	10
24	в художественном	1	10
25	о том	7	10
26	но и	31	10
27	и др	2	10
28	для него	5	9
29	как видим	1	9
30	об этом	5	9
31	к этому	3	9
32	могут быть	5	8
33	другой стороны	3	8
34	только в	9	8
35	на основании	1	8
36	все эти	1	8
37	вместе с	2	8
38	том что	16	8
39	было бы	4	8
40	не следует	3	8
41	в своем	9	8
42	это не	7	7
43	говорит о	1	7
44	в году	2	7
45	в конечном	2	7
46	не было	5	7
47	по отношению	11	7
48	очевидно что	2	7
49	тому что	2	7
50	как и	21	7
51	их в	3	7
52	во всех	2	7
53	а не	31	7
54	то что	9	7
55	отношению к	11	7
56	же в	3	7
57	в нем	9	7
58	из этих	5	7
59	один из	3	6
60	произведения как	1	6
61	у него	8	6
62	более или	2	6
63	все же	10	6
64	приводит к	2	6
65	это и	1	6
66	бы и	4	6
67	в искусстве	1	6
68	не в	12	6
69	между тем	3	6
70	так и	14	6
71	в себе	15	6
72	или менее	2	6
73	в зависимости	1	6
74	том же	1	6
75	и его	9	6
76	в то	5	6
77	даже в	3	5
78	в результате	5	5
79	в их	2	5
80	в них	4	5
81	связи с	2	5
82	одним из	5	5
83	конечном счете	2	5
84	зависимости от	1	5
85	к тому	9	5
86	перед нами	13	5
87	не является	7	5
88	он говорит	1	5
89	на основе	2	5
90	действующих лиц	2	5
91	в одном	5	5
92	в пределах	3	5
93	же время	4	5
94	как бы	8	5
95	в целом	4	5
96	сказать что	1	5
97	и есть	2	5
98	никогда не	6	5
99	в самом	6	4
100	различного рода	3	4
101	только что	1	4
102	гоголь в	1	4
103	вот как	1	4
104	в ее	1	4
105	как раз	5	4
106	можно сказать	6	4
107	не обходится	1	4
108	что для	2	4
109	в этой	2	4
110	следующим образом	1	4
111	что все	1	4
112	что он	2	4
113	в виду	3	4
114	в романе	6	4
115	приведенных выше	1	4
116	с тем	1	4
117	с ними	2	4
118	в своей	10	4
119	одном из	1	4
120	роль в	2	4
121	должен быть	3	4
122	с его	1	4
123	для его	1	4
124	в связи	1	4
125	это только	3	4
126	в нашей	1	4
127	них не	1	4
128	в сознании	5	4
129	одна из	5	4
130	по поводу	5	4
131	отнюдь не	14	4
132	во время	3	4
133	и ее	2	4
134	и к	2	3
135	что они	2	3
136	данного произведения	1	3
137	и он	4	3
138	что у	4	3
139	этой области	1	3
140	мы имеем	8	3
141	действительной жизни	1	3
142	а вот	1	3
143	естественно что	1	3
144	того что	7	3
145	никак не	2	3
146	но как	1	3
147	со своим	1	3
148	что и	6	3
149	у нас	4	3
150	сводится к	6	3
151	подобно тому	3	3
152	его в	1	3
153	в форме	1	3
154	если бы	10	3
155	или в	3	3
156	сил и	1	3
157	это мы	1	3
158	опыта и	1	3
159	именно в	1	3
160	в конце	3	3
161	например в	2	3
162	у тургенева	2	3
163	момент в	1	3
164	между ними	1	3
165	и как	2	3
166	в слове	4	3
167	в которых	2	3
168	не столь	1	3
169	большей или	1	3
170	том как	4	3
171	мира и	5	3
172	а всего	1	3
173	вовсе не	1	3
174	бы в	4	3
175	а в	15	3
176	что не	2	3
177	некоторые из	1	3
178	как о	2	3
179	в котором	11	3
180	в противоположность	1	3
181	говорить не	1	3
182	в значительной	2	3
183	того чтобы	2	3
184	всего лишь	7	3
185	в работе	1	3
186	для того	1	3
187	тому как	3	3
188	и их	1	3
189	как он	2	3
190	вслед за	3	3
191	далеко не	5	3
192	так же	2	3
193	при всем	1	3
194	или меньшей	1	3
195	это делает	1	3
196	и от	3	3
197	точки зрения	1	3
198	жизни и	8	3
199	что без	1	3
200	и по	3	3
201	к работе	1	3
202	как целого	1	3
203	всех этих	1	3
204	мы видели	3	3
205	в особенности	3	2
206	схемы в	1	2
207	этом и	2	2
208	к сожалению	1	2
209	же о	1	2
210	представить себе	2	2
211	льва толстого	1	2
212	только не	1	2
213	чувственное созерцание	1	2
214	том чтобы	2	2
215	и этот	1	2
216	из которых	1	2
217	от его	1	2
218	они не	3	2
219	на вопрос	1	2
220	если в	3	2
