N	3gram	Berdyaev_M	Narrotol
1	в том что	3	18
2	не только в	2	13
3	в отличие от	1	11
4	по отношению к	4	11
5	о том что	3	9
6	не может быть	22	8
7	в этом отношении	1	8
8	для того чтобы	4	5
9	но и в	4	5
10	на самом деле	1	5
11	подобно тому как	2	5
12	к тому что	1	4
13	во всяком случае	1	4
14	у нас нет	1	4
15	заключает в себе	3	3
16	в самом деле	1	3
17	и не может	2	3
18	друг на друга	1	3
19	до сих пор	5	3
20	в зависимости от	1	3
21	на то что	1	3
22	по природе своей	2	3
23	так и не	2	3
24	с точки зрения	1	3
25	несет в себе	1	3
26	мере в какой	1	2
27	бы и не	1	2
28	в той мере	1	2
29	и т п	1	2
30	не в том	1	2
31	что у него	1	2
32	в центре внимания	1	2
33	в себе самом	1	2
34	той мере в	1	2
35	в нем не	2	2
36	но и от	1	2
37	друг друга как	1	2
38	мог бы быть	1	2
39	к ней в	1	2
40	не только от	1	2
41	в том смысле	2	2
42	добра и зла	7	2
43	все те же	1	2
44	можно было бы	1	2
45	так же как	1	2
46	друг для друга	2	2
47	по своей природе	1	2
48	что иное как	4	2
49	как бы в	1	2
50	лишь в том	1	1
51	у него есть	1	1
52	в письме к	1	1
53	не было в	1	1
54	в этом направлении	1	1
55	для себя и	1	1
56	с другим я	1	1
57	том смысле что	1	1
58	никогда не будет	1	1
59	ни с какой	1	1
60	настаивать на том	1	1
61	он уже не	3	1
62	на том что	1	1
63	по сравнению с	2	1
64	что есть на	1	1
65	в существовании этого	1	1
66	во всех его	1	1
67	жизни не в	1	1
68	и он не	1	1
69	он не может	2	1
70	что они не	1	1
71	ни у кого	2	1
72	природе своей не	1	1
73	был для него	2	1
74	и теперь я	1	1
75	ни с чем	1	1
76	не знает и	1	1
77	потому что в	4	1
78	еще вернемся к	1	1
79	русской литературы в	1	1
80	но и с	1	1
81	не несет в	1	1
82	не может существовать	1	1
83	в этом втором	1	1
84	как бы не	2	1
85	сам по себе	1	1
86	но не только	1	1
87	в том случае	1	1
88	а также в	1	1
89	и не должно	1	1
90	он живет в	2	1
91	не мог быть	1	1
92	и не могли	1	1
93	сомневаться в том	1	1
94	бросается в глаза	1	1
95	за пределы своего	1	1
96	останется для нас	1	1
97	было для него	2	1
98	в чем не	2	1
99	том что в	1	1
100	в которых он	2	1
101	жизни а не	1	1
102	что в основе	1	1
103	не может не	2	1
104	преступление и наказание	1	1
105	а не в	4	1
106	всего лишь одно	1	1
107	особенно интересен в	1	1
108	в стороне от	1	1
109	во втором случае	1	1
110	а не только	3	1
111	никогда не было	2	1
112	в значительной степени	2	1
113	не мог бы	2	1
114	в ней есть	1	1
115	и потому не	3	1
116	человек в нем	1	1
117	в жизни героев	1	1
118	есть не что	3	1
119	никогда не бывает	2	1
120	слова а не	1	1
121	мы еще вернемся	2	1
122	событие в жизни	1	1
123	не до конца	2	1
124	жизни а для	1	1
125	и быть может	2	1
126	и зла и	3	1
127	и в самом	3	1
128	которые могли бы	1	1
129	как и в	2	1
130	и не было	2	1
131	с того что	1	1
132	к жизни в	1	1
133	на людей и	1	1
134	в то время	2	1
135	и вот я	1	1
136	как в жизни	1	1
137	в другом и	1	1
138	но в конце	1	1
139	все та же	1	1
140	не означает что	1	1
141	не что иное	4	1
142	и та же	2	1
143	как и все	1	1
144	на протяжении всего	1	1
145	я верю в	1	1
146	в себе ее	1	1
147	него и по	1	1
148	то время как	2	1
149	стало быть не	1	1
150	том что он	1	1
151	и не то	1	1
152	была такова что	1	1
153	же как и	1	1
154	у него нет	4	1
155	одна и та	2	1
156	того что есть	1	1
157	том случае если	1	1
158	не только художественная	1	1
159	уже не только	2	1
160	что и в	3	1
161	это прежде всего	1	1
162	нет и не	1	1
163	ни в чем	2	1
164	на эту тему	1	1
165	все что было	2	1
166	если бы не	1	1
167	может быть и	2	1
