N	4gram	Vinokur_Ku	Formalny
1	в то же время	4	20
2	бы то ни было	1	7
3	и пр и пр	2	7
4	и в то же	1	6
5	все более и более	1	4
6	и т п в	2	4
7	сводится к тому чтобы	1	3
8	ведь на самом деле	1	3
9	вовсе не потому что	1	2
10	той мере в какой	6	2
11	с этой точки зрения	3	2
12	в том смысле что	1	2
13	что же касается до	1	2
14	в той мере в	6	2
15	роковую роль в истории	1	2
16	не может и не	1	2
17	не говоря уже о	1	2
18	мы имеем в виду	1	2
19	в зависимости от того	1	2
20	и с точки зрения	1	2
21	о языке как о	1	2
22	какой бы то ни	1	2
23	не в том что	1	2
24	в том или ином	1	2
25	и в том что	1	1
26	было бы отрицать что	1	1
27	лишь в той мере	2	1
28	т п т е	2	1
29	не что иное как	2	1
30	это не могло не	1	1
31	в том случае если	3	1
32	в широком смысле слова	1	1
33	случае действительно было бы	1	1
34	не для того чтобы	1	1
35	одно и то же	1	1
36	в огромном большинстве случаев	1	1
37	вряд ли нужно доказывать	1	1
38	большей или меньшей степени	2	1
39	была бы уже не	1	1
40	мы говорим о языке	1	1
41	не сам по себе	1	1
42	дело в том что	1	1
43	т п все эти	1	1
44	в большей или меньшей	2	1
45	во всяком случае ясно	1	1
46	и т п все	2	1
47	только в том случае	2	1
48	ли нужно доказывать что	1	1
49	а следовательно и в	1	1
50	мере в какой они	1	1
51	одной и той же	1	1
52	в собственном смысле слова	1	1
53	а вместе с тем	1	1
54	связывается с тем что	1	1
55	можно говорить о языке	1	1
56	всяком случае ясно что	1	1
57	все это не могло	1	1
58	как это делается в	1	1
59	одного и того же	2	1
60	и т п т	2	1
61	то во всяком случае	1	1
62	речи вовсе не есть	1	1
63	роль в истории научного	1	1
64	лишь в том случае	1	1
65	дело не в том	1	1
66	является с одной стороны	1	1
67	это положение нуждается в	1	1
68	в каждый данный момент	1	1
69	и тем не менее	4	1
70	именно в том и	2	1
71	еще и иное значение	1	1
72	по мере того как	3	1
73	о которых идет речь	1	1
74	смысле этого слова и	1	1
75	есть не что иное	1	1
