N	2gram	Bakhtin_Fr	Istorich
1	и в	105	181
2	может быть	11	115
3	не только	24	114
4	что он	5	111
5	мы имеем	1	102
6	что в	4	90
7	но и	20	85
8	в этом	22	81
9	так как	11	75
10	то что	7	73
11	таким образом	5	72
12	вместе с	1	71
13	и не	34	67
14	мы видим	2	65
15	все же	10	65
16	в этих	6	64
17	еще не	8	63
18	не может	9	61
19	так же	2	57
20	то же	6	56
21	никогда не	11	56
22	в том	17	53
23	том что	9	53
24	а в	4	52
25	с другой	3	52
26	потому что	6	52
27	и здесь	4	51
28	что и	2	51
29	мы видели	3	49
30	а не	1	48
31	о том	5	48
32	связь с	8	47
33	его в	7	47
34	не в	4	47
35	другой стороны	1	46
36	превращается в	6	45
37	и пр	5	44
38	мы должны	2	44
39	но в	16	44
40	это не	4	43
41	и его	24	43
42	мы знаем	1	42
43	в нем	16	42
44	только в	16	42
45	как в	6	42
46	представление о	2	41
47	или в	2	39
48	тем что	5	38
49	и на	25	38
50	в его	24	38
51	для нас	5	38
52	как и	15	37
53	уже не	3	37
54	мы уже	18	37
55	он не	3	37
56	что здесь	1	37
57	так и	16	37
58	знаем что	1	36
59	мы можем	2	36
60	что они	2	35
61	с тем	1	35
62	мы не	1	35
63	здесь мы	2	35
64	все эти	15	35
65	не всегда	1	34
66	связи с	5	34
67	но не	7	34
68	у него	2	34
69	во время	14	34
70	этого мотива	1	34
71	видим что	1	34
72	представления о	3	33
73	там где	3	33
74	об этом	2	33
75	сих пор	7	32
76	в качестве	1	32
77	один из	5	31
78	прежде всего	26	31
79	так в	4	31
80	ничего не	3	31
81	с этим	1	30
82	с одной	2	30
83	до сих	7	30
84	к нему	5	30
85	этот мотив	1	30
86	этом случае	1	29
87	но все	5	29
88	одной стороны	2	29
89	как мы	12	29
90	но это	5	29
91	и другие	10	28
92	в обряде	3	28
93	и с	8	28
94	например в	3	28
95	так что	1	27
96	могут быть	4	27
97	в образе	1	27
98	того что	3	27
99	как он	1	27
100	как это	1	26
101	на него	2	26
102	мы здесь	4	26
103	и др	32	26
104	в ней	7	26
105	в дальнейшем	10	25
106	и он	3	25
107	не менее	2	24
108	видно что	1	24
109	к этому	2	24
110	было бы	4	24
111	раньше чем	1	24
112	того как	1	24
113	в виде	1	24
114	если бы	1	24
115	что мы	2	24
116	представлений о	1	23
117	их в	3	23
118	как бы	33	23
119	и это	3	23
120	в этой	11	23
121	имеем в	2	23
122	не будем	1	23
123	все это	16	23
124	в частности	6	23
125	и по	3	22
126	с ним	6	22
127	при этом	10	22
128	в некоторых	2	22
129	связано с	2	21
130	в другом	2	21
131	в одном	8	21
132	сказать что	12	21
133	в связи	2	21
134	связан с	5	21
135	должны были	1	21
136	здесь не	3	21
137	к тому	3	21
138	они не	1	21
139	ее в	2	21
140	из них	7	20
141	из этих	7	20
142	она не	2	20
143	наряду с	2	20
144	одна из	5	20
145	в свете	3	20
146	в других	3	20
147	в силу	1	20
148	видели что	1	20
149	другими словами	2	20
150	а затем	4	19
151	с собой	1	19
152	так например	3	19
153	мы рассмотрим	1	19
154	но он	5	19
155	в тех	5	19
156	есть и	2	19
157	на то	2	19
158	и как	2	19
159	и говорит	1	18
160	в то	5	18
161	что этот	1	18
162	вовсе не	25	18
163	в них	13	17
164	можно найти	3	17
165	очень много	1	17
166	и этим	2	17
167	то и	1	17
168	по существу	2	17
169	и только	1	17
170	и она	2	16
171	во всех	13	16
172	этот вопрос	2	16
173	всех этих	10	16
174	и они	1	16
175	в котором	1	16
176	между двумя	1	16
177	не вполне	3	16
178	и действительно	2	16
179	и все	7	16
180	со стороны	1	16
181	перед нами	1	16
182	связана с	8	16
183	что мотив	1	16
184	даже в	6	15
185	в пределах	3	15
186	что при	1	15
187	в особенности	7	15
188	в своей	8	15
189	в которых	1	15
190	его и	1	15
191	в одной	1	15
192	и эти	2	15
193	и даже	10	15
194	на его	4	15
195	он в	2	15
196	друг друга	3	15
197	в целом	3	15
198	с этой	1	14
199	от него	2	14
200	на смену	1	14
201	по отношению	2	14
202	находится в	1	14
203	можно было	4	14
204	мы еще	1	14
205	в него	2	14
206	и ее	1	14
207	одной из	3	14
208	у нас	1	14
209	его на	2	14
210	должна быть	1	14
211	но они	4	14
212	из которых	2	14
213	с ней	2	14
214	должен был	2	14
215	отношение к	9	14
216	отношению к	2	14
217	и наконец	2	14
218	или на	1	13
219	в своем	11	13
220	на котором	3	13
221	по себе	1	13
222	после смерти	1	13
223	и для	3	13
224	в себе	7	13
225	в таких	2	13
226	все что	2	13
227	своего рода	2	13
228	не просто	3	13
229	и у	7	13
230	на этом	2	13
231	в форме	6	13
232	и от	3	13
233	с ними	2	13
234	смерти и	6	13
235	в книге	3	13
236	к своему	1	13
237	и если	1	13
238	таким же	1	13
239	во всем	5	12
240	кроме того	2	12
241	на землю	3	12
242	хотя бы	2	12
243	к себе	3	12
244	в основном	4	12
245	о нем	4	12
246	в их	6	12
247	к ней	2	12
248	не знает	6	12
249	одним из	4	12
250	что не	3	12
251	между прочим	2	12
252	за ним	2	12
253	с мотивом	1	12
254	в более	4	12
255	случаях когда	1	12
256	и их	3	12
257	в этот	1	11
258	к которому	2	11
259	точки зрения	10	11
260	ясно что	1	11
261	я не	1	11
262	от этого	1	11
263	главным образом	6	11
264	стоит на	1	11
265	связанные с	2	11
266	никто не	1	11
267	в очень	2	11
268	только с	3	11
269	уже в	5	11
270	здесь еще	3	11
271	же в	4	11
272	по мере	1	11
273	но уже	1	11
274	тех случаях	1	11
275	хотя и	4	11
276	должно было	2	11
277	же мы	1	11
278	относится к	4	11
279	но оно	1	11
280	и вот	5	11
281	здесь имеем	1	11
282	и более	4	11
283	такой же	1	11
284	человека в	1	11
285	далеко не	6	11
286	и к	7	10
287	он видит	1	10
288	на земле	3	10
289	к ним	1	10
290	от них	1	10
291	не было	3	10
292	в которой	1	10
293	его к	2	10
294	на основе	1	10
295	вступает в	1	10
296	связанных с	4	10
297	ее на	1	10
298	он и	3	10
299	исторической действительности	1	10
300	однако это	1	10
301	пока не	1	10
302	связаны с	5	10
303	и других	6	10
304	о чем	3	10
305	говорит о	2	10
306	там же	2	10
307	в это	2	10
308	на этой	5	10
309	друг с	2	10
310	не мог	1	10
311	в состоянии	3	10
312	при смерти	1	10
313	в ее	5	10
314	но как	3	10
315	ни в	1	10
316	если не	1	10
317	большого дома	1	10
318	ли он	1	10
319	он может	1	10
320	а на	1	10
321	есть только	3	10
322	что эти	1	10
323	на первый	1	9
324	но эти	1	9
325	только на	3	9
326	себе в	2	9
327	том чтобы	1	9
328	является и	1	9
329	но для	3	9
330	дома в	1	9
331	в чем	2	9
332	также не	1	9
333	силу и	1	9
334	в царстве	1	9
335	и так	2	9
336	это и	3	9
337	в течение	3	9
338	целый ряд	2	9
339	на этот	3	9
340	тот же	4	9
341	а по	1	9
342	иного мира	1	9
343	с солнцем	1	9
344	ты не	1	9
345	он имеет	1	9
346	в первую	1	9
347	вот почему	1	9
348	когда она	1	9
349	что за	1	9
350	не могут	4	9
351	в себя	9	9
352	он показывает	1	9
353	а как	1	9
354	означает что	1	9
355	если это	1	9
356	здесь нет	1	9
357	в основе	8	9
358	в истории	5	9
359	с его	9	9
360	из него	1	9
361	так часто	1	9
362	с другом	2	9
363	это так	1	9
364	но здесь	4	9
365	приводит к	2	9
366	что на	1	9
367	жизни и	14	9
368	это значит	1	8
369	и сам	2	8
370	именно в	6	8
371	во всяком	2	8
372	он был	3	8
373	конечно не	2	8
374	они должны	1	8
375	еще одну	1	8
376	есть еще	1	8
377	большинстве случаев	2	8
378	в лодке	1	8
379	мы будем	4	8
380	есть ли	1	8
381	та же	2	8
382	подобно тому	2	8
383	именно на	2	8
384	смерть и	1	8
385	независимо от	1	8
386	или даже	2	8
387	первобытных народов	1	8
388	что им	1	8
389	и потому	14	8
390	но она	1	8
391	тем самым	1	8
392	могло быть	1	8
393	которые в	1	8
394	для этого	1	8
395	можно наблюдать	1	8
396	одно из	7	8
397	роль в	6	8
398	и стал	1	8
399	можно сказать	4	8
400	входит в	4	8
401	она и	1	8
402	здесь же	3	8
403	в целях	2	8
404	это положение	1	8
405	можно проследить	1	8
406	образом и	1	8
407	на своем	1	8
408	кажется что	1	8
409	что такое	1	8
410	здесь в	14	8
411	но с	2	8
412	и эта	5	8
413	вообще не	1	8
414	смерти в	2	8
415	должен быть	1	8
416	он говорит	1	8
417	тому как	2	8
418	в жизни	7	8
419	от того	2	8
420	на это	2	8
421	иногда даже	1	8
422	не столько	1	7
423	и когда	1	7
424	ключ к	1	7
425	этот момент	3	7
426	будто бы	1	7
427	не есть	1	7
428	о которых	2	7
429	здесь и	5	7
430	в эту	6	7
431	под влиянием	3	7
432	в работе	1	7
433	между тем	5	7
434	над ним	1	7
435	и при	1	7
436	большую роль	1	7
437	самом деле	3	7
438	превращаются в	1	7
439	нет в	1	7
440	где он	1	7
441	на самом	6	7
442	образом в	3	7
443	но эта	2	7
444	на них	3	7
445	животными и	1	7
446	иногда и	1	7
447	в начале	4	7
448	еще в	3	7
449	это означает	1	7
450	в области	10	7
451	вплоть до	2	7
452	те же	1	7
453	всякого рода	1	7
454	во многих	2	7
455	как на	4	7
456	в конце	3	7
457	уже давно	1	7
458	себе и	2	7
459	того же	1	7
460	на голову	1	7
461	в фольклоре	1	7
462	можно только	5	7
463	был бы	1	7
464	не знал	1	7
465	состоит из	1	7
466	совершенно не	5	7
467	тех же	3	7
468	того чтобы	3	7
469	им в	1	7
470	всяком случае	2	7
471	для него	12	7
472	со своим	1	7
473	как она	1	7
474	свет на	1	7
475	по его	3	7
476	страх перед	2	7
477	с самого	1	7
478	по которому	1	7
479	в какой	2	7
480	эти формы	5	7
481	земли и	5	7
482	думать что	2	7
483	в большинстве	2	7
484	и часто	3	7
485	одного из	1	7
486	и о	4	7
487	эти два	2	7
488	есть не	1	7
489	же и	1	6
490	его от	2	6
491	между ними	4	6
492	не потому	1	6
493	на эту	2	6
494	можно ли	1	6
495	характерно что	2	6
496	той же	1	6
497	все его	1	6
498	из приведенных	1	6
499	более поздние	1	6
500	если я	1	6
501	что как	1	6
502	вот несколько	1	6
503	он стал	1	6
504	здесь на	3	6
505	не могла	2	6
506	его как	1	6
507	это приводит	1	6
508	нам кажется	2	6
509	в одну	1	6
510	уже на	1	6
511	с миром	3	6
512	что по	2	6
513	нет ничего	3	6
514	сам он	1	6
515	этого явления	1	6
516	где нет	1	6
517	она дает	1	6
518	этих двух	2	6
519	это конечно	1	6
520	отличие от	5	6
521	также и	3	6
522	одну из	2	6
523	но дело	1	6
524	для того	2	6
525	сводится к	1	6
526	обряда и	1	6
527	он является	1	6
528	говорит что	1	6
529	до того	1	6
530	так у	1	6
531	и становится	2	6
532	нам важно	1	6
533	жить в	1	6
534	и за	2	6
535	можно привести	1	6
536	здесь уже	1	6
537	к жизни	2	6
538	что все	1	6
539	тому же	1	6
540	к чему	1	6
541	уходит в	1	6
542	они и	1	6
543	почти не	2	6
544	отношения к	5	6
545	борьбы с	1	6
546	не на	2	6
547	или как	1	6
548	он дает	4	6
549	же он	2	6
550	формы и	7	6
551	видеть в	2	6
552	голову и	1	6
553	в преисподней	1	6
554	из которого	1	6
555	а иногда	2	6
556	этой стадии	1	6
557	вступают в	2	6
558	только по	1	6
559	и уже	1	6
560	не видели	1	5
561	в виду	5	5
562	смерти а	1	5
563	в своих	8	5
564	лет в	1	5
565	мы и	4	5
566	и очень	2	5
567	бы в	2	5
568	во все	2	5
569	только как	1	5
570	к своей	1	5
571	показывает как	1	5
572	с образом	1	5
573	эти слова	1	5
574	проникнуть в	3	5
575	по своей	3	5
576	или иное	1	5
577	могла бы	2	5
578	по другим	1	5
579	них не	1	5
580	до наших	1	5
581	с ее	3	5
582	очень рано	1	5
583	части тела	1	5
584	для них	2	5
585	оно не	2	5
586	особого рода	1	5
587	от своего	2	5
588	их и	1	5
589	это время	2	5
590	историческое явление	1	5
591	есть на	2	5
592	да и	5	5
593	которых можно	1	5
594	на три	1	5
595	это только	1	5
596	в которую	1	5
597	он как	2	5
598	в совершенно	2	5
599	в отличие	4	5
600	и раньше	1	5
601	что во	1	5
602	иногда в	1	5
603	подобного рода	1	5
604	в свое	6	5
605	уже очень	2	5
606	поглощения и	1	5
607	другом месте	2	5
608	по своему	9	5
609	на все	5	5
610	однако не	1	5
611	в самых	1	5
612	но при	2	5
613	и может	1	5
614	это можно	2	5
615	которые не	1	5
616	еще более	6	5
617	и связь	1	5
618	только для	1	5
619	со своей	1	5
620	античности и	2	5
621	этом мы	2	5
622	но даже	2	5
623	очень многих	1	5
624	всего что	2	5
625	но этот	1	5
626	ней и	1	5
627	мы в	1	5
628	несмотря на	5	5
629	xix века	6	5
630	видит в	1	5
631	в таком	2	5
632	на тот	1	5
633	это делает	1	5
634	бы быть	2	5
635	в один	1	5
636	чтобы они	1	5
637	лежит в	1	5
638	это уже	4	5
639	в область	1	5
640	как о	1	5
641	не могло	1	5
642	знает что	1	5
643	без всякого	3	5
644	они были	6	5
645	представления и	1	5
646	вокруг него	1	5
647	тому кто	1	5
648	том числе	10	5
649	отличается от	1	5
650	наших дней	1	5
651	животных и	1	5
652	им и	1	5
653	мира и	4	5
654	к концу	1	5
655	это было	2	5
656	обрядов и	2	5
657	они стали	2	5
658	это в	5	5
659	например у	2	5
660	как уже	1	5
661	имеются и	1	5
662	эта сторона	2	5
663	дать ему	1	5
664	что из	1	5
665	в лице	1	5
666	в самом	7	4
667	мы найдем	2	4
668	до него	1	4
669	в разных	2	4
670	в результате	1	4
671	эти три	1	4
672	в мир	2	4
673	в тело	1	4
674	по своим	1	4
675	книге о	2	4
676	уже у	1	4
677	людей и	2	4
678	и формы	1	4
679	формы этой	1	4
680	во всей	4	4
681	и во	6	4
682	к этим	2	4
683	для этой	1	4
684	о происхождении	1	4
685	бы что	1	4
686	не хватает	1	4
687	всем что	2	4
688	царство где	1	4
689	их от	2	4
690	одном из	1	4
691	связь со	1	4
692	из одного	1	4
693	в наше	1	4
694	вера в	1	4
695	отдельных мотивов	1	4
696	это одна	1	4
697	и дает	1	4
698	содержит в	2	4
699	сохранились в	1	4
700	ранних ступенях	1	4
701	сами по	1	4
702	с этого	1	4
703	более древних	1	4
704	с животными	1	4
705	так называемая	1	4
706	он мог	1	4
707	по сравнению	2	4
708	с которой	1	4
709	и больше	1	4
710	и целый	1	4
711	по ходу	3	4
712	это одно	1	4
713	вместе со	1	4
714	но на	3	4
715	он становится	1	4
716	а это	1	4
717	в литературе	9	4
718	нами выше	1	4
719	не существует	1	4
720	есть в	6	4
721	говорит об	1	4
722	особенно в	2	4
723	но его	1	4
724	обряда в	1	4
725	в народе	1	4
726	а его	2	4
727	выше в	1	4
728	здесь только	2	4
729	важна не	1	4
730	выходит из	1	4
731	в свои	1	4
