N	4gram	Bakhtin_sl	VLabPisa
1	в то же время	15	5
2	и в то же	6	3
3	в том числе и	1	2
4	в точном смысле слова	1	2
5	с одной стороны и	2	2
6	большей или меньшей степени	3	2
7	хотя бы и не	1	2
8	в большей или меньшей	3	2
9	никогда не может быть	2	1
10	в этом случае она	1	1
11	именно в том что	1	1
12	с этой точки зрения	1	1
13	прямо и непосредственно как	1	1
14	на то или иное	1	1
15	имеем в виду не	1	1
16	т п все это	1	1
17	одно и то же	2	1
18	но с другой стороны	1	1
19	не обязательно должен быть	1	1
20	с большей или меньшей	1	1
21	и т п все	1	1
22	и т п эти	2	1
23	этой проблемы в плане	1	1
24	а в том что	1	1
25	и т п это	1	1
26	в той или иной	12	1
27	но в то же	6	1
28	в то время как	2	1
29	в том что оно	1	1
30	может быть включен в	1	1
31	до сих пор не	2	1
