N	3gram	Losev_Prob	Narrotol
1	в том что	13	18
2	в данном случае	5	17
3	не только в	5	13
4	по отношению к	2	11
5	к тому же	5	9
6	о том что	14	9
7	не может быть	2	8
8	тем не менее	8	8
9	той или иной	4	8
10	то же время	1	8
11	в то же	2	8
12	в этом отношении	4	8
13	состоит в том	1	6
14	в известном смысле	1	6
15	мы имеем дело	1	6
16	можно сказать что	4	6
17	во времени и	1	6
18	времени и пространстве	1	6
19	с одной стороны	5	6
20	для того чтобы	3	5
21	в свою очередь	2	5
22	но и в	2	5
23	на самом деле	2	5
24	и все же	1	5
25	имеем дело с	1	5
26	к тому что	1	4
27	во всяком случае	6	4
28	в том как	1	3
29	в самом деле	1	3
30	друг на друга	1	3
31	до сих пор	3	3
32	точно так же	4	3
33	не было и	1	3
34	в связи с	11	3
35	то же самое	2	3
36	а также и	3	3
37	едва ли не	1	3
38	а то и	1	3
39	того или иного	2	3
40	на то что	2	3
41	с точки зрения	13	3
42	дело в том	4	3
43	как раз в	1	3
44	и то что	3	3
45	войне и мире	1	2
46	в той или	2	2
47	мере в какой	1	2
48	и не в	2	2
49	и т п	1	2
50	не в том	1	2
51	далеко не всегда	3	2
52	более или менее	1	2
53	в таком случае	2	2
54	что у него	1	2
55	в смысловом отношении	1	2
56	в себе самом	1	2
57	здесь не в	3	2
58	в нем не	1	2
59	не только не	1	2
60	чем иным как	3	2
61	но еще и	1	2
62	не входит в	1	2
63	а с другой	3	2
64	хотя и не	3	2
65	и потому что	2	2
66	не в его	1	2
67	человеческого я в	1	2
68	в том смысле	2	2
69	но все же	2	2
70	видя в нем	1	2
71	дело здесь не	1	2
72	добра и зла	1	2
73	здесь мы имеем	1	2
74	все же не	3	2
75	и для нас	1	2
76	можно было бы	2	2
77	только потому что	1	2
78	в русской литературе	3	2
79	в войне и	1	2
80	на первый взгляд	1	2
81	что иное как	3	2
82	еще и потому	2	2
83	у него есть	1	1
84	и как бы	2	1
85	заходящего солнца и	1	1
86	настоящего и будущего	1	1
87	до нас в	2	1
88	по себе а	2	1
89	о том как	1	1
90	никак не может	2	1
91	том смысле что	1	1
92	и нет никакого	1	1
93	и после его	1	1
94	что в ней	1	1
95	так и его	1	1
96	в большинстве случаев	1	1
97	одной из этих	1	1
98	рода но и	1	1
99	на том что	1	1
100	в этом смысле	4	1
101	тем более они	1	1
102	то или иное	1	1
103	никак не мог	2	1
104	и он не	1	1
105	в результате которого	1	1
106	ни у кого	1	1
107	он вовсе не	1	1
108	в том числе	2	1
109	свидетельствует о том	1	1
110	тип в том	1	1
111	так или иначе	3	1
112	сам по себе	3	1
113	связи с этим	1	1
114	так и в	1	1
115	в ней не	1	1
116	но не только	1	1
117	никогда и не	1	1
118	что только в	1	1
119	не мог быть	2	1
120	всяком случае он	1	1
121	теперь уже не	1	1
122	с этой стороны	1	1
123	нем не только	1	1
124	бросается в глаза	2	1
125	по аналогии с	1	1
126	еще в году	1	1
127	в чем не	2	1
128	том что в	1	1
129	в том или	3	1
130	потому что оно	2	1
131	точки зрения в	1	1
132	то ни было	2	1
133	как раз и	1	1
134	по себе но	1	1
135	образом зависит от	1	1
136	сказать что он	1	1
137	том числе и	1	1
138	с другой стороны	7	1
139	той или другой	1	1
140	бы то ни	4	1
141	то что и	2	1
142	об этом свидетельствует	1	1
143	как мы увидим	1	1
144	не то что	1	1
145	имея в виду	1	1
146	что никогда не	1	1
147	одним и тем	1	1
148	который в своем	3	1
149	может быть только	6	1
150	и т д	1	1
151	который в свою	1	1
152	жизни то есть	1	1
153	уж во всяком	2	1
154	у нас будут	1	1
155	и тем не	1	1
156	то есть в	5	1
157	они могут быть	1	1
158	и тем же	1	1
159	смысле как мы	1	1
160	от солнца и	1	1
161	в xix в	1	1
162	по крайней мере	8	1
163	которая не в	1	1
164	в этом же	1	1
165	как это было	1	1
166	человеческой жизни в	2	1
167	в результате чего	2	1
168	в мировой литературе	1	1
169	этой точки зрения	2	1
170	все это свидетельствует	1	1
171	и зла и	1	1
172	которые могли бы	1	1
173	в себе но	1	1
174	и не было	1	1
175	то что здесь	1	1
176	то есть с	1	1
177	в то время	4	1
178	всей жизни в	1	1
179	но в конце	1	1
180	говорит о своей	1	1
181	в частности как	1	1
182	именно в этом	1	1
183	из них мы	1	1
184	о любви и	1	1
185	не что иное	3	1
186	и с точки	1	1
187	как и все	1	1
188	содержит в себе	1	1
189	как мы видели	1	1
190	у древних греков	1	1
191	том что и	1	1
192	и уже давно	1	1
193	себе но как	1	1
194	и как будто	1	1
195	это уже не	2	1
196	то время как	4	1
197	в результате его	1	1
198	у меня в	2	1
199	роль не только	1	1
200	с самого начала	3	1
201	том что он	3	1
202	как и у	2	1
203	как это сделал	1	1
204	у него нет	1	1
205	но и самого	1	1
206	он говорит о	1	1
207	вовсе и не	1	1
208	весьма характерное для	1	1
209	по его мнению	1	1
210	в своей первоначальной	1	1
211	том смысле как	1	1
212	и как именно	1	1
213	это свидетельствует о	3	1
214	то что я	1	1
215	и вполне закономерно	1	1
216	должен был бы	1	1
217	ни в чем	2	1
218	на эту тему	2	1
219	с этой точки	2	1
220	в сущности говоря	1	1
221	из этих сторон	1	1
222	однако тут же	1	1
