N	4gram	Losev_Prob	Hudozhes
1	мы имеем в виду	1	3
2	одно и то же	1	3
3	одного и того же	2	3
4	в том числе и	2	2
5	и в самом деле	1	2
6	в той или иной	1	2
7	и в то же	1	2
8	мы имеем дело не	1	1
9	как один из видов	1	1
10	не что иное как	5	1
11	заключается в том что	2	1
12	чего нет в его	1	1
13	а иной раз и	1	1
14	но в таком случае	7	1
15	которые лежат в основе	1	1
16	той или иной мере	1	1
17	а с другой стороны	1	1
18	можно даже сказать что	1	1
19	с одной стороны и	2	1
20	в том случае если	1	1
21	о том о чем	1	1
22	всегда так или иначе	1	1
23	с точки зрения логики	1	1
24	но в то же	1	1
25	одним и тем же	2	1
26	в связи с этим	2	1
27	еще и потому что	1	1
28	между внутренней и внешней	1	1
29	в том или ином	1	1
30	уходит своими корнями в	1	1
31	есть не что иное	5	1
