N	3gram	Losev_Dial	Sotsiolo
1	дело не в	1	2
2	в том что	12	2
3	в конце концов	1	2
4	не в том	5	2
5	только как совокупность	1	1
6	это и есть	4	1
7	именно на этот	1	1
8	и в то	2	1
9	в то же	3	1
10	друг от друга	1	1
11	ровно ничего не	8	1
12	ничего не значат	3	1
13	ни на что	1	1
14	самому существу своему	1	1
15	что в них	1	1
16	в конечном счете	1	1
17	ибо по самому	1	1
18	с одной стороны	3	1
19	и мы не	1	1
20	в связи с	3	1
21	быть не только	1	1
22	то же самое	1	1
23	на первый план	4	1
24	далеко еще не	1	1
25	том как же	1	1
26	по крайней мере	10	1
27	что это вовсе	1	1
28	что данный субъект	1	1
29	о том как	2	1
30	то же время	3	1
31	только то что	1	1
32	их между собою	1	1
33	более не наука	1	1
34	в виде задания	1	1
35	ведь это же	2	1
36	сама по себе	11	1
37	и стало быть	6	1
38	но только в	1	1
39	это вовсе не	1	1
40	во всяком случае	3	1
41	должно было бы	1	1
42	и в этом	4	1
43	метод и в	1	1
44	не может не	3	1
45	выдвигает на первый	1	1
46	на точке зрения	1	1
47	в лучшем случае	2	1
48	и мы еще	1	1
49	не было бы	1	1
50	по самому существу	1	1
51	тем более не	2	1
