N	2gram	Ircho_Kome	Tragedij
1	и в	40	18
2	в этом	9	9
3	в году	3	9
4	не только	12	8
5	и на	9	7
6	и не	19	7
7	может быть	16	7
8	и с	8	7
9	как бы	3	7
10	что он	11	6
11	у него	6	6
12	же время	5	6
13	в образе	4	6
14	но в	6	6
15	и его	17	6
16	это не	2	5
17	несмотря на	5	5
18	что это	5	5
19	так и	17	5
20	к жизни	1	5
21	все же	7	5
22	в дальнейшем	1	5
23	то же	7	5
24	как и	12	5
25	не может	3	5
26	в то	14	5
27	что в	12	4
28	в себе	3	4
29	и даже	5	4
30	все это	7	4
31	прежде всего	8	4
32	и все	4	4
33	этот образ	1	4
34	об этом	2	4
35	еще не	7	4
36	но и	14	4
37	том что	19	4
38	и что	2	4
39	так же	4	4
40	то что	8	4
41	в этой	9	4
42	в нем	8	4
43	но это	2	4
44	в целом	6	4
45	и он	1	3
46	один из	9	3
47	в основном	1	3
48	уже в	9	3
49	в его	8	3
50	для него	1	3
51	в своем	6	3
52	с ним	1	3
53	о чем	2	3
54	и сам	5	3
55	в конце	7	3
56	iii в	7	3
57	и как	3	3
58	в мире	3	3
59	как в	8	3
60	никто не	3	3
61	своего отца	1	3
62	в поле	4	3
63	то есть	1	3
64	при этом	5	3
65	жизнь и	2	3
66	как это	7	3
67	тем самым	1	3
68	к людям	2	3
69	с ее	2	3
70	мог бы	3	3
71	как будто	3	3
72	отнюдь не	2	3
73	все эти	1	3
74	к нему	5	3
75	в самом	5	2
76	не так	1	2
77	вместе со	1	2
78	человеческой личности	1	2
79	в душе	1	2
80	еще раз	1	2
81	и здесь	6	2
82	данном случае	1	2
83	по замыслу	1	2
84	это был	1	2
85	ненависть к	1	2
86	и за	3	2
87	в том	19	2
88	это уже	2	2
89	с тем	5	2
90	в ее	2	2
91	по мнению	2	2
92	как у	1	2
93	отцом и	1	2
94	даже если	3	2
95	что и	10	2
96	из своих	1	2
97	ни в	9	2
98	бы и	1	2
99	но при	1	2
100	что все	1	2
101	не могут	1	2
102	в виде	3	2
103	его в	6	2
104	этим объясняется	3	2
105	не в	8	2
106	в первом	2	2
107	но все	4	2
108	даже на	1	2
109	было в	1	2
110	с г	2	2
111	из самых	2	2
112	еще в	9	2
113	в таком	1	2
114	одном из	4	2
115	вопрос о	5	2
116	дома и	1	2
117	имеет в	2	2
118	и это	3	2
119	нет в	1	2
120	к тому	15	2
121	о том	12	2
122	перед нами	1	2
123	не был	1	2
124	не имеет	1	2
125	что эти	1	2
126	и я	2	2
127	бросается в	1	2
128	что же?	1	2
129	в данном	1	2
130	права на	1	2
131	отличие от	4	2
132	он был	4	2
133	то и	3	2
134	потому что	8	2
135	ведь еще	1	2
136	так что	6	2
137	времени в	2	2
138	он не	5	2
139	по поводу	7	2
140	в частности	7	2
141	на меня	1	2
142	и детей	1	2
143	но они	2	2
144	в это	3	2
145	точно так	1	2
146	в одном	10	2
147	говорит что	1	2
148	в глаза	1	2
149	в отличие	3	2
150	отношение к	3	2
151	в ходе	1	2
152	в самую	1	2
153	о его	5	2
154	до конца	3	2
155	столь же	9	2
156	что она	3	2
157	который в	2	2
158	одна из	4	2
159	с его	4	2
160	а как	1	2
161	тут же	2	2
162	не мог	4	2
163	тем что	5	2
164	не случайно	1	2
165	и ее	5	2
166	ничего не	4	2
167	друг друга	2	2
168	любви и	1	2
169	в той	2	1
170	в особенности	1	1
171	во всем	1	1
172	им как	1	1
173	то в	1	1
174	с помощью	1	1
175	и сыном	1	1
176	от него	1	1
177	близок к	1	1
178	романа с	1	1
179	могут быть	3	1
180	в последующих	1	1
181	не нашел	1	1
182	мы бы	1	1
183	к сожалению	2	1
184	в настоящем	2	1
185	и мира	1	1
186	мы встречаем	5	1
187	из дома	1	1
188	таким образом	13	1
189	опирается на	1	1
190	по всем	2	1
191	сам же	1	1
192	является ее	1	1
193	и ненависть	1	1
194	предстает перед	1	1
195	после того	3	1
196	впечатление на	1	1
197	только что	2	1
198	на вопрос	1	1
199	первом же	1	1
200	на брак	1	1
201	также что	2	1
202	известно что	4	1
203	на западе	1	1
204	того как	3	1
205	к этой	1	1
206	же суть	1	1
207	почти не	2	1
208	в последней	1	1
209	в братьях	1	1
210	с одной	5	1
211	и вот	4	1
212	его с	2	1
213	что даже	1	1
214	сравнивает его	1	1
215	к себе	1	1
216	с такой	2	1
217	против кого	1	1
218	что уже	1	1
219	с этой	3	1
220	и при	1	1
221	на столе	1	1
222	ко всему	2	1
223	дело с	3	1
224	в применении	1	1
225	любовь к	1	1
226	начала и	1	1
227	быть отнесены	1	1
228	в финале	2	1
229	к числу	2	1
230	то для	1	1
231	что эта	1	1
232	естественно что	1	1
233	свою первую	1	1
234	т е	14	1
235	э по	1	1
236	того что	1	1
237	сам по	1	1
238	тем не	3	1
239	его облике	1	1
240	не вызывает	1	1
241	единственное что	1	1
242	о нем	1	1
243	о существовании	1	1
244	сам автор	3	1
245	и опирается	1	1
246	ее конец	1	1
247	а затем	4	1
248	где он	2	1
249	одному из	2	1
250	одно из	1	1
251	как он	2	1
252	же не	2	1
253	х годов	5	1
254	в результате	5	1
255	только за	1	1
256	в виду	2	1
257	иными словами	1	1
258	и один	1	1
259	смысле этого	1	1
260	разговоре с	1	1
261	с собой	2	1
262	и теперь	3	1
263	внешней формы	1	1
264	только в	6	1
265	не столько	1	1
266	по себе	2	1
267	такой силой	1	1
268	в самой	2	1
269	я даже	1	1
270	вопрос об	1	1
271	а на	2	1
272	говорит он	1	1
273	без слов	1	1
274	и притом	2	1
275	не было	1	1
276	ко всем	1	1
277	в борьбе	1	1
278	в духе	3	1
279	чтобы установить	1	1
280	но он	2	1
281	здесь мы	3	1
282	для постановки	2	1
283	с наступлением	1	1
284	этого не	1	1
285	все по	1	1
286	имеет для	1	1
287	наших дней	1	1
288	а также	5	1
289	или от	1	1
290	искусство для	1	1
291	сказал что	1	1
292	на улицу	1	1
293	что под	1	1
294	и бесконечными	1	1
295	одним из	3	1
296	в мыслях	1	1
297	на себя	5	1
298	что не	1	1
299	в эпоху	1	1
300	именно в	5	1
301	ведет к	1	1
302	представление о	3	1
303	обоих случаях	3	1
304	облике и	1	1
305	указывает на	2	1
306	тому что	4	1
307	из тех	1	1
308	в связи	3	1
309	который сам	1	1
310	моральное право	1	1
311	является по	1	1
312	лишний раз	1	1
313	встречается в	1	1
314	с ними	2	1
315	сперва он	1	1
316	и она	1	1
317	с такими	1	1
318	приходит в	1	1
319	в своей	3	1
320	рядом с	1	1
321	содержатся в	1	1
322	за свое	2	1
323	вместе с	8	1
324	на этом	3	1
325	при таком	1	1
326	жизни в	1	1
327	них он	1	1
328	был первым	1	1
329	роль в	2	1
330	не менее	6	1
331	и т	11	1
332	перед собой	1	1
333	на все	3	1
334	еще к	1	1
335	бы не	1	1
336	со своей	3	1
337	но у	1	1
338	незадолго до	1	1
339	с чертами	1	1
340	средство для	1	1
341	в двух	6	1
342	сравнению с	1	1
343	когда в	3	1
344	это было	5	1
345	но уже	1	1
346	героя и	1	1
347	в чем	3	1
348	ли это	2	1
349	могло бы	1	1
350	только теперь	1	1
351	мира сего	1	1
352	года и	1	1
353	всю ее	1	1
354	а из	2	1
355	бы в	3	1
356	труда в	1	1
357	эти же	1	1
358	в них	7	1
359	во всех	4	1
360	к одному	1	1
361	во всяком	4	1
362	и потому	1	1
363	до самой	1	1
364	в жизнь	2	1
365	совершенно не	1	1
366	материалом для	1	1
367	его перед	1	1
368	более чем	4	1
369	чем же	2	1
370	друг перед	1	1
371	он же	1	1
372	не является	2	1
373	за то	4	1
374	а к	2	1
375	это как	1	1
376	в котором	6	1
377	в пьесе	1	1
378	№ и	2	1
379	ему в	2	1
380	с самого	3	1
381	не могли	2	1
382	всегда с	1	1
383	или своей	1	1
384	восходит к	4	1
385	широкое развитие	1	1
386	применении к	1	1
387	которой он	2	1
388	связи с	3	1
389	за все	1	1
