N	4gram	Tiupa_Anal	Vladivir
1	в то же время	7	9
2	не что иное как	5	4
3	не говоря уже о	1	4
4	и вместе с тем	1	4
5	и в этом смысле	1	4
6	на самом же деле	1	3
7	что же касается самого	1	3
8	в том что он	2	3
9	заключается в том что	1	3
10	обращает на себя внимание	3	2
11	том и заключается что	1	2
12	ничего не говорит о	1	2
13	до тех пор пока	1	2
14	один и тот же	1	2
15	в том и заключается	1	2
16	одно и то же	2	2
17	свидетельствует о том что	1	2
18	бы то ни было	3	2
19	в том случае если	1	2
20	но в то же	2	2
21	есть не что иное	4	2
22	по поводу того что	1	1
23	с этой точки зрения	2	1
24	состоит в том что	6	1
25	том виде в каком	1	1
26	уже содержит в себе	1	1
27	в то же самое	2	1
28	выходит далеко за пределы	1	1
29	вера в то что	1	1
30	нет и не может	2	1
31	одной и той же	1	1
32	в том виде в	1	1
33	в собственном смысле слова	1	1
34	лишь в том что	1	1
35	в такой же мере	1	1
36	чего бы то ни	1	1
37	на этот раз не	1	1
38	субъекта и объекта и	1	1
39	по крайней мере в	1	1
40	то же самое время	2	1
41	и к тому же	2	1
42	мы имеем дело с	4	1
43	не в том чтобы	3	1
44	в том же году	1	1
45	как и следовало ожидать	1	1
46	по себе ничего не	1	1
47	к тому же и	1	1
48	какой бы то ни	2	1
49	и не может быть	4	1
