N	2gram	Medvedev_I	Formalny
1	и в	1	95
2	и не	2	78
3	в этом	2	61
4	так и	1	50
5	если бы	1	26
6	и с	3	21
7	что в	2	21
8	все это	1	19
9	все эти	1	18
10	с другой	1	16
11	бы в	1	15
12	произведения и	1	14
13	жизни и	1	14
14	в целом	1	14
15	тем что	1	13
16	того что	1	13
17	а в	1	13
18	по отношению	1	12
19	того чтобы	1	12
20	отношению к	1	12
21	никогда не	1	11
22	для него	1	11
23	в основе	1	11
24	другой стороны	1	10
25	в художественном	1	10
26	он не	2	10
27	как о	1	10
28	и др	1	10
29	по существу	1	10
30	говорить о	1	9
31	ничего не	2	9
32	в них	1	8
33	должен быть	2	8
34	для того	1	8
35	от этого	1	7
36	от нее	1	6
37	нисколько не	1	6
38	и со	1	5
39	в эту	1	5
40	могло бы	1	5
41	не так	1	5
42	то и	1	5
43	в значительной	1	5
44	на котором	1	4
45	того же	1	4
46	очевидно что	1	4
47	понятий и	1	4
48	что для	1	4
49	и о	1	4
50	тех же	1	4
51	и очень	1	3
52	это было	1	3
53	следующим образом	1	3
54	что при	1	3
55	не дает	1	3
56	и тот	1	3
57	произведения это	1	3
58	художественного творчества	1	3
59	со всеми	1	3
60	нам в	1	3
61	нее и	1	3
62	есть только	1	3
63	так то	1	2
64	себя в	1	2
65	а для	1	2
66	а с	1	2
67	и та	1	2
68	о ней	1	2
69	а отсюда	1	2
70	автор и	1	2
71	а если	1	2
72	автора и	1	2
73	то она	1	2
74	для других	1	2
75	и без	1	2
76	же это	1	2
77	во многом	1	2
78	бы столь	1	1
79	факты и	1	1
80	и сам	1	1
81	нет есть	1	1
82	только для	1	1
83	только что	1	1
84	как только	1	1
85	не здесь	1	1
86	было не	1	1
87	в первую	1	1
88	и еще	1	1
89	художественном творчестве	1	1
90	и творческую	1	1
91	по поводу	1	1
92	фундамент на	1	1
93	и чрезвычайно	1	1
94	его произведения	1	1
95	научные работы	1	1
96	стали бы	1	1
97	в руки	1	1
98	бы его	1	1
99	дает и	1	1
100	и творчества	1	1
101	когда его	1	1
102	следовательно в	1	1
103	и литература	1	1
104	очерк и	1	1
105	с а	1	1
106	эти произведения	1	1
107	как смерть	1	1
108	бы утвердиться	1	1
109	понимания жизни	1	1
110	у всех	1	1
111	а также	1	1
112	цель и	1	1
113	без этого	1	1
114	каждый исследователь	1	1
115	это сам	1	1
116	с литературными	1	1
