N	4gram	Bakhtin_Fr	VeschiIm
1	не что иное как	1	12
2	бы то ни было	1	12
3	есть не что иное	1	8
4	дело в том что	2	4
5	в то же время	13	4
6	в то время как	1	4
7	свидетельствует о том что	1	3
8	и в то же	2	3
9	так как она есть	1	1
10	на самом же деле	1	1
11	ни в коем случае	1	1
12	какой бы то ни	1	1
13	действительность так как она	1	1
14	не только то что	1	1
15	есть все то что	1	1
16	из них получилось нечто	1	1
17	с одной стороны и	2	1
18	в первом случае мы	1	1
19	одного и того же	1	1
20	но даже и в	1	1
21	что из них получилось	1	1
22	но в то же	7	1
23	дело вовсе не в	2	1
24	заключается в том чтобы	1	1
25	подобно тому как в	1	1
26	один и тот же	3	1
