N	3gram	Voloshinov	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	1	7
3	с точки зрения	6	6
4	во всяком случае	3	6
5	друг с другом	1	5
6	по крайней мере	3	5
7	а с другой	1	5
8	до сих пор	3	5
9	для того чтобы	1	5
10	о том что	2	4
11	в том что	1	3
12	и таким образом	1	3
13	так же как	2	3
14	всяком случае не	1	3
15	в связи с	1	3
16	той или иной	1	2
17	и связанные с	1	2
18	сих пор еще	1	2
19	с самого начала	4	2
20	может быть даже	1	2
21	но вместе с	1	2
22	то ни было	1	2
23	этой точки зрения	1	2
24	то же самое	1	2
25	по сравнению с	3	2
26	можно сказать что	3	2
27	бы то ни	1	2
28	в этом отношении	1	2
29	с этой точки	1	2
30	друг на друга	2	2
31	и в этом	2	2
32	так и в	1	1
33	те же что	1	1
34	связанные с ним	1	1
35	но в общем	2	1
36	а вместе с	1	1
37	не может быть	3	1
38	в данном случае	1	1
39	мы имеем в	1	1
40	что в этой	1	1
41	же что и	1	1
42	общем можно сказать	1	1
43	только в одном	1	1
44	и того же	1	1
45	имеем в виду	1	1
46	в самом деле	2	1
47	желаний и чувств	1	1
48	совершенно так же	1	1
49	и что он	1	1
50	следует заметить что	1	1
51	это и есть	1	1
52	из этих трех	1	1
53	в общем можно	1	1
54	не осталось и	1	1
55	одного и того	1	1
