N	3gram	Nazirov_Vr	VLabPisa
1	в этом отношении	1	14
2	в письме к	2	11
3	не может быть	2	8
4	с другой стороны	1	8
5	в том что	2	5
6	в то же	4	5
7	в письме от	2	5
8	то же время	4	5
9	равно как и	1	4
10	не было бы	1	4
11	в связи с	3	4
12	о том как	1	3
13	от мая года	1	3
14	о том что	1	3
15	о том же	1	3
16	и в то	1	3
17	это и есть	1	3
18	во всяком случае	1	2
19	от марта года	1	2
20	по крайней мере	1	2
21	до сих пор	1	2
22	не только не	1	2
23	в конце концов	1	2
24	и никогда не	1	2
25	от апреля года	1	2
26	и не может	1	2
27	так же как	1	1
28	это то что	1	1
29	во время сна	1	1
30	отцы и дети	2	1
31	в свою очередь	1	1
32	в том же	1	1
33	целого ряда других	1	1
34	на то что	1	1
35	в году и	2	1
36	в этом смысле	1	1
37	а н майкову	1	1
38	отцов и детей	4	1
39	в нем можно	1	1
40	между тем это	1	1
41	в своем дневнике	1	1
42	у него в	1	1
43	в то время	1	1
44	а между тем	1	1
45	и то же	1	1
46	все же не	1	1
47	каждый из них	1	1
48	от ноября года	1	1
49	и тургенев не	1	1
50	в известном письме	1	1
51	известном письме к	1	1
52	одно и то	1	1
53	но в то	2	1
54	в ноябре года	2	1
55	быть и речи	1	1
56	в соответствии с	1	1
57	служит для него	1	1
58	что они не	1	1
59	он и не	1	1
60	письме от мая	1	1
61	п в анненкова	1	1
62	в каком направлении	1	1
63	у тургенева и	1	1
64	и достоевский в	1	1
65	может быть и	1	1
