N	2gram	Medvedev_V	BTomashe
1	у нас	3	3
2	все это	13	2
3	в ней	2	2
4	можно было	2	2
5	и не	20	2
6	видеть в	3	2
7	вопрос о	1	1
8	говорить о	2	1
9	творчества и	3	1
10	забывать что	1	1
11	со всем	1	1
12	не только	26	1
13	а о	2	1
14	таким образом	32	1
15	не было	7	1
16	меньшей мере	1	1
17	прежде всего	13	1
18	моментом в	1	1
19	и в	26	1
20	их что	1	1
21	так и	6	1
22	в своей	4	1
23	во всяком	2	1
24	и потому	2	1
25	и во	1	1
26	также что	2	1
27	за пределы	1	1
28	же не	1	1
29	по крайней	2	1
30	с другой	11	1
31	об этом	9	1
32	художественного произведения	6	1
33	как будто	1	1
34	совершенно не	1	1
35	не о	2	1
36	другой стороны	8	1
37	крайней мере	2	1
38	всяком случае	2	1
39	кроме того	1	1
40	было бы	8	1
41	не следует	8	1
42	не признать	1	1
43	и ее	4	1
44	не присуща	1	1
45	одной из	2	1
46	в значительной	3	1
47	по меньшей	1	1
48	свести к	1	1
49	в пределах	5	1
50	в данном	1	1
51	должна быть	2	1
52	в области	2	1
53	является только	1	1
54	далеко не	3	1
55	тем более	1	1
56	говорить не	3	1
57	самом понятии	2	1
58	не вполне	2	1
59	то как	1	1
60	короче говоря	2	1
61	что все	4	1
62	не все	1	1
63	нельзя не	1	1
64	художественном произведении	4	1
65	никак не	3	1
66	в книге	2	1
67	его не	3	1
68	будто бы	2	1
69	имеющихся у	1	1
70	а не	7	1
71	отнюдь не	4	1
72	о свободе	1	1
73	между ними	3	1
74	еще не	2	1
75	к ней	1	1
76	все же	6	1
77	работа по	1	1
78	что в	11	1
