N	4gram	Bakhtin_sl	KulturaY
1	и т п и	1	7
2	и т п но	2	6
3	в то же время	15	6
4	с этой точки зрения	1	5
5	и т п в	2	5
6	и т п все	1	5
7	и т п так	1	3
8	большей или меньшей степени	3	3
9	в большей или меньшей	3	3
10	в том что он	1	3
11	но с другой стороны	1	3
12	в той или иной	12	2
13	в каждый данный момент	4	2
14	а в том что	1	2
15	одной и той же	1	2
16	и в то же	6	2
17	т п все это	1	2
18	в том что оно	1	2
19	никогда не может быть	2	1
20	в узком смысле слова	1	1
21	и в этом случае	2	1
22	т п так и	1	1
23	в том и в	2	1
24	или в лучшем случае	1	1
25	слова не только в	1	1
26	и т п не	1	1
27	том и в другом	2	1
28	не выходит за пределы	3	1
29	все более и более	1	1
30	не укладывается в прокрустово	1	1
31	не с точки зрения	1	1
32	все дело в том	1	1
33	и то же слово	2	1
34	одно и то же	2	1
35	и т п например	1	1
36	и с другой стороны	2	1
37	дело в том что	1	1
38	и т п то	1	1
39	а не с точки	1	1
40	в то время как	2	1
41	нас в данном случае	1	1
42	во всяком случае должен	1	1
43	сама по себе еще	1	1
44	в своей книге о	1	1
45	с точки зрения стилистики	1	1
46	в русском языке но	1	1
47	но во всяком случае	1	1
48	хотя бы и не	1	1
49	и не могут быть	1	1
50	той или иной степени	12	1
51	и в другом случае	2	1
52	мы имеем в виду	1	1
53	и в том и	2	1
54	еще раз подчеркнуть что	1	1
55	говорить о слове как	1	1
56	бы то ни было	1	1
57	укладывается в прокрустово ложе	1	1
58	и с точки зрения	1	1
59	для нас в данном	1	1
60	в целом ряде случаев	1	1
61	на том же языке	1	1
62	во всех этих случаях	1	1
63	даже и там где	1	1
64	то у нас в	1	1
65	имеем в виду не	1	1
66	находит свое выражение в	1	1
