N	2gram	Propp_Morf	SlovoVZh
1	не может	19	16
2	может быть	61	14
3	точки зрения	7	14
4	как бы	6	13
5	и его	3	13
6	таким образом	26	12
7	и в	17	12
8	отношению к	7	11
9	по отношению	7	11
10	в нашем	6	11
11	и не	16	10
12	так как	20	9
13	если бы	3	9
14	прежде всего	14	8
15	для нас	2	7
16	сказать что	4	7
17	с помощью	1	6
18	в том	10	6
19	только в	3	6
20	при этом	1	6
21	и др	12	5
22	можно сказать	2	5
23	что мы	2	5
24	героя и	3	5
25	хотя бы	5	5
26	должна быть	2	5
27	то же	10	5
28	а не	11	5
29	в виду	1	5
30	то что	10	5
31	как и	4	5
32	как в	5	5
33	том что	7	5
34	но в	4	5
35	и к	4	4
36	и на	1	4
37	материала и	1	4
38	не только	8	4
39	ни было	2	4
40	на самом	4	4
41	от того	4	4
42	его в	4	4
43	с другой	9	4
44	не в	3	4
45	дело в	1	4
46	отношение к	1	4
47	что не	1	4
48	так и	10	4
49	уже не	4	4
50	в этом	18	4
51	все же	9	4
52	к нему	3	4
53	бы то	3	3
54	как к	1	3
55	и с	1	3
56	к герою	3	3
57	до сих	1	3
58	и более	2	3
59	в котором	1	3
60	с героем	2	3
61	и по	3	3
62	и пр	45	3
63	так называемой	1	3
64	мы не	8	3
65	то ни	3	3
66	или не	3	3
67	между тем	5	3
68	для него	2	3
69	того что	3	3
70	быть и	2	3
71	тем не	7	3
72	в некоторых	4	3
73	имеет в	1	3
74	все это	2	3
75	он должен	3	3
76	ни в	3	3
77	в пределах	3	3
78	так же	4	3
79	в них	1	3
80	в каком	2	3
81	этой точки	1	3
82	самом деле	4	3
83	только на	1	3
84	но для	3	3
85	в себе	1	3
86	ясно что	5	3
87	все эти	5	3
88	о том	6	3
89	в своей	1	3
90	и герой	1	3
91	здесь не	3	3
92	не менее	7	3
93	из этого	1	3
94	но и	9	3
95	бы мы	1	3
96	ведь и	1	3
97	и для	4	3
98	точек зрения	1	3
99	и ее	5	3
100	и наконец	1	3
101	сих пор	1	3
102	и вообще	1	3
103	еще не	4	3
104	в особенности	1	2
105	что в	10	2
106	этих двух	1	2
107	все они	1	2
108	но это	6	2
109	не так	2	2
110	действия и	2	2
111	и другие	6	2
112	какой степени	1	2
113	и то	1	2
114	мы можем	5	2
115	в данном	2	2
116	в то	4	2
117	еще раз	1	2
118	которые мы	1	2
119	данном случае	2	2
120	в момент	1	2
121	с одной	2	2
122	там где	5	2
123	в его	1	2
124	с этой	3	2
125	она не	2	2
126	это не	6	2
127	одной стороны	2	2
128	как уже	3	2
129	дело с	1	2
130	с точки	6	2
131	мы имеем	19	2
132	и дает	2	2
133	эти и	1	2
134	на него	4	2
135	тем как	1	2
136	кроме того	3	2
137	в формах	1	2
138	как это	7	2
139	те же	1	2
140	но все	4	2
141	если же	5	2
142	одно и	1	2
143	и что	3	2
144	что и	10	2
145	в форме	6	2
146	же самое	1	2
147	конечно в	1	2
148	на примере	1	2
149	другой стороны	5	2
150	и те	1	2
151	как не	1	2
152	в этих	17	2
153	оно не	2	2
154	как же	3	2
155	и притом	1	2
156	форма в	3	2
157	на это	1	2
158	имеем в	8	2
159	выходят за	1	2
160	и здесь	7	2
161	как на	1	2
162	и все	1	2
163	но не	8	2
164	не есть	1	2
165	могут быть	21	2
166	с другими	2	2
167	в какой	3	2
168	между ними	1	2
169	настоящее время	3	2
170	такой же	1	2
171	до известной	1	2
172	с его	3	2
173	они ни	1	2
174	себя и	2	2
175	на все	1	2
176	его к	1	2
177	известной степени	1	2
178	к этому	4	2
179	бы не	1	2
180	между собой	5	2
181	же относится	1	2
182	слушателя и	1	2
183	он не	5	2
184	независимо от	4	2
185	в чем	2	2
186	в настоящее	3	2
187	и совершенно	1	2
188	но мы	3	2
189	словами и	1	2
190	точку зрения	1	2
191	и подобные	2	2
192	ничего не	5	2
193	он пользуется	1	1
194	каковы будут	1	1
195	же просто	1	1
196	можно наблюдать	8	1
197	в русской	1	1
198	это на	1	1
199	образом лишь	2	1
200	то в	3	1
201	автором по	1	1
202	во всяком	2	1
203	она имеет	1	1
204	от него	2	1
205	это и	3	1
206	что они	5	1
207	видели в	1	1
208	его и	2	1
209	и такой	1	1
210	является в	2	1
211	положения и	1	1
212	нему в	1	1
213	но можно	1	1
214	ситуации в	1	1
215	во всех	6	1
216	не зная	1	1
217	нами выше	1	1
218	не является	4	1
219	а с	2	1
220	к другу	2	1
221	коем случае	1	1
222	это делает	1	1
223	та же	3	1
224	бы показать	1	1
225	с самого	1	1
226	образом мы	7	1
227	что совсем	1	1
228	друг к	2	1
229	он или	1	1
230	эту ситуацию	1	1
231	на эти	1	1
232	на этом	4	1
233	не отвечает	1	1
234	в коем	1	1
235	она должна	1	1
236	может дать	2	1
237	само собой	1	1
238	и героев	1	1
239	предметы и	3	1
240	дана в	1	1
241	нельзя было	2	1
242	материала в	1	1
243	должно быть	1	1
244	мы уже	4	1
245	к целому	2	1
246	ли он	1	1
247	значение и	3	1
248	мы берем	1	1
249	и уж	1	1
250	мы увидим	10	1
251	следует ли	1	1
252	следующий момент	1	1
253	и вот	1	1
254	все остальные	1	1
255	предметами и	1	1
256	она создает	1	1
257	она в	2	1
258	она могла	1	1
259	может идти	1	1
260	героя в	5	1
261	в свою	1	1
262	нашей работы	2	1
263	входит в	4	1
264	только и	1	1
265	только как	1	1
266	является следствием	1	1
267	того чтобы	4	1
268	он как	1	1
269	в основе	2	1
270	и их	3	1
271	не должно	1	1
272	и иных	2	1
273	ту же	2	1
274	в другом	2	1
275	и менее	1	1
276	тому как	5	1
277	формы но	1	1
278	несмотря на	4	1
279	но то	1	1
280	но эти	3	1
281	вопросу о	2	1
282	на что	1	1
283	случае она	1	1
284	герой и	4	1
285	что всякий	1	1
286	обстоит дело	1	1
287	во многих	1	1
288	что это	3	1
289	в противном	1	1
290	хотя и	5	1
291	оно является	1	1
292	и тогда	3	1
293	форма не	1	1
294	этом отношении	2	1
295	это уже	3	1
296	в новой	1	1
297	о чем	1	1
298	мы должны	3	1
299	на другое	1	1
300	точно и	1	1
301	в ее	1	1
302	это по	1	1
303	и тем	3	1
304	кажется что	1	1
305	или просто	2	1
306	формы могут	1	1
307	не требует	1	1
308	все основные	1	1
309	бы только	1	1
310	в частности	2	1
311	для нее	1	1
312	и больше	2	1
313	не как	1	1
314	литературе и	1	1
315	увидим что	2	1
316	должны быть	2	1
317	в качестве	8	1
318	и некоторые	1	1
319	или иных	1	1
320	потому не	2	1
321	вступает в	1	1
322	всех других	2	1
323	то мы	5	1
324	пор не	1	1
325	далее мы	2	1
326	в одном	2	1
327	в области	1	1
328	одно из	1	1
329	у нас	3	1
330	на которой	1	1
331	теряет свою	1	1
332	кто же	1	1
333	что каждый	1	1
334	можно было	4	1
335	для их	1	1
336	и делает	1	1
337	составная часть	1	1
338	бы они	2	1
339	же не	1	1
340	в результате	8	1
341	важно не	1	1
342	и это	1	1
343	же он	1	1
344	ни одной	2	1
345	как нечто	1	1
346	ни были	1	1
347	бы отдаленно	1	1
348	в художественно	1	1
349	формы является	1	1
350	и создает	1	1
351	более и	1	1
352	подобно тому	6	1
353	и тот	2	1
354	далеко не	5	1
355	слова не	1	1
356	не вполне	1	1
357	некоторые стороны	1	1
358	у него	2	1
359	а этот	1	1
360	не на	2	1
361	не могут	7	1
362	что например	1	1
363	же время	1	1
364	не существует	3	1
365	при помощи	12	1
366	в виде	3	1
367	из одного	1	1
368	художественных приемов	1	1
369	к которой	1	1
370	она становится	1	1
371	там же	1	1
