N	3gram	Medvedev_F	Tragedij
1	то же время	13	5
2	в то же	13	5
3	так и в	6	3
4	в том что	3	2
5	и как бы	1	2
6	и в частности	2	2
7	но в то	3	2
8	между этими двумя	2	2
9	в данном случае	2	2
10	и в дальнейшем	1	2
11	но все же	2	2
12	в отличие от	2	2
13	сам по себе	2	1
14	как своего рода	1	1
15	в этом романе	1	1
16	создается впечатление что	1	1
17	что он не	1	1
18	смысле этого слова	4	1
19	в конце концов	2	1
20	это может быть	1	1
21	и не могли	1	1
22	по-видимому не было	1	1
23	с тем и	2	1
24	вместо того чтобы	1	1
25	в применении к	4	1
26	в той же	2	1
27	то что он	1	1
28	не может быть	11	1
29	в известной степени	1	1
30	и т п	11	1
31	но при этом	1	1
32	в этом случае	1	1
33	по сравнению с	1	1
34	в чем же	1	1
35	с самого начала	2	1
36	в самой природе	1	1
37	это было в	1	1
38	как и все	2	1
39	не только не	2	1
40	с начала и	2	1
41	не могут быть	4	1
42	в высшей степени	4	1
43	хотя бы и	1	1
44	в таком виде	1	1
45	как и в	1	1
46	в связи с	9	1
47	в самом деле	5	1
48	мы бы сказали	1	1
49	во всяком случае	6	1
50	к тому что	3	1
51	но и ко	1	1
52	тем не менее	2	1
53	и с тем	1	1
54	и в истории	1	1
55	и до конца	3	1
56	все в этом	1	1
57	в своей книге	2	1
58	вместе с ними	1	1
59	и должна быть	1	1
60	так обстоит дело	1	1
61	прежде всего необходимо	1	1
62	начала и до	2	1
63	отметить что в	1	1
64	все же не	1	1
65	и не может	5	1
66	и в этом	6	1
67	отнюдь не является	1	1
