N	4gram	Bakhtin_Pr	Istorich
1	в то время как	1	13
2	не что иное как	1	11
3	и т д мы	1	5
4	есть не что иное	1	5
5	и тем не менее	1	4
6	с другой же стороны	2	3
7	с одной стороны и	1	3
8	бы то ни было	2	3
9	что в некоторых случаях	1	2
10	уже выше в главе	1	2
11	на самом же деле	1	2
12	дело в том что	1	2
13	и не может быть	1	2
14	иметь в виду что	1	2
15	в данном случае к	1	2
16	от них в этом	1	1
17	в нем он должен	1	1
18	входит в наши задачи	1	1
19	не входит в наши	1	1
20	не может быть признано	1	1
21	она не могла бы	1	1
22	в его связи с	1	1
23	сами по себе не	1	1
24	в основе очень многих	1	1
25	несмотря на то что	1	1
26	только по отношению к	4	1
27	и в иных случаях	1	1
28	он должен приобщиться к	1	1
29	в том смысле что	1	1
30	находит свое объяснение в	1	1
31	мы можем сказать что	1	1
32	мы останавливаться не будем	1	1
33	дело конечно не в	1	1
34	не говоря уже о	1	1
35	как мы увидим это	1	1
36	как человек а как	1	1
37	не чем иным как	1	1
38	что в его состав	1	1
39	мы имеем дело с	1	1
40	не нуждается ни в	1	1
41	о которых идет речь	1	1
42	в то же время	3	1
