N	3gram	Nazirov_Tr	StatiiOP
1	в том что	2	47
2	о том что	2	29
3	и т п	1	19
4	во всяком случае	1	13
5	не может быть	1	11
6	в самом деле	1	9
7	то же время	5	9
8	бориса годунова и	1	9
9	в то же	5	9
10	тем не менее	1	8
11	к тому что	1	8
12	в конце концов	1	7
13	в данном случае	2	7
14	но все же	2	7
15	и в этом	1	7
16	том что он	1	7
17	так и в	3	6
18	не только не	1	6
19	в одном из	1	6
20	что он не	1	5
21	за то что	1	5
22	с самого начала	1	5
23	после того как	1	5
24	в применении к	1	4
25	то что он	1	4
26	в связи с	1	4
27	и в самом	2	4
28	на вопрос о	1	4
29	в той же	1	3
30	что в ней	1	3
31	это не просто	1	3
32	в этом случае	1	3
33	у него есть	1	2
34	хотя бы и	1	2
35	он считает что	1	2
36	а между тем	1	2
37	в обоих случаях	1	2
38	и вместе с	1	2
39	точно так же	2	2
40	в отличие от	2	2
41	объясняется и то	1	2
42	в таком виде	1	2
43	не только по	1	2
44	сам по себе	1	2
45	как своего рода	1	2
46	свою трагедию с	1	2
47	в чем же	1	2
48	никогда не был	1	2
49	отметить что в	1	2
50	но в то	2	2
51	объясняется тем что	1	2
52	прежде всего необходимо	1	2
53	и то что	1	2
54	с того что	1	2
55	как и в	1	2
56	мировой литературы и	1	1
57	для него была	1	1
58	в точности соответствует	1	1
59	в известной степени	1	1
60	по сравнению с	1	1
61	все это говорит	1	1
62	нет в нем	1	1
63	в и ленина	1	1
64	вся состоит из	1	1
65	же во времена	1	1
66	в общем смысле	1	1
67	может быть не	1	1
68	смысле этого слова	1	1
69	о чем он	2	1
70	вместо того чтобы	1	1
71	на этот счет	1	1
72	ответа на вопрос	1	1
73	это же время	1	1
74	что в таком	1	1
75	ни разу не	1	1
76	и который сам	1	1
77	в высшей степени	1	1
78	факт что в	1	1
79	и с тем	1	1
80	за себя а	1	1
81	и не может	1	1
82	в какой-то мере	1	1
83	и теперь еще	1	1
84	писателя в том	1	1
85	от бориса годунова	1	1
86	это может быть	1	1
87	в это же	1	1
88	мысль о том	1	1
89	уже не к	1	1
90	себя а за	1	1
91	в этой борьбе	1	1
92	детскую любовь к	1	1
93	в стихах и	1	1
94	не может жить	1	1
95	бы может быть	1	1
96	не мудрено что	2	1
97	но в конце	1	1
98	ни за что	1	1
99	не только к	1	1
100	одно из самых	1	1
101	и в частности	2	1
102	которой не может	1	1
103	и всегда будет	1	1
104	не за себя	1	1
105	же время с	1	1
106	у него нет	1	1
107	не могут быть	1	1
108	уже в году	1	1
109	в этом варианте	1	1
110	и все же	1	1
111	в году в	2	1
112	и презрение к	1	1
