N	2gram	Berdyaev_V	VrazhdaK
1	не только	2	9
2	в этом	4	8
3	и в	16	8
4	и что	3	8
5	что в	3	7
6	и все	4	7
7	но и	5	7
8	то что	9	7
9	как и	4	6
10	и с	1	6
11	все же	1	6
12	в котором	4	6
13	в нем	4	6
14	но в	3	6
15	то же	1	5
16	у него	1	5
17	и не	20	5
18	между тем	2	5
19	не было	3	5
20	это не	2	4
21	с ним	2	4
22	для нас	2	4
23	все это	5	4
24	в виду	1	4
25	в своих	1	4
26	что он	4	4
27	уже в	1	4
28	может быть	1	4
29	в ней	4	4
30	в истории	8	4
31	как бы	5	4
32	так же	1	4
33	в его	4	3
34	в том	3	3
35	давно уже	2	3
36	я не	1	3
37	тем что	2	3
38	речь идет	1	3
39	в чем	3	3
40	человека в	1	3
41	он был	1	3
42	том что	2	3
43	и уже	1	3
44	в конце	3	3
45	что есть	5	3
46	в своем	1	3
47	с его	3	3
48	к этому	1	3
49	который был	1	3
50	и во	2	3
51	и то	2	2
52	его с	1	2
53	б и	1	2
54	для него	2	2
55	его и	2	2
56	о чем	1	2
57	нашего времени	1	2
58	о которой	1	2
59	в них	3	2
60	его на	1	2
61	в мире	5	2
62	их в	3	2
63	в своей	3	2
64	вместе с	1	2
65	в известном	1	2
66	и это	2	2
67	еще не	8	2
68	но как	1	2
69	а с	2	2
70	это в	1	2
71	в этой	1	2
72	тогда как	1	2
73	а в	2	2
74	к ним	1	2
75	отношение к	1	2
76	уже не	2	2
77	что я	3	2
78	в глазах	1	2
79	с которым	1	2
80	одна из	2	2
81	но это	3	2
82	и ее	1	2
83	никогда не	3	2
84	души и	1	1
85	все в	1	1
86	в самом	1	1
87	во всем	1	1
88	так и	4	1
89	близок к	1	1
90	что они	7	1
91	все что	4	1
92	один из	2	1
93	они не	1	1
94	если в	1	1
95	лет назад	1	1
96	того как	1	1
97	и уж	1	1
98	с любовью	1	1
99	что уже	1	1
100	он всегда	1	1
101	не хотел	2	1
102	от которого	3	1
103	что это	1	1
104	хотя и	5	1
105	в ее	1	1
106	легенду о	1	1
107	того что	5	1
108	говорит о	1	1
109	чем у	1	1
110	от этой	1	1
111	верит в	2	1
112	него в	1	1
113	прежде всего	2	1
114	ее и	2	1
115	это слово	1	1
116	другой стороны	1	1
117	быть может	1	1
118	нет ничего	3	1
119	в этих	3	1
120	так не	2	1
121	в их	1	1
122	о своем	1	1
123	все равно	2	1
124	есть еще	1	1
125	но с	1	1
126	и самые	1	1
127	христа и	1	1
128	ко всем	1	1
129	а между	2	1
130	эта попытка	1	1
131	в духе	2	1
132	можно признать	1	1
133	в разные	1	1
134	конечно в	1	1
135	и сам	2	1
136	в одном	1	1
137	их и	1	1
138	неверие в	1	1
139	людей а	1	1
140	тот кто	2	1
141	на нее	1	1
142	ненависти и	2	1
143	но не	2	1
144	у людей	2	1
145	но вот	1	1
146	легенда о	2	1
147	уже на	2	1
148	жизни и	3	1
149	в процессе	1	1
150	в жизни	3	1
151	меня в	1	1
152	человек и	1	1
153	уж конечно	2	1
154	равно не	1	1
155	несравненно более	1	1
156	тогда это	1	1
157	не есть	6	1
158	нам уже	1	1
159	как в	1	1
160	роль в	1	1
161	в речах	1	1
162	еще к	1	1
163	и я	4	1
164	теперь это	1	1
165	да и	2	1
166	ли он	1	1
167	не имеет	3	1
168	но мы	2	1
169	что тот	1	1
170	раз и	1	1
171	и вообще	1	1
172	не был	1	1
173	и отвергает	1	1
174	этому же	1	1
175	в великом	1	1
176	во всех	3	1
177	человека к	1	1
178	до того	2	1
179	во всяком	2	1
180	было не	1	1
181	искать в	1	1
182	я вижу	1	1
183	не могли	2	1
184	истории человечества	3	1
185	свое место	1	1
186	это как	1	1
187	потому что	4	1
188	живет в	1	1
189	из ненависти	1	1
190	нельзя не	1	1
191	обратился к	1	1
192	человека как	2	1
193	более всего	1	1
194	не всегда	1	1
195	не будет	2	1
196	с ненавистью	1	1
197	говорить о	4	1
198	не с	2	1
199	и ненависти	1	1
200	в форме	2	1
201	людей и	2	1
202	вслед за	2	1
203	у человека	1	1
204	вот в	1	1
205	к людям	6	1
206	человека и	6	1
207	праве любить	1	1
208	и можно	1	1
209	с другой	1	1
210	говорил с	1	1
211	я думаю	2	1
212	достоевский имел	1	1
213	известном смысле	1	1
214	и никогда	2	1
215	могут быть	2	1
216	не имел	2	1
217	имя его	1	1
218	был в	1	1
219	и от	1	1
220	человечества и	3	1
221	и есть	4	1
222	тем чтобы	1	1
223	по крайней	1	1
224	но я	1	1
225	и дал	1	1
226	для хранения	2	1
227	от них	1	1
228	конце концов	1	1
229	о великом	4	1
230	бы в	1	1
231	не просто	1	1
232	в целом	1	1
233	крайней мере	1	1
234	презрения к	1	1
235	ничего не	1	1
236	к нему	1	1
