N	2gram	Voloshinov	NovoeSre
1	а не	2	17
2	не может	8	16
3	и в	13	16
4	совсем не	1	12
5	и не	8	11
6	и есть	1	10
7	что в	3	9
8	истории и	1	9
9	в эпоху	1	9
10	в том	2	8
11	в этом	2	7
12	может быть	8	7
13	как и	3	7
14	не знает	1	6
15	не в	3	6
16	лишь в	4	6
17	с его	1	6
18	но это	1	6
19	никогда не	3	6
20	и к	2	5
21	не только	6	5
22	в ней	2	5
23	все это	4	5
24	в нем	2	5
25	с ее	1	5
26	быть может	1	4
27	должно быть	1	4
28	потому что	1	4
29	прежде всего	9	4
30	в них	2	4
31	то что	6	4
32	не было	1	4
33	и все	3	4
34	не менее	2	4
35	не имеет	2	4
36	и для	3	4
37	вопрос о	1	3
38	и пр	7	3
39	тому как	1	3
40	в ее	3	3
41	смысле слова	2	3
42	что такое	1	3
43	за пределы	3	3
44	конечно не	1	3
45	подобно тому	1	3
46	в истории	1	3
47	не существует	1	3
48	с другой	2	3
49	в основе	1	3
50	сказать что	1	3
51	в своей	4	3
52	в мире	1	3
53	как в	2	3
54	но и	3	3
55	к тому	2	3
56	человека и	1	3
57	еще не	1	3
58	с этим	3	2
59	это и	1	2
60	и что	1	2
61	свои права	1	2
62	переходе от	1	2
63	что она	1	2
64	не имеют	1	2
65	с одной	2	2
66	хотя бы	5	2
67	такого рода	1	2
68	мы не	4	2
69	того чтобы	1	2
70	они считают	1	2
71	в нашу	1	2
72	сильнее и	1	2
73	так и	3	2
74	как это	1	2
75	думать что	2	2
76	одной стороны	2	2
77	можно было	1	2
78	и должно	2	2
79	ни одна	1	2
80	другой стороны	2	2
81	с их	1	2
82	а в	2	2
83	все время	1	2
84	когда мы	1	2
85	в свои	1	2
86	не хотят	1	2
87	связана с	3	2
88	для этого	1	2
89	нет и	1	2
90	равно как	1	2
91	могут быть	2	2
92	в себе	3	2
93	призыв к	1	2
94	времени в	1	2
95	все эти	2	2
96	же как	1	2
97	такой же	1	2
98	вместе с	1	2
99	который в	1	2
100	одна из	1	2
101	роль в	2	2
102	в природе	1	2
103	но не	1	2
104	в то	1	2
105	должно было	1	2
106	том что	2	2
107	не будут	1	2
108	ведь и	1	2
109	так же	2	2
110	и это	1	2
111	но для	3	2
112	но в	4	2
113	и т.п	7	2
114	мысли в	1	2
115	мысли и	1	2
116	формы и	1	2
117	к более	1	2
118	своего рода	2	1
119	в самом	2	1
120	во всем	2	1
121	к одному	3	1
122	нет ничего	2	1
123	ее на	1	1
124	может иметь	2	1
125	то он	1	1
126	о переходе	1	1
127	эпохи не	1	1
128	во все	1	1
129	для всех	1	1
130	это конечно	1	1
131	в замкнутые	1	1
132	как ни	1	1
133	и более	1	1
134	и этот	2	1
135	то это	1	1
136	выходит за	1	1
137	в статье	1	1
138	отличие от	1	1
139	они не	1	1
140	на нем	1	1
141	мы уже	2	1
142	переходит в	1	1
143	не могу	1	1
144	уже в	2	1
145	эти слова	1	1
146	может идти	1	1
147	в значительной	1	1
148	есть прежде	3	1
149	для себя	2	1
150	можно лишь	1	1
151	не должно	1	1
152	с миром	1	1
153	в человеческом	1	1
154	для того	1	1
155	быть не	1	1
156	ее жизни	1	1
157	не всегда	1	1
158	в этот	2	1
159	он и	1	1
160	должны перейти	1	1
161	было бы	4	1
162	мы должны	6	1
163	не должна	1	1
164	в его	7	1
165	переходит от	1	1
166	к тем	1	1
167	человеческом обществе	1	1
168	мы в	1	1
169	но ведь	5	1
170	она создает	1	1
171	должны быть	1	1
172	и через	1	1
173	и их	7	1
174	в которую	2	1
175	говорить о	3	1
176	вступает в	1	1
177	для них	1	1
178	не столько	3	1
179	людей и	1	1
180	вопроса о	4	1
181	ни одно	2	1
182	в виду	1	1
183	еще в	2	1
184	превращается в	3	1
185	и до	1	1
186	нет никакого	1	1
187	привела к	1	1
188	противостоит не	1	1
189	творчества ни	1	1
190	и развивается	1	1
191	только в	6	1
192	не на	2	1
193	по своей	1	1
194	приходится выбирать	1	1
195	в зависимости	2	1
196	а на	1	1
197	зависимость от	1	1
198	в которой	3	1
199	традиционные формы	1	1
200	в этой	1	1
201	а также	2	1
202	в отличие	1	1
203	про себя	1	1
204	считают себя	1	1
205	быть понята	1	1
206	сам собой	1	1
207	менее всего	1	1
208	тем что	2	1
209	возможности в	1	1
210	времени не	1	1
211	с большим	1	1
212	в конце	1	1
213	или иная	1	1
214	так как	3	1
215	в образе	1	1
216	к которому	1	1
217	в своем	1	1
218	долгое время	1	1
219	и вполне	1	1
220	что он	1	1
221	на себя	1	1
222	их в	1	1
223	что мы	1	1
224	и вместе	1	1
225	я хочу	3	1
226	но если	1	1
227	по себе	1	1
228	оно может	1	1
229	на место	1	1
230	в области	2	1
231	в такой	1	1
232	нуждается в	2	1
233	мыслей и	1	1
234	от всех	2	1
235	к единству	3	1
236	и оно	1	1
237	зависимости от	2	1
238	та или	1	1
239	только потому	1	1
240	и истории	2	1
241	связанный с	1	1
242	того же	1	1
243	новой социальной	1	1
244	во времени	2	1
245	в чем	2	1
246	и его	12	1
247	что вообще	1	1
248	у в	1	1
249	и особенно	1	1
250	и у	1	1
251	от этого	2	1
252	обратиться к	1	1
253	этой системы	1	1
254	себя и	1	1
255	к нему	1	1
