N	3gram	Tiupa_Anal	NovoeSre
1	не может быть	17	4
2	со всех сторон	1	3
3	подобно тому как	5	3
4	в том и	2	2
5	том и заключается	1	2
6	вместе с тем	1	2
7	равно как и	1	2
8	и должно быть	1	2
9	и заключается что	1	2
10	в этом смысле	3	2
11	с одной стороны	6	2
12	с другой стороны	2	2
13	быть не может	3	1
14	сами по себе	3	1
15	лишь в том	3	1
16	в том что	13	1
17	не в том	3	1
18	в том случае	1	1
19	до сих пор	1	1
20	я не могу	1	1
21	в такой же	1	1
22	как будто бы	1	1
23	в зависимости от	1	1
24	по своей природе	1	1
25	в то что	1	1
26	том числе и	1	1
27	можно было бы	1	1
28	и вместе с	1	1
29	такой же мере	1	1
30	не только в	3	1
31	но и в	3	1
32	не может остаться	1	1
33	которые могут быть	1	1
34	в том чтобы	7	1
35	должны помнить что	1	1
36	не было и	1	1
37	в том смысле	1	1
38	в отличие от	8	1
39	в значительной степени	1	1
40	как это было	1	1
41	и т.п по	1	1
42	о том что	8	1
43	и того же	2	1
44	и не могут	1	1
45	не могут быть	2	1
46	выходит за пределы	1	1
47	себя на место	1	1
48	а не в	3	1
49	как и в	2	1
50	он нуждается в	1	1
51	и не в	4	1
52	том случае если	1	1
53	а не с	2	1
54	во всяком случае	1	1
55	и во всех	1	1
56	в том числе	3	1
57	для того и	1	1
58	а не к	1	1
59	как будто не	1	1
60	по природе своей	3	1
61	в известном смысле	2	1
62	того чтобы быть	1	1
63	и не может	4	1
64	одного и того	2	1
