N	2gram	Bakhtin_Fr	Morfolog
1	может быть	4	61
2	и пр	1	45
3	таким образом	20	26
4	могут быть	1	21
5	так как	16	20
6	не может	9	19
7	в этом	27	18
8	и в	67	17
9	и не	23	16
10	мы видим	6	15
11	перед нами	6	14
12	с этим	6	14
13	прежде всего	19	14
14	по существу	4	13
15	видим что	2	12
16	связи с	7	12
17	и др	11	12
18	а не	6	11
19	заметить что	2	11
20	чаще всего	1	11
21	что в	14	10
22	то же	18	10
23	а затем	7	10
24	мы увидим	1	10
25	но если	1	10
26	в том	16	10
27	так и	14	10
28	что и	8	10
29	в связи	5	10
30	то что	9	10
31	все же	7	9
32	с другой	3	9
33	но и	23	9
34	не только	23	8
35	в результате	5	8
36	мы не	6	8
37	в качестве	5	8
38	но не	6	8
39	в тех	1	8
40	а в	4	8
41	как мы	16	8
42	во втором	3	7
43	один из	6	7
44	и здесь	6	7
45	если в	3	7
46	не могут	3	7
47	не менее	4	7
48	том что	13	7
49	потому что	8	7
50	по отношению	1	7
51	точки зрения	7	7
52	как это	5	7
53	тем не	1	7
54	и этим	2	7
55	или же	1	7
56	а также	4	7
57	отношению к	1	7
58	и другие	5	6
59	подобно тому	2	6
60	о том	8	6
61	как бы	18	6
62	не все	2	6
63	но это	10	6
64	это не	5	6
65	с точки	5	6
66	в образе	9	6
67	в нашем	3	6
68	или в	3	6
69	и как	7	6
70	вовсе не	19	6
71	во всех	20	6
72	если мы	3	6
73	очень часто	4	6
74	также и	11	6
75	в форме	2	6
76	во время	15	6
77	они и	3	5
78	этот момент	3	5
79	другой стороны	2	5
80	в первом	3	5
81	вслед за	1	5
82	по их	1	5
83	что он	7	5
84	как в	4	5
85	видно что	1	5
86	то это	1	5
87	это явление	2	5
88	хотя бы	2	5
89	было бы	5	5
90	к тому	4	5
91	ничего не	5	5
92	что они	3	5
93	не будем	3	5
94	хотя и	6	5
95	то мы	1	5
96	два раза	2	5
97	тому что	1	5
98	ясно что	1	5
99	все эти	12	5
100	одна из	1	5
101	на его	2	5
102	об этом	5	5
103	в других	2	5
104	там где	10	5
105	мы можем	5	5
106	тому как	2	5
107	между тем	3	5
108	он не	9	5
109	то перед	1	5
110	если же	2	5
111	далеко не	6	5
112	в ходе	1	5
113	в целом	2	5
114	и ее	2	5
115	и к	7	4
116	есть и	8	4
117	на этом	7	4
118	нами в	2	4
119	как и	19	4
120	самом деле	6	4
121	но все	2	4
122	тем что	3	4
123	никто не	1	4
124	уже не	1	4
125	еще не	5	4
126	тех же	1	4
127	того чтобы	9	4
128	говорить о	5	4
129	так же	13	4
130	сказать что	12	4
131	на него	2	4
132	на котором	2	4
133	и для	4	4
134	из них	5	4
135	но в	20	4
136	к началу	3	4
137	несмотря на	3	4
138	на самом	8	4
139	его в	10	4
140	случае не	1	4
141	встречается в	1	4
142	к этому	4	4
143	в то	17	4
144	мы уже	13	4
145	можно было	5	4
146	этот вопрос	1	4
147	от того	3	4
148	о его	1	4
149	оно может	1	4
150	независимо от	3	4
151	утверждать что	1	3
152	то время	4	3
153	раз он	1	3
154	та же	2	3
155	с этой	1	3
156	и при	2	3
157	и убивает	1	3
158	по всему	2	3
159	что это	4	3
160	это уже	1	3
161	в сущности	13	3
162	ни в	5	3
163	связывается с	1	3
164	или со	1	3
165	только в	6	3
166	или на	2	3
167	можно назвать	1	3
168	и другим	2	3
169	есть нечто	2	3
170	состоит из	2	3
171	имеется в	2	3
172	но мы	3	3
173	на первый	4	3
174	первом случае	3	3
175	не существует	1	3
176	и что	3	3
177	связана с	5	3
178	для того	8	3
179	но эти	1	3
180	и тогда	1	3
181	целый ряд	2	3
182	в карты	1	3
183	так например	3	3
184	здесь не	7	3
185	с его	11	3
186	кроме того	11	3
187	для этой	2	3
188	что при	1	3
189	с того	1	3
190	он должен	2	3
191	к нему	5	3
192	то в	3	3
193	первый взгляд	1	3
194	они не	5	3
195	благодаря этому	3	3
