N	2gram	Medvedev_U	BTomashe
1	у нас	3	3
2	лучше и	1	2
3	все это	5	2
4	теории словесности	1	2
5	в ней	1	2
6	не то	1	2
7	больше чем	1	2
8	и не	8	2
9	неудивительно что	2	1
10	в формалистическое	1	1
11	словесного творчества	2	1
12	только более	1	1
13	было и	1	1
14	литературы как	1	1
15	не только	10	1
16	а о	2	1
17	таким образом	2	1
18	не было	1	1
19	меньшей мере	1	1
20	прежде всего	8	1
21	бы только	1	1
22	и в	14	1
23	так и	1	1
24	по теории	1	1
25	в своей	3	1
26	и потому	1	1
27	по нашему	3	1
28	за пределы	1	1
29	же не	2	1
30	по крайней	2	1
31	с другой	4	1
32	об этом	1	1
33	художественного произведения	2	1
34	не о	3	1
35	другой стороны	3	1
36	крайней мере	2	1
37	было бы	3	1
38	установка на	1	1
39	не следует	3	1
40	быть эстетикой	1	1
41	на выражение	1	1
42	эстетикой словесного	1	1
43	точно и	1	1
44	поэтика должна	1	1
45	в значительной	1	1
46	по меньшей	1	1
47	в пределах	1	1
48	в данном	1	1
49	должна быть	2	1
50	в области	3	1
51	является только	1	1
52	далеко не	1	1
53	тем более	1	1
54	говорить не	1	1
55	не вполне	1	1
56	поэтики и	1	1
57	что все	2	1
58	не все	2	1
59	нашему мнению	3	1
60	художественном произведении	2	1
61	а не	10	1
62	отнюдь не	1	1
63	до конца	1	1
64	представляется нам	2	1
65	все же	3	1
66	что в	1	1
