N	2gram	Losev_Vlad	slovoVRo
1	и в	56	92
2	и т	3	82
3	т п	1	72
4	то есть	5	64
5	может быть	12	59
6	и его	12	59
7	в нем	7	59
8	и не	33	51
9	не только	35	44
10	не может	12	41
11	но и	26	39
12	до конца	8	37
13	в этом	30	36
14	а не	5	34
15	во всех	4	32
16	точки зрения	4	30
17	так и	11	30
18	и др	1	29
19	в его	18	27
20	все это	7	25
21	как бы	5	24
22	то же	10	23
23	и на	7	22
24	языков и	1	22
25	в сущности	2	21
26	как в	6	21
27	не в	12	21
28	вовсе не	8	21
29	в то	15	20
30	прежде всего	5	19
31	как мы	17	19
32	с ним	10	18
33	как и	7	18
34	язык и	1	18
35	же время	7	18
36	себя в	6	18
37	таким образом	6	17
38	и даже	23	17
39	все же	11	17
40	в истории	4	17
41	все эти	6	17
42	при этом	5	16
43	в них	5	16
44	к своему	4	16
45	но в	19	16
46	в той	2	15
47	и с	27	15
48	человек и	1	15
49	со своим	5	15
50	только в	11	14
51	так сказать	2	14
52	в особенности	4	13
53	отношении к	2	13
54	это не	3	13
55	общего языка	1	13
56	с другой	3	13
57	с его	15	13
58	точка зрения	1	13
59	и для	4	13
60	и к	10	12
61	в отношении	5	12
62	еще не	2	12
63	во всяком	8	12
64	никогда не	15	12
65	и потому	8	12
66	или в	1	12
67	а в	20	12
68	отношение к	7	12
69	и наконец	2	12
70	один из	4	11
71	в этих	5	11
72	с ними	2	11
73	для него	16	11
74	с одной	1	11
75	всех его	1	11
76	на его	7	11
77	одной стороны	1	11
78	и все	8	10
79	уже не	6	10
80	лишь в	3	10
81	т д	3	10
82	в своем	10	10
83	может не	1	10
84	в том	26	10
85	с другими	1	10
86	она не	3	10
87	в себе	5	10
88	далеко не	1	10
89	в него	1	10
90	всех этих	3	10
91	в основном	5	9
92	более или	5	9
93	в своей	7	9
94	конечно не	5	9
95	сказать что	14	9
96	на почве	1	9
97	этом случае	1	9
98	так как	11	9
99	здесь в	2	9
100	его в	3	9
101	одна из	1	9
102	в их	2	9
103	или менее	5	9
104	и других	2	9
105	и мир	1	9
106	он не	13	9
107	быть и	1	9
108	одним из	3	9
109	и от	6	9
110	но не	5	9
111	с ее	1	9
112	к нему	6	9
113	в самом	3	8
114	для нас	9	8
115	не на	1	8
116	не могут	2	8
117	в значительной	1	8
118	с этим	3	8
119	человека в	1	8
120	всяком случае	8	8
121	в одной	1	8
122	и часто	3	8
123	в ней	5	8
124	во всем	4	7
125	от него	3	7
126	же и	1	7
127	еще более	3	7
128	кроме того	12	7
129	но все	3	7
130	о нем	9	7
131	например в	1	7
132	том что	22	7
133	перед нами	1	7
134	известной степени	2	7
135	здесь не	6	7
136	друг друга	3	7
137	того же	11	7
138	у него	28	7
139	не было	12	7
140	связи с	7	7
141	в таком	2	7
142	мы уже	8	7
143	его не	2	7
144	также и	13	7
145	ту же	1	7
146	за пределы	3	7
147	с которым	4	7
148	жизни и	8	7
149	в целом	3	7
150	что в	24	6
151	и здесь	3	6
152	нем в	1	6
153	дело с	2	6
154	даже в	4	6
155	в одном	2	6
156	ни в	4	6
157	другой стороны	3	6
158	по себе	3	6
159	именно в	4	6
160	одновременно и	1	6
161	роль в	1	6
162	себя и	1	6
163	можно сказать	10	6
164	по своим	3	6
165	в свою	3	6
166	наконец в	3	6
167	говорить о	1	6
168	как к	4	6
169	одной плоскости	1	6
170	мы сказали	2	6
171	в качестве	7	6
172	бы и	1	6
173	а также	12	6
174	мира и	1	6
175	на этом	3	6
176	хотя бы	5	6
177	и слова	1	6
178	он в	4	6
179	которые в	2	6
180	ничего не	4	6
181	в чисто	1	6
182	и при	2	5
183	не как	1	5
184	в результате	6	5
185	к его	5	5
186	они не	1	5
187	по отношению	1	5
188	вместе с	9	5
189	не менее	9	5
190	о том	13	5
191	его и	2	5
192	в данном	1	5
193	и более	1	5
194	мы не	2	5
195	для того	4	5
196	с помощью	1	5
197	только на	3	5
198	связанных с	1	5
199	слов о	1	5
200	речи в	1	5
201	той же	6	5
202	но он	7	5
203	в дальнейшем	10	5
204	между этими	1	5
205	остается в	1	5
206	уже в	9	5
207	на протяжении	1	5
208	хотя и	9	5
209	этом отношении	2	5
210	слова не	1	5
211	или прямо	1	5
212	как его	1	5
213	или даже	1	5
214	в других	1	5
215	особенно в	2	5
216	в каждом	1	5
217	а как	1	5
218	в быту	1	5
219	слова с	1	5
220	не с	1	5
221	почти всегда	1	5
222	борьба с	2	5
223	и сам	7	5
224	конца и	1	5
225	характерно что	1	5
226	оно может	1	5
227	и по	10	5
228	имеет дело	1	5
229	прямо и	2	4
230	по существу	4	4
231	в другой	1	4
232	те же	2	4
233	его но	1	4
234	не столько	4	4
235	влияние на	1	4
236	для всех	2	4
237	со всеми	1	4
238	если бы	2	4
239	отношения к	4	4
240	и другим	1	4
241	его на	4	4
242	всегда в	1	4
243	что он	22	4
244	от его	1	4
245	ли он	2	4
246	эта внутренняя	1	4
247	так же	4	4
248	на первый	4	4
249	к тому	5	4
250	поэзии и	2	4
251	дело не	3	4
252	даже и	12	4
253	того чтобы	4	4
254	но эти	1	4
255	тогда когда	1	4
256	и уже	1	4
257	с этой	4	4
258	в различных	1	4
259	от других	1	4
260	в чем	4	4
261	свою очередь	2	4
262	и во	3	4
263	в известной	1	4
264	с этими	4	4
265	и речи	3	4
266	в свой	3	4
267	но это	6	4
268	его как	2	4
269	из них	3	4
270	того что	6	4
271	несколько слов	2	4
272	одной из	2	4
273	том же	4	4
274	смысле в	1	4
275	момент его	1	4
276	как раз	7	4
277	в литературе	1	4
278	что и	6	4
279	чем он	1	4
280	в виде	4	4
281	а на	1	4
282	в которой	8	4
283	в атмосфере	1	4
284	слова на	1	4
285	и как	7	4
286	так в	1	4
287	следовательно и	1	4
288	в себя	1	4
289	всех своих	2	4
290	уже сказали	2	4
291	выражение в	2	4
292	но как	6	4
293	первый план	4	4
294	характер и	1	4
295	как предмет	1	4
296	в частности	4	4
297	одно и	1	4
298	не были	2	4
299	из него	1	4
300	или как	1	4
301	при всем	1	4
302	литературы и	2	4
303	и о	6	4
