N	4gram	Tiupa_Hudo	VeschiIm
1	с этой точки зрения	1	4
2	дело в том что	1	4
3	в то же время	11	4
4	и в то же	2	3
5	заключается в том что	1	2
6	в том что он	1	2
7	и в самом деле	4	1
8	только в том что	3	1
9	в самом деле не	1	1
10	на самом же деле	1	1
11	в самом деле в	1	1
12	ни то ни другое	1	1
13	с одной стороны и	1	1
14	ни о чем не	1	1
15	с самим собою в	1	1
16	не только потому что	1	1
17	и то и другое	1	1
18	они предстают перед нами	1	1
19	но еще и потому	1	1
20	том что он не	1	1
21	говорит только о том	1	1
22	но в то же	3	1
23	в этом и заключается	1	1
24	еще и потому что	1	1
25	и в этом отношении	1	1
26	что бы то ни	1	1
