N	4gram	Medvedev_F	UchenyiS
1	бы то ни было	1	3
2	в то же время	13	3
3	и в этой области	1	2
4	но в то же	3	1
5	склонен рассматривать не как	1	1
6	а как психологические документы	1	1
7	изучения литературы а о	1	1
8	при таком понимании форма	1	1
9	то же время не	2	1
10	произведения а как психологические	1	1
11	мы имеем в виду	1	1
12	рассматривать не как литературные	1	1
13	методах изучения литературы а	1	1
14	литературные произведения а как	1	1
15	в этом отношении статья	1	1
16	и в то же	4	1
17	большей или меньшей степени	1	1
18	в этом смысле можно	1	1
19	поэтики на лингвистику в	1	1
20	не в том что	1	1
21	не может пройти мимо	1	1
22	в большей или меньшей	1	1
23	о методах изучения литературы	1	1
24	о формальном методе и	1	1
25	как литературные произведения а	1	1
26	в точном смысле этого	1	1
27	не как литературные произведения	1	1
28	и в конце концов	1	1
29	формального метода в россии	2	1
30	не о методах изучения	1	1
31	ориентации поэтики на лингвистику	1	1
32	все это в совокупности	1	1
33	в этом отношении очень	2	1
