N	2gram	Nazirov_Vr	OGranits
1	и в	8	13
2	и его	3	12
3	прежде всего	1	9
4	может быть	4	8
5	и не	5	8
6	не может	2	8
7	в его	3	7
8	и т.п	2	7
9	и их	1	7
10	точки зрения	2	7
11	таким образом	2	6
12	не только	9	6
13	то что	7	6
14	как бы	4	6
15	с точки	2	5
16	и т.д	1	5
17	в процессе	1	5
18	но ведь	1	5
19	все же	6	5
20	и наконец	1	5
21	то же	5	4
22	было бы	1	4
23	все это	4	4
24	в своей	2	4
25	тех пор	1	4
26	но мы	1	4
27	но в	6	4
28	с этим	1	3
29	что в	7	3
30	и то	2	3
31	и уже	3	3
32	так и	1	3
33	говорить о	1	3
34	одно и	1	3
35	в одном	1	3
36	в их	1	3
37	в ее	1	3
38	что же	1	3
39	и все	7	3
40	но для	1	3
41	в себе	2	3
42	вряд ли	1	3
43	да и	1	3
44	но и	7	3
45	как и	6	3
46	ничего общего	1	3
47	никогда не	2	3
48	к сожалению	1	2
49	своего рода	1	2
50	в самом	1	2
51	во всем	1	2
52	нет ничего	1	2
53	что они	1	2
54	и отчасти	1	2
55	и этот	1	2
56	в своих	4	2
57	в этом	8	2
58	роль в	1	2
59	мы считаем	1	2
60	при этом	4	2
61	несмотря на	4	2
62	между тем	5	2
63	для него	2	2
64	в этот	3	2
65	с помощью	1	2
66	в том	3	2
67	что эта	1	2
68	конечно в	1	2
69	вслед за	1	2
70	другой стороны	1	2
71	так же	4	2
72	в них	2	2
73	а в	2	2
74	а также	2	2
75	соответствии с	1	2
76	еще в	1	2
77	в ней	4	2
78	тем что	3	2
79	могут быть	1	2
80	может в	1	2
81	его на	2	2
82	в связи	3	2
83	во всей	1	2
84	говорить об	1	2
85	с другой	1	2
86	как в	1	2
87	не менее	2	2
88	не имеет	1	2
89	том что	3	2
90	в нем	6	2
91	уже в	4	2
92	не мог	2	2
93	в чем	3	2
94	в целом	1	2
95	и ее	2	2
96	этот материал	1	2
97	бы в	1	2
98	более того	1	2
99	в оценке	1	1
100	в особенности	1	1
101	но у	1	1
102	как к	1	1
103	этого и	1	1
104	к которому	1	1
105	принимая его	1	1
106	то он	1	1
107	выражение в	1	1
108	ее и	1	1
109	о влиянии	2	1
110	для всех	1	1
111	это конечно	1	1
112	и он	2	1
113	один из	1	1
114	можно говорить	1	1
115	приближается к	1	1
116	как же	2	1
117	они не	1	1
118	автору и	1	1
119	только что	1	1
120	встречался с	1	1
121	на три	1	1
122	того как	1	1
123	и уж	1	1
124	которой он	1	1
125	за исключением	1	1
126	но при	1	1
127	эти слова	3	1
128	может идти	1	1
129	потому что	1	1
130	он всегда	1	1
131	же как	2	1
132	и у	3	1
133	также и	1	1
134	и речи	1	1
135	это и	1	1
136	совсем не	1	1
137	которых он	1	1
138	он и	1	1
139	его и	2	1
140	близкий к	1	1
141	не всегда	1	1
142	в своем	3	1
143	и достоевский	2	1
144	говорить не	1	1
145	этот момент	2	1
146	систем во	1	1
147	этом отношении	1	1
148	тем не	1	1
149	в другой	1	1
150	и творческого	1	1
151	входя в	1	1
152	в предшествующей	1	1
153	об этом	5	1
154	себе на	1	1
155	никто не	1	1
156	и что	8	1
157	в этой	2	1
158	людей и	1	1
159	это слово	1	1
160	в начале	6	1
161	во все	1	1
162	в виду	4	1
163	и говорю	1	1
164	в нашей	2	1
165	что к	2	1
166	быть может	1	1
167	и есть	1	1
168	не хотят	1	1
169	но это	2	1
170	в истории	4	1
171	все равно	1	1
172	по своей	1	1
173	же время	5	1
174	что слово	1	1
175	его в	3	1
176	на основе	2	1
177	которую он	1	1
178	человека и	1	1
179	каждый из	1	1
180	до того	1	1
181	событий и	1	1
182	не было	5	1
183	связи с	3	1
184	ко всем	1	1
185	содержания в	1	1
186	же не	2	1
187	как известно	1	1
188	же только	1	1
189	для создания	1	1
190	на то	3	1
191	сказал что	1	1
192	среди них	1	1
193	равно как	1	1
194	их в	2	1
195	полно и	1	1
196	заключается в	1	1
197	одним из	3	1
198	не совсем	1	1
199	ну что	1	1
200	отношение к	2	1
201	у некоторых	1	1
202	утверждаю что	1	1
203	и никогда	1	1
204	из литературы	1	1
205	ему в	1	1
206	уже на	1	1
207	и указание	1	1
208	представление о	1	1
209	такой же	1	1
210	чисто художественном	1	1
211	в конце	3	1
212	сказался в	1	1
213	о помощи	1	1
214	к этому	3	1
215	роль играет	1	1
216	и как	3	1
217	как о	1	1
218	вплоть до	1	1
219	уж конечно	1	1
220	до конца	1	1
221	равно не	1	1
222	что он	4	1
223	в предисловии	1	1
224	столь же	2	1
225	себя как	1	1
226	далеко не	3	1
227	привела к	1	1
228	и о	3	1
229	в мире	2	1
230	вместе с	2	1
231	одна из	2	1
232	внимание к	1	1
233	но не	1	1
234	так в	2	1
235	с его	3	1
236	ли не	1	1
237	на место	2	1
238	быть и	1	1
239	в то	5	1
240	материала это	1	1
241	мыслей и	1	1
242	тут же	1	1
243	отнюдь не	2	1
244	и самый	1	1
245	в условиях	1	1
246	с ее	1	1
247	из него	1	1
248	и это	2	1
249	того же	1	1
250	только о	1	1
251	не должна	1	1
252	к нему	1	1
253	едва ли	1	1
254	в какую-то	1	1
255	тем более	2	1
256	к друзьям	1	1
257	еще не	2	1
