N	4gram	Tiupa_Vved	FransuaR
1	в то же время	4	55
2	но в то же	1	20
3	в том числе и	1	17
4	дело в том что	1	13
5	и в то же	1	12
6	в той или иной	1	10
7	с одной стороны и	3	5
8	между жизнью и смертью	1	5
9	одной и той же	1	4
10	один и тот же	1	4
11	и не может быть	1	4
12	одного и того же	1	3
13	не что иное как	1	3
14	той или иной степени	1	3
15	но на самом деле	1	3
16	одна и та же	1	2
17	с другой стороны в	1	2
18	то же время они	1	2
19	с большей или меньшей	1	2
20	имеет дело не с	1	2
21	так же как и	1	2
22	в том или ином	1	2
23	никогда не может быть	1	1
24	в первом случае мы	1	1
25	другой стороны в то	1	1
26	к жизни и смерти	1	1
27	как если бы она	1	1
28	свидетельствует о том что	1	1
29	и в другом случае	1	1
30	мы узнаем что в	1	1
31	одно и то же	1	1
32	том же году в	1	1
33	во всяком случае в	1	1
34	если бы она была	1	1
35	принадлежат к одной и	1	1
36	он в свою очередь	1	1
37	стороны в то же	1	1
38	состоит в том что	1	1
39	до поры до времени	1	1
40	к одной и той	1	1
41	с одной стороны на	1	1
42	с другой стороны эта	1	1
43	говорят о том что	1	1
44	в неразрывном единстве с	1	1
45	и то же слово	1	1
46	и в конечном счете	1	1
47	в том же году	1	1
48	что одно и то	1	1
49	к тому же в	1	1
50	который в свою очередь	1	1
51	здесь как и в	1	1
52	не в том что	2	1
53	только на первый взгляд	1	1
