N	4gram	Potebnia_M	Morfolog
1	состоит в том что	1	3
2	в то время как	3	3
3	к другу и к	1	2
4	как и в других	1	2
5	в том случае если	1	2
6	бы то ни было	1	2
7	друг к другу и	1	2
8	тем не менее она	1	2
9	не что иное как	1	2
10	в противном случае он	1	1
11	но он может быть	1	1
12	есть в то же	1	1
13	и т д можно	1	1
14	в том что он	2	1
15	и вне связи с	1	1
16	и в других случаях	1	1
17	одно и то же	7	1
18	все более и более	1	1
19	что это и не	1	1
20	в то же время	8	1
21	в том случае когда	1	1
22	только в том случае	1	1
23	выводы можно сделать из	1	1
24	один и тот же	2	1
25	к соединению с другими	1	1
26	то же время и	1	1
27	а для того чтобы	1	1
28	здесь как и в	1	1
29	бросается в глаза что	1	1
30	на то что в	1	1
31	можно себе представить что	1	1
32	мы можем заметить что	1	1
33	не имеет смысла но	1	1
34	есть не что иное	1	1
